,date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t),water_year,normalized_flow,normalized_DIN_load,cum_flow,cum_din_load
0,2009-07-01,0.3418,0.019930029,17.15,0.1985,0.0003418,2009,4.705687348253437e-05,6.5612931812060085e-06,4.705687348253437e-05,6.5612931812060085e-06
1,2009-07-02,0.453,0.025885714,17.5,0.2026,0.000453,2009,4.802882905572525e-05,8.695921038871626e-06,9.508570253825962e-05,1.5257214220077634e-05
2,2009-07-03,0.5638,0.03179921,17.73,0.2052,0.0005638,2009,4.864519112652923e-05,1.0822870379063626e-05,0.00014373089366478885,2.6080084599141258e-05
3,2009-07-04,0.5665,0.036151883,15.67,0.1813,0.0005665,2009,4.297940132183113e-05,1.087470037201054e-05,0.00018671029498661996,3.69547849711518e-05
4,2009-07-05,0.6826,0.039616947,17.23,0.1994,0.0006826,2009,4.727022958396651e-05,1.3103390068727972e-05,0.0002339805245705865,5.0058175039879774e-05
5,2009-07-06,1.0164,0.045456172,22.36,0.2588,0.0010164,2009,6.135173227848812e-05,1.9511112900461634e-05,0.0002953322568490746,6.956928794034141e-05
6,2009-07-07,0.9074,0.049747807,18.24,0.2111,0.0009074,2009,5.0043858902584406e-05,1.7418716888900912e-05,0.000345376115751659,8.698800482924231e-05
7,2009-07-08,0.8995,0.060006671,14.99,0.1735,0.0008995,2009,4.1130315109419204e-05,1.726706616879697e-05,0.0003865064308610782,0.00010425507099803929
8,2009-07-09,0.9025,0.064418273,14.01,0.1621,0.0009025,2009,3.842780449127869e-05,1.73246550498491e-05,0.00042493423535235693,0.00012157972604788839
9,2009-07-10,0.9057,0.068303167,13.26,0.1535,0.0009057,2009,3.6389068410927077e-05,1.7386083189638035e-05,0.000461323303763284,0.00013896580923752642
10,2009-07-11,1.0081,0.079944489,12.61,0.146,0.0010081,2009,3.461110089899253e-05,1.9351783662884075e-05,0.0004959344046622765,0.0001583175929004105
11,2009-07-12,1.0154,0.080779634,12.57,0.1455,0.0010154,2009,3.4492569731530224e-05,1.949191660677759e-05,0.0005304269743938067,0.00017780950950718809
12,2009-07-13,1.1197,0.091106591,12.29,0.1422,0.0011197,2009,3.3710264026279024e-05,2.1494090038023306e-05,0.0005641372384200858,0.0001993035995452114
13,2009-07-14,9.891,0.083271595,118.78,1.3747,0.009891,2009,0.00032588959182085637,0.00018987054082887251,0.0008900268302409421,0.00038917414037408394
14,2009-07-15,3.3751,0.087824616,38.43,0.4448,0.0033751,2009,0.0001054453265744649,6.478941081301462e-05,0.000995472156815407,0.0004539635511870985
15,2009-07-16,2.244,0.099160407,22.63,0.2619,0.002244,2009,6.208662551675442e-05,4.307648302699321e-05,0.0010575587823321614,0.0004970400342140918
16,2009-07-17,1.4619,0.108772321,13.44,0.1555,0.0014619,2009,3.686319308077629e-05,2.8063061736702934e-05,0.0010944219754129376,0.0005251030959507947
17,2009-07-18,1.24,0.110912343,11.18,0.1294,0.00124,2009,3.067586613924406e-05,2.380340416821372e-05,0.0011250978415521817,0.0005489065001190084
18,2009-07-19,1.2348,0.118389262,10.43,0.1207,0.0012348,2009,2.861342382539999e-05,2.3703583441056698e-05,0.0011537112653775819,0.0005726100835600651
19,2009-07-20,1.2279,0.127773153,9.61,0.1112,0.0012279,2009,2.6361331643616226e-05,2.35711290146368e-05,0.001180072597021198,0.0005961812125747019
20,2009-07-21,1.121,0.126523702,8.86,0.1026,0.001121,2009,2.4322595563264614e-05,2.1519045219812566e-05,0.0012043951925844625,0.0006177002577945145
21,2009-07-22,1.232,0.133767644,9.21,0.1065,0.001232,2009,2.5247138669470577e-05,2.3649833818741375e-05,0.0012296423312539331,0.0006413500916132559
22,2009-07-23,1.6858,0.142141653,11.86,0.1373,0.0016858,2009,3.254865858514845e-05,3.236111189256024e-05,0.0012621909898390816,0.0006737112035058161
23,2009-07-24,1.9011,0.154686737,12.29,0.1422,0.0019011,2009,3.3710264026279024e-05,3.649407392273476e-05,0.0012959012538653607,0.0007102052774285508
24,2009-07-25,1.7948,0.154060086,11.65,0.1348,0.0017948,2009,3.195600274783694e-05,3.445350790412096e-05,0.0013278572566131977,0.0007446587853326718
25,2009-07-26,2.1254,0.165787832,12.82,0.1484,0.0021254,2009,3.518005050281159e-05,4.079980259606568e-05,0.0013630373071160092,0.0007854585879287374
26,2009-07-27,2.3567,0.166316161,14.17,0.164,0.0023567,2009,3.887822292763545e-05,4.52399053251849e-05,0.0014019155300436447,0.0008306984932539223
27,2009-07-28,2.5797,0.171067639,15.08,0.1745,0.0025797,2009,4.136737744434381e-05,4.952067881672656e-05,0.0014432829074879886,0.000880219172070649
28,2009-07-29,2.5748,0.180687719,14.25,0.1649,0.0025748,2009,3.909157902906759e-05,4.9426616977674744e-05,0.001482374486517056,0.0009296457890483236
29,2009-07-30,2.5769,0.185923521,13.86,0.1604,0.0025769,2009,3.8024798521906855e-05,4.946692919441124e-05,0.0015203992850389629,0.000979112718242735
30,2009-07-31,2.5811,0.189369039,13.63,0.1577,0.0025811,2009,3.7384730217610425e-05,4.954755362788422e-05,0.0015577840152565733,0.0010286602718706192
31,2009-08-01,2.4672,0.195654243,12.61,0.146,0.0024672,2009,3.461110089899253e-05,4.736109577727169e-05,0.0015923951161555658,0.0010760213676478908
32,2009-08-02,2.3536,0.200477002,11.74,0.1359,0.0023536,2009,3.2216771316254e-05,4.518039681476437e-05,0.0016246118874718198,0.0011212017644626551
33,2009-08-03,2.4581,0.210273738,11.69,0.1352,0.0024581,2009,3.205082768180678e-05,4.718640950474689e-05,0.0016566627151536266,0.0011683881739674021
34,2009-08-04,2.5751,0.214234609,12.02,0.1391,0.0025751,2009,3.297537078801275e-05,4.943237586577996e-05,0.0016896380859416395,0.0012178205498331821
35,2009-08-05,2.9057,0.224899381,12.92,0.1495,0.0029057,2009,3.5440819071228654e-05,5.577867055772469e-05,0.001725078905012868,0.0012735992203909067
36,2009-08-06,2.7963,0.228083197,12.26,0.1419,0.0027963,2009,3.3639145325801646e-05,5.367859602869034e-05,0.0017587180503386697,0.001327277816419597
37,2009-08-07,2.9131,0.231750199,12.57,0.1455,0.0029131,2009,3.4492569731530224e-05,5.592072313098661e-05,0.0017932106200702,0.0013831985395505837
