date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t)
1/07/2009,0.3418,0.019930029,17.15,0.1985,0.0003418
2/07/2009,0.453,0.025885714,17.5,0.2026,0.000453
3/07/2009,0.5638,0.03179921,17.73,0.2052,0.0005638
4/07/2009,0.5665,0.036151883,15.67,0.1813,0.0005665
5/07/2009,0.6826,0.039616947,17.23,0.1994,0.0006826
6/07/2009,1.0164,0.045456172,22.36,0.2588,0.0010164
7/07/2009,0.9074,0.049747807,18.24,0.2111,0.0009074
8/07/2009,0.8995,0.060006671,14.99,0.1735,0.0008995
9/07/2009,0.9025,0.064418273,14.01,0.1621,0.0009025
10/07/2009,0.9057,0.068303167,13.26,0.1535,0.0009057
11/07/2009,1.0081,0.079944489,12.61,0.146,0.0010081
12/07/2009,1.0154,0.080779634,12.57,0.1455,0.0010154
13/07/2009,1.1197,0.091106591,12.29,0.1422,0.0011197
14/07/2009,9.891,0.083271595,118.78,1.3747,0.009891
15/07/2009,3.3751,0.087824616,38.43,0.4448,0.0033751
16/07/2009,2.244,0.099160407,22.63,0.2619,0.002244
17/07/2009,1.4619,0.108772321,13.44,0.1555,0.0014619
18/07/2009,1.24,0.110912343,11.18,0.1294,0.00124
19/07/2009,1.2348,0.118389262,10.43,0.1207,0.0012348
20/07/2009,1.2279,0.127773153,9.61,0.1112,0.0012279
21/07/2009,1.121,0.126523702,8.86,0.1026,0.001121
22/07/2009,1.232,0.133767644,9.21,0.1065,0.001232
23/07/2009,1.6858,0.142141653,11.86,0.1373,0.0016858
24/07/2009,1.9011,0.154686737,12.29,0.1422,0.0019011
25/07/2009,1.7948,0.154060086,11.65,0.1348,0.0017948
26/07/2009,2.1254,0.165787832,12.82,0.1484,0.0021254
27/07/2009,2.3567,0.166316161,14.17,0.164,0.0023567
28/07/2009,2.5797,0.171067639,15.08,0.1745,0.0025797
29/07/2009,2.5748,0.180687719,14.25,0.1649,0.0025748
30/07/2009,2.5769,0.185923521,13.86,0.1604,0.0025769
31/07/2009,2.5811,0.189369039,13.63,0.1577,0.0025811
1/08/2009,2.4672,0.195654243,12.61,0.146,0.0024672
2/08/2009,2.3536,0.200477002,11.74,0.1359,0.0023536
3/08/2009,2.4581,0.210273738,11.69,0.1352,0.0024581
4/08/2009,2.5751,0.214234609,12.02,0.1391,0.0025751
5/08/2009,2.9057,0.224899381,12.92,0.1495,0.0029057
6/08/2009,2.7963,0.228083197,12.26,0.1419,0.0027963
7/08/2009,2.9131,0.231750199,12.57,0.1455,0.0029131
8/08/2009,3.0215,0.239992057,12.59,0.1457,0.0030215
9/08/2009,2.7973,0.241980969,11.56,0.1338,0.0027973
10/08/2009,2.7965,0.247259063,11.31,0.131,0.0027965
11/08/2009,2.7986,0.250546106,11.17,0.1293,0.0027986
12/08/2009,2.7962,0.25653211,10.9,0.1262,0.0027962
13/08/2009,2.578,0.253740157,10.16,0.1176,0.002578
14/08/2009,3.0231,0.266352423,11.35,0.1314,0.0030231
15/08/2009,3.0248,0.271039427,11.16,0.1292,0.0030248
16/08/2009,3.023,0.276578225,10.93,0.1265,0.003023
17/08/2009,3.2394,0.289232143,11.2,0.1297,0.0032394
18/08/2009,3.2481,0.288463588,11.26,0.1303,0.0032481
19/08/2009,3.5804,0.299865997,11.94,0.1382,0.0035804
20/08/2009,3.4712,0.301319444,11.52,0.1333,0.0034712
21/08/2009,3.358,0.304995459,11.01,0.1274,0.003358
22/08/2009,3.2457,0.307941176,10.54,0.122,0.0032457
23/08/2009,3.133,0.311741294,10.05,0.1163,0.003133
24/08/2009,3.1254,0.32022541,9.76,0.1129,0.0031254
25/08/2009,3.3582,0.323214629,10.39,0.1203,0.0033582
26/08/2009,3.6848,0.337745188,10.91,0.1262,0.0036848
27/08/2009,3.8063,0.339242424,11.22,0.1298,0.0038063
28/08/2009,3.6945,0.341766883,10.81,0.1251,0.0036945
29/08/2009,3.909,0.355686988,10.99,0.1272,0.003909
30/08/2009,3.9097,0.360009208,10.86,0.1257,0.0039097
31/08/2009,3.6925,0.357108317,10.34,0.1197,0.0036925
1/09/2009,44.267,0.335788516,131.83,1.5258,0.044267
2/09/2009,9.507,0.350811808,27.1,0.3137,0.009507
3/09/2009,5.5865,0.380811179,14.67,0.1698,0.0055865
4/09/2009,3.4634,0.373613808,9.27,0.1073,0.0034634
5/09/2009,2.4625,0.341539528,7.21,0.0834,0.0024625
6/09/2009,2.0175,0.323836276,6.23,0.0721,0.0020175
7/09/2009,1.7955,0.31171875,5.76,0.0666,0.0017955
8/09/2009,1.7882,0.313719298,5.7,0.066,0.0017882
9/09/2009,1.6782,0.301292639,5.57,0.0644,0.0016782
10/09/2009,1.563,0.296022727,5.28,0.0611,0.001563
11/09/2009,1.3485,0.270240481,4.99,0.0577,0.0013485
12/09/2009,1.3408,0.276453608,4.85,0.0562,0.0013408
13/09/2009,1.2324,0.260549683,4.73,0.0548,0.0012324
14/09/2009,1.1259,0.241092077,4.67,0.054,0.0011259
15/09/2009,0.9047,0.224491315,4.03,0.0466,0.0009047
16/09/2009,0.7936,0.212192513,3.74,0.0433,0.0007936
17/09/2009,1.0181,0.206930894,4.92,0.0569,0.0010181
18/09/2009,0.8991,0.208607889,4.31,0.0499,0.0008991
19/09/2009,0.9006,0.195357918,4.61,0.0534,0.0009006
20/09/2009,0.795,0.175110132,4.54,0.0525,0.000795
21/09/2009,0.7854,0.183934426,4.27,0.0494,0.0007854
22/09/2009,0.5653,0.164331395,3.44,0.0398,0.0005653
23/09/2009,0.4576,0.142554517,3.21,0.0371,0.0004576
24/09/2009,0.453,0.146129032,3.1,0.0359,0.000453
25/09/2009,0.4578,0.127166667,3.6,0.0417,0.0004578
26/09/2009,0.4541,0.126138889,3.6,0.0417,0.0004541
27/09/2009,0.3476,0.102536873,3.39,0.0393,0.0003476
28/09/2009,0.3446,0.100760234,3.42,0.0395,0.0003446
29/09/2009,0.3404,0.101916168,3.34,0.0387,0.0003404
30/09/2009,0.2368,0.071111111,3.33,0.0385,0.0002368
1/10/2009,0.2331,0.071067073,3.28,0.038,0.0002331
2/10/2009,0.2328,0.064309392,3.62,0.0419,0.0002328
3/10/2009,0.2318,0.058832487,3.94,0.0456,0.0002318
4/10/2009,0.1341,0.0279375,4.8,0.0555,0.0001341
5/10/2009,0.1322,0.025085389,5.27,0.061,0.0001322
6/10/2009,0.1248,0.025679012,4.86,0.0562,0.0001248
7/10/2009,0.0208,0.004271047,4.87,0.0564,0.0000208
8/10/2009,0.0257,0.004812734,5.34,0.0617,0.0000257
9/10/2009,0.1328,0.023380282,5.68,0.0658,0.0001328
10/10/2009,0.1443,0.022165899,6.51,0.0753,0.0001443
11/10/2009,0.1274,0.035487465,3.59,0.0415,0.0001274
12/10/2009,0.1288,0.038219585,3.37,0.039,0.0001288
13/10/2009,0.1327,0.038575581,3.44,0.0398,0.0001327
14/10/2009,0.2387,0.064166667,3.72,0.043,0.0002387
15/10/2009,0.2386,0.070383481,3.39,0.0393,0.0002386
16/10/2009,0.2398,0.074241486,3.23,0.0373,0.0002398
17/10/2009,0.2405,0.078852459,3.05,0.0352,0.0002405
18/10/2009,0.2448,0.077468354,3.16,0.0366,0.0002448
19/10/2009,0.3494,0.106850153,3.27,0.0379,0.0003494
20/10/2009,8.084,0.101087908,79.97,0.9256,0.008084
21/10/2009,2.1308,0.116373566,18.31,0.212,0.0021308
22/10/2009,1.1888,0.121306122,9.8,0.1134,0.0011888
23/10/2009,0.8232,0.126451613,6.51,0.0753,0.0008232
24/10/2009,0.5969,0.12206544,4.89,0.0566,0.0005969
25/10/2009,0.5844,0.143235294,4.08,0.0472,0.0005844
26/10/2009,0.5794,0.157874659,3.67,0.0425,0.0005794
27/10/2009,0.5932,0.143631961,4.13,0.0478,0.0005932
28/10/2009,0.6965,0.169878049,4.1,0.0474,0.0006965
29/10/2009,0.7054,0.163287037,4.32,0.05,0.0007054
30/10/2009,0.8158,0.178512035,4.57,0.0529,0.0008158
31/10/2009,0.819,0.18,4.55,0.0527,0.000819
1/11/2009,0.7082,0.178387909,3.97,0.046,0.0007082
2/11/2009,0.5886,0.187452229,3.14,0.0364,0.0005886
3/11/2009,0.6956,0.211428571,3.29,0.0381,0.0006956
4/11/2009,0.6976,0.215308642,3.24,0.0375,0.0006976
5/11/2009,0.6942,0.227606557,3.05,0.0352,0.0006942
6/11/2009,0.7038,0.216553846,3.25,0.0377,0.0007038
7/11/2009,1.1632,0.234044266,4.97,0.0575,0.0011632
8/11/2009,1.2769,0.243683206,5.24,0.0607,0.0012769
9/11/2009,3.7104,0.265597709,13.97,0.1617,0.0037104
10/11/2009,27.856,0.258500371,107.76,1.2472,0.027856
11/11/2009,49.422,0.2650826,186.44,2.1579,0.049422
12/11/2009,27.48,0.27234886,100.9,1.1678,0.02748
13/11/2009,15.992,0.280266386,57.06,0.6605,0.015992
14/11/2009,9.738,0.289735198,33.61,0.3891,0.009738
15/11/2009,6.2577,0.315885916,19.81,0.2293,0.0062577
16/11/2009,4.629,0.340117561,13.61,0.1575,0.004629
17/11/2009,3.8282,0.338778761,11.3,0.1307,0.0038282
18/11/2009,3.589,0.344764649,10.41,0.1205,0.003589
19/11/2009,3.1181,0.34761427,8.97,0.1038,0.0031181
20/11/2009,2.5394,0.343162162,7.4,0.0856,0.0025394
21/11/2009,2.0747,0.346360601,5.99,0.0693,0.0020747
22/11/2009,1.9642,0.346419753,5.67,0.0657,0.0019642
23/11/2009,1.8572,0.343925926,5.4,0.0625,0.0018572
24/11/2009,1.9625,0.364100186,5.39,0.0624,0.0019625
25/11/2009,1.852,0.365285996,5.07,0.0587,0.001852
26/11/2009,1.8411,0.3876,4.75,0.055,0.0018411
27/11/2009,1.7386,0.374698276,4.64,0.0537,0.0017386
28/11/2009,1.8472,0.392186837,4.71,0.0545,0.0018472
29/11/2009,1.9625,0.399694501,4.91,0.0569,0.0019625
30/11/2009,1.9661,0.400427699,4.91,0.0568,0.0019661
1/12/2009,1.6121,0.417642487,3.86,0.0446,0.0016121
2/12/2009,1.6155,0.420703125,3.84,0.0444,0.0016155
3/12/2009,1.6169,0.426622691,3.79,0.0439,0.0016169
4/12/2009,1.3881,0.429752322,3.23,0.0374,0.0013881
5/12/2009,1.2653,0.451892857,2.8,0.0324,0.0012653
6/12/2009,1.2711,0.444440559,2.86,0.0331,0.0012711
7/12/2009,1.3842,0.458344371,3.02,0.035,0.0013842
8/12/2009,44.505,0.465484782,95.61,1.1067,0.044505
9/12/2009,11.758,0.496327564,23.69,0.2742,0.011758
10/12/2009,5.9931,0.526172081,11.39,0.1319,0.0059931
11/12/2009,3.3491,0.487496361,6.87,0.0795,0.0033491
12/12/2009,2.769,0.492704626,5.62,0.0651,0.002769
13/12/2009,2.2974,0.515112108,4.46,0.0517,0.0022974
14/12/2009,1.9525,0.519281915,3.76,0.0435,0.0019525
15/12/2009,1.8491,0.507994505,3.64,0.0421,0.0018491
16/12/2009,1.9545,0.532561308,3.67,0.0425,0.0019545
17/12/2009,1.8448,0.530114943,3.48,0.0403,0.0018448
18/12/2009,1.9646,0.525294118,3.74,0.0432,0.0019646
19/12/2009,1.7324,0.538012422,3.22,0.0373,0.0017324
20/12/2009,1.6157,0.547694915,2.95,0.0342,0.0016157
21/12/2009,1.9516,0.574,3.4,0.0394,0.0019516
22/12/2009,2.0712,0.572154696,3.62,0.0419,0.0020712
23/12/2009,1.8429,0.57590625,3.2,0.037,0.0018429
24/12/2009,2.4121,0.5941133,4.06,0.047,0.0024121
25/12/2009,2.3041,0.589283887,3.91,0.0453,0.0023041
26/12/2009,2.1886,0.594728261,3.68,0.0425,0.0021886
27/12/2009,2.4225,0.598148148,4.05,0.0469,0.0024225
28/12/2009,2.6491,0.607591743,4.36,0.0505,0.0026491
29/12/2009,261.84,0.627146655,417.51,4.8323,0.26184
30/12/2009,1172.6,0.630759052,1859.03,21.5165,1.1726
31/12/2009,968.7,0.637482972,1519.57,17.5876,0.9687
1/01/2010,466.41,0.645773624,722.25,8.3593,0.46641
2/01/2010,440.15,0.652393022,674.67,7.8087,0.44015
3/01/2010,178.15,0.65959495,270.09,3.1261,0.17815
4/01/2010,90.16,0.667258733,135.12,1.5639,0.09016
5/01/2010,55.65,0.671776919,82.84,0.9588,0.05565
6/01/2010,36.634,0.659715469,55.53,0.6427,0.036634
7/01/2010,28.101,0.645703125,43.52,0.5037,0.028101
8/01/2010,35.042,0.630592046,55.57,0.6432,0.035042
9/01/2010,343.33,0.615672913,557.65,6.4543,0.34333
10/01/2010,466.28,0.605511259,770.06,8.9127,0.46628
11/01/2010,186.53,0.590901891,315.67,3.6536,0.18653
12/01/2010,86.17,0.575925678,149.62,1.7317,0.08617
13/01/2010,46.699,0.562909836,82.96,0.9602,0.046699
14/01/2010,37.543,0.548393222,68.46,0.7923,0.037543
15/01/2010,23.779,0.533281005,44.59,0.516,0.023779
16/01/2010,18.637,0.522044818,35.7,0.4132,0.018637
17/01/2010,16.686,0.511056662,32.65,0.3779,0.016686
18/01/2010,13.947,0.507348127,27.49,0.3182,0.013947
19/01/2010,37.926,0.479045093,79.17,0.9163,0.037926
20/01/2010,19.028,0.464550781,40.96,0.4741,0.019028
21/01/2010,11.726,0.469227691,24.99,0.2892,0.011726
22/01/2010,9.017,0.470615866,19.16,0.2217,0.009017
23/01/2010,7.7727,0.462110583,16.82,0.1946,0.0077727
24/01/2010,13.046,0.420974508,30.99,0.3587,0.013046
25/01/2010,8488.2,0.628697808,13501.24,156.2644,8.4882
26/01/2010,8962.3,0.399852592,22414.01,259.4214,8.9623
27/01/2010,1379.4,0.206266346,6687.47,77.4013,1.3794
28/01/2010,239.01,0.196656162,1215.37,14.0667,0.23901
29/01/2010,136.13,0.253500931,537,6.2152,0.13613
30/01/2010,180.18,0.126874815,1420.14,16.4368,0.18018
31/01/2010,2785.9,0.064228035,43375.14,502.0271,2.7859
1/02/2010,900.9,0.071610656,12580.53,145.6079,0.9009
2/02/2010,236.4,0.120197686,1966.76,22.7634,0.2364
3/02/2010,98.21,0.124354234,789.76,9.1407,0.09821
4/02/2010,56.717,0.119522475,474.53,5.4923,0.056717
5/02/2010,118.88,0.114149639,1041.44,12.0537,0.11888
6/02/2010,263.4,0.109587901,2403.55,27.8189,0.2634
7/02/2010,182.53,0.106602424,1712.25,19.8177,0.18253
8/02/2010,64.231,0.101302736,634.05,7.3386,0.064231
9/02/2010,289.76,0.095199608,3043.71,35.2282,0.28976
10/02/2010,1219,0.090522939,13466.2,155.8588,1.219
11/02/2010,402.22,0.080283914,5009.97,57.9858,0.40222
12/02/2010,495.03,0.075584715,6549.34,75.8025,0.49503
13/02/2010,289.87,0.099651407,2908.84,33.6671,0.28987
14/02/2010,345.46,0.09366197,3688.37,42.6894,0.34546
15/02/2010,182.03,0.080935316,2249.08,26.031,0.18203
16/02/2010,257.27,0.068057786,3780.17,43.752,0.25727
17/02/2010,305.62,0.060274729,5070.45,58.6857,0.30562
18/02/2010,959.8,0.049612759,19345.83,223.9101,0.9598
19/02/2010,508.8,0.05931985,8577.23,99.2735,0.5088
20/02/2010,396.73,0.120174599,3301.28,38.2092,0.39673
21/02/2010,659.7,0.057748365,11423.7,132.2188,0.6597
22/02/2010,669.5,0.057032552,11738.91,135.867,0.6695
23/02/2010,438.65,0.083157502,5274.93,61.0524,0.43865
24/02/2010,309.56,0.122801311,2520.82,29.1761,0.30956
25/02/2010,229.85,0.093426984,2460.21,28.4747,0.22985
26/02/2010,437.04,0.064170087,6810.65,78.8269,0.43704
27/02/2010,461.2,0.065811254,7007.92,81.1102,0.4612
28/02/2010,733.6,0.065241945,11244.3,130.1424,0.7336
1/03/2010,1198.9,0.063939731,18750.47,217.0194,1.1989
2/03/2010,384.31,0.062411391,6157.69,71.2696,0.38431
3/03/2010,136.62,0.060803233,2246.92,26.006,0.13662
4/03/2010,67.87,0.059177944,1146.88,13.2741,0.06787
5/03/2010,39.347,0.057568619,683.48,7.9106,0.039347
6/03/2010,27.91,0.055971122,498.65,5.7715,0.02791
7/03/2010,22.246,0.054417808,408.8,4.7315,0.022246
