,Q (m3/s),Load (t)
2009-07-01,0.19672750391863048,0.000499867401504297
2009-07-02,0.1912555926203668,0.000481590464192525
2009-07-03,0.18613206935342141,0.00046659653630900844
2009-07-04,0.18119507322473333,0.00045323355107895167
2009-07-05,0.17648028433708554,0.0004410005004191604
2009-07-06,0.17189517842021818,0.0004293633076715148
2009-07-07,0.1673855188191602,0.0004180383970603795
2009-07-08,0.16300963356206072,0.0004071145824007394
2009-07-09,0.1587781174626969,0.00039658640476287885
2009-07-10,0.15507945087829259,0.00039262455811363674
2009-07-11,0.15102407432129436,0.0003830950558437812
2009-07-12,0.1471276227966523,0.0003719562437062472
2009-07-13,0.14324210895584902,0.0003607141116956257
2009-07-14,0.1395067914258284,0.0003503975242254626
2009-07-15,0.13593938639754263,0.0003408392193293925
2009-07-16,0.13254275971808338,0.0003320099799005911
2009-07-17,0.1292440306007411,0.0003236093714694618
2009-07-18,0.12604795766045246,0.0003155657313211586
2009-07-19,0.12290710635779162,0.0003077129398309769
2009-07-20,0.11992351896243025,0.0003002882030395001
2009-07-21,0.11767050553297452,0.00030282341932883427
2009-07-22,0.11451444325897163,0.00029039254078980323
2009-07-23,0.11147520437983578,0.0002814313533491555
2009-07-24,0.10867228566478797,0.0002735820770683933
2009-07-25,0.10603869044750548,0.00026651568593217574
2009-07-26,0.10351778739188967,0.00025996279540173994
2009-07-27,0.1010110305498802,0.0002535719113410437
2009-07-28,0.09638812481399227,0.0002431833254179931
2009-07-29,0.08990760917483585,0.00022853969470579616
2009-07-30,0.08174247323813538,0.0002098193773866725
2009-07-31,0.07239561040574602,0.00018746168135672735
2009-08-01,0.061712074798298086,0.0001608575429341272
2009-08-02,0.05149916425632876,0.00013559001633702645
2009-08-03,0.04303844918513555,0.00011413813723855706
2009-08-04,0.036443560682175954,9.681672469837384e-05
2009-08-05,0.031776577914030754,8.432132899975136e-05
2009-08-06,0.02894275940926494,7.667453967586969e-05
2009-08-07,0.0269403809980472,7.12288655334419e-05
2009-08-08,0.025630093607571885,6.768690413996807e-05
2009-08-09,0.02484542014452967,6.560195412269802e-05
2009-08-10,0.024374221674599884,6.438072559515979e-05
2009-08-11,0.023966330286931133,6.333424053293107e-05
2009-08-12,0.023642327241982702,6.25059273935579e-05
2009-08-13,0.02338681035373957,6.185041961923153e-05
2009-08-14,0.02315150129318098,6.123906328902456e-05
