,Q (m3/s),Load (t)
2009-07-01,0.19672750391863048,0.00040767467423047143
2009-07-02,0.1912555926203668,0.0003916854282914119
2009-07-03,0.18613206935342141,0.00037893197173490825
2009-07-04,0.18119507322473333,0.000367801888906576
2009-07-05,0.17648028433708554,0.00035776395212419316
2009-07-06,0.17189517842021818,0.00034830047018652904
2009-07-07,0.1673855188191602,0.00033913484212968456
2009-07-08,0.16300963356206072,0.00033032377532244415
2009-07-09,0.1587781174626969,0.0003218492830895163
2009-07-10,0.15507945087829259,0.00031893283246558135
2009-07-11,0.15102407432129436,0.0003115257563500603
2009-07-12,0.1471276227966523,0.00030254831357050423
2009-07-13,0.14324210895584902,0.00029344044511977563
2009-07-14,0.1395067914258284,0.00028509652654252273
2009-07-15,0.13593938639754263,0.00027731579390946495
2009-07-16,0.13254275971808338,0.00027014141848507195
2009-07-17,0.1292440306007411,0.0002633348122799519
2009-07-18,0.12604795766045246,0.0002568345472777279
2009-07-19,0.12290710635779162,0.00025050086157037344
2009-07-20,0.11992351896243025,0.00024452739426368997
2009-07-21,0.11767050553297452,0.0002482217619608793
2009-07-22,0.11451444325897163,0.00023757677580400115
2009-07-23,0.11147520437983578,0.00022996052510483345
2009-07-24,0.10867228566478797,0.00022339255884812258
2009-07-25,0.10603869044750548,0.00021756132141678898
2009-07-26,0.10351778739188967,0.00021221155559425937
2009-07-27,0.1010110305498802,0.00020702331947443763
2009-07-28,0.09638812481399227,0.0001992852733913202
2009-07-29,0.08990760917483585,0.00018886623427934675
2009-07-30,0.08174247323813538,0.000175666532701693
2009-07-31,0.07239561040574602,0.00015916091353556936
2009-08-01,0.061712074798298086,0.00013837021209644026
2009-08-02,0.05149916425632876,0.0001178602290472446
2009-08-03,0.04303844918513555,9.977455246160103e-05
2009-08-04,0.036443560682175954,8.4398986340489e-05
2009-08-05,0.031776577914030754,7.282342719283315e-05
2009-08-06,0.02894275940926494,6.541625476222169e-05
2009-08-07,0.0269403809980472,5.995924918233437e-05
2009-08-08,0.025630093607571885,5.63591907731442e-05
2009-08-09,0.02484542014452967,5.423310364653324e-05
2009-08-10,0.024374221674599884,5.301181388849507e-05
2009-08-11,0.023966330286931133,5.204852707884768e-05
2009-08-12,0.023642327241982702,5.133983452713109e-05
2009-08-13,0.02338681035373957,5.081288784841832e-05
2009-08-14,0.02315150129318098,5.0339592993367735e-05
2009-08-15,0.022967505160515548,4.9986204796047375e-05
2009-08-16,0.02283871071839465,4.975651701444613e-05
2009-08-17,0.02266070004589723,4.9411294886498275e-05
2009-08-18,0.02252373083088276,4.915891685581984e-05
2009-08-19,0.022370434236087276,4.886633368226459e-05
2009-08-20,0.02222352211451941,4.858766380398731e-05
2009-08-21,0.02208382967893833,4.8323620565167624e-05
2009-08-22,0.02191344654718007,4.798443651572817e-05
2009-08-23,0.02175829002423647,4.7678522816040514e-05
2009-08-24,0.02161746173925545,4.740966851444195e-05
2009-08-25,0.021528032329622717,4.725453187935831e-05
2009-08-26,0.02137021296280004,4.694125141099282e-05
2009-08-27,0.02123000238344557,4.666950498163891e-05
2009-08-28,0.02109152116548328,4.639465482099403e-05
2009-08-29,0.02109831346332884,0.00013765860055337654
2009-08-30,0.020990948081441415,0.00019134417707335612
2009-08-31,0.020886565611797785,0.00019716727105763987
2009-09-01,0.020932914581394853,0.00017627902581272335
2009-09-02,0.02799955137097608,0.00037809193729457414
2009-09-03,0.0595598331257549,0.0019498082734041545
2009-09-04,0.046554114957956715,0.0010434323889808418
2009-09-05,0.03886585181658743,0.0006982466400846905
2009-09-06,0.03196111013799805,0.00046650352336079356
2009-09-07,0.02712830561072718,0.0003161166883023787
2009-09-08,0.024100574289683947,0.00022115810552172398
2009-09-09,0.022260342754534628,0.00016058387206800063
2009-09-10,0.021113340999738203,0.0001212184616908922
2009-09-11,0.020237667401948243,9.485904293449039e-05
2009-09-12,0.019649280840439282,7.739860473900417e-05
2009-09-13,0.01934484410971315,6.600229989997211e-05
2009-09-14,0.019070533203386402,5.81749302468543e-05
2009-09-15,0.01880259224759616,5.270603824425968e-05
2009-09-16,0.018624431564932552,4.902516086195225e-05
2009-09-17,0.018516591314461275,4.656439323641038e-05
2009-09-18,0.01838642797339846,4.475713623254717e-05
2009-09-19,0.018289604486677585,4.351282960913855e-05
2009-09-20,0.01819657779715654,4.2603376527109755e-05
2009-09-21,0.018106352525320203,4.2267861346783965e-05
2009-09-22,0.01806287770012185,4.182243279811986e-05
2009-09-23,0.017983076058482286,4.1340417386695465e-05
2009-09-24,0.017976312583120182,4.1107923840891406e-05
2009-09-25,0.03357172331343595,0.0004966976846724991
2009-09-26,0.03150626550885967,0.00036033749328964233
2009-09-27,0.03033371385789259,0.00031174395851822634
2009-09-28,0.026629082533090834,0.00023677246447955768
2009-09-29,0.023274609899463786,0.0001730793884254976
2009-09-30,0.021005039946790476,0.00012839702708438585
2009-10-01,0.019592026269815512,9.860547947387505e-05
2009-10-02,0.018693550590828573,7.880156931932399e-05
2009-10-03,0.01813788525525051,6.565484467672824e-05
2009-10-04,0.017806448915690526,5.6922616654534396e-05
2009-10-05,0.017582154391127775,5.102993747673118e-05
2009-10-06,0.017469219174866615,4.714637919509561e-05
2009-10-07,0.017401265457515462,4.453870268756832e-05
2009-10-08,0.017307332029973636,4.2658884936786505e-05
2009-10-09,0.017266209861254832,4.1441545126972356e-05
2009-10-10,0.01723507050021765,4.060432646161155e-05
2009-10-11,0.01719716117521057,4.000131552954179e-05
2009-10-12,0.01710923968367582,3.9447663212387214e-05
2009-10-13,0.01705849581334054,3.9098161068146455e-05
2009-10-14,0.016971111821813926,3.8742054663035196e-05
2009-10-15,0.016916926504984105,3.851087708781302e-05
2009-10-16,0.016897782252378632,3.8390947494401375e-05
2009-10-17,0.01686084112372318,3.825407301576645e-05
2009-10-18,0.016864015711969646,3.8231865831330854e-05
2009-10-19,0.019359089631617414,6.448131016639269e-05
2009-10-20,0.017526591341702525,4.468694297075815e-05
2009-10-21,0.01712736907245376,4.1304684554139824e-05
2009-10-22,0.016922936402344317,3.999895668464205e-05
2009-10-23,0.016821035679731408,3.920423353415704e-05
2009-10-24,0.016925690323810694,3.983372684739609e-05
2009-10-25,0.016869401630388928,3.974534502110613e-05
2009-10-26,0.016878246893566456,3.9888279203902865e-05
2009-10-27,0.08895356214957871,0.0007965855061245011
2009-10-28,0.10502674124989228,0.0009481747975705441
2009-10-29,0.09424527879811005,0.0007921142444633069
2009-10-30,0.13220808376664786,0.0012459963245158856
2009-10-31,0.14586043138035215,0.001384132912547488
2009-11-01,0.08449470067636085,0.0007947466144317743
2009-11-02,0.05623747881887009,0.0005272431659556597
2009-11-03,0.03924370786457623,0.0003471480832505485
2009-11-04,0.029425037250838365,0.0002297230037858543
2009-11-05,0.023922192922372406,0.0001589741267393087
2009-11-06,0.022997147220874873,0.0001956196849226959
2009-11-07,0.060565032706909626,0.002078760860358541
2009-11-08,0.052541857820826494,0.0016525945558826657
2009-11-09,0.22282378367196817,0.010361494372938686
2009-11-10,1.0491531830346166,0.04896178776289797
2009-11-11,1.7555398273983196,0.08064014478932316
2009-11-12,0.9015231245253327,0.03265714093028134
2009-11-13,0.5013684738647223,0.013064243329280103
2009-11-14,0.3560353142477071,0.006116015018125917
2009-11-15,0.288703761935195,0.0030733111840124915
2009-11-16,0.2563254744937925,0.0016852928887285071
2009-11-17,0.2399039910820492,0.0010742600533530933
2009-11-18,0.22809787064750597,0.0006917243656238426
2009-11-19,0.21976908534379058,0.0005148482374939491
2009-11-20,0.21287636499263932,0.00042070434771417965
2009-11-21,0.2066114888847983,0.00036780736874173663
2009-11-22,0.20076462563484754,0.0003363366850010623
2009-11-23,0.19515501404821411,0.00031598834838147337
2009-11-24,0.20001382620687613,0.0007956391017867511
2009-11-25,0.18838056917779247,0.00046492074561077485
2009-11-26,0.18160873031230573,0.0003767712320274332
2009-11-27,0.17596471380494447,0.0003272047498274428
2009-11-28,0.1705804700591075,0.00029536753712004597
2009-11-29,0.1656533040327523,0.0002746862809707913
2009-11-30,0.16096035680557555,0.0002602885457552039
2009-12-01,0.15651024635843752,0.0002495885999729305
2009-12-02,0.15231469954839996,0.0002411491862820389
2009-12-03,0.14833511549604886,0.00023407416516753633
2009-12-04,0.21788630716844143,0.0011934503885830403
2009-12-05,0.24186987078473643,0.001728540327453234
2009-12-06,0.18042103028634088,0.0009642190300006899
2009-12-07,0.154865243889139,0.000626222597904414
2009-12-08,0.1403260098355282,0.00043755202187127667
2009-12-09,0.1313916251761772,0.0003293193290096814
2009-12-10,0.1253757397002127,0.00026706893421561955
2009-12-11,0.12093524507660793,0.0002305505214242542
2009-12-12,0.11724741611863035,0.0002081942346316719
2009-12-13,0.11394895557501641,0.00019375868940498596
2009-12-14,0.11106636549217097,0.00018420118162132388
2009-12-15,0.12648705713762642,0.00041360466477746526
2009-12-16,0.12403738700921343,0.00041592254860237663
2009-12-17,0.11693863806257825,0.0003582356195758606
2009-12-18,0.11466848630763915,0.0003734138916830079
2009-12-19,0.10740587088490616,0.00031050569057553624
2009-12-20,0.10042579409351143,0.00024600763381073303
2009-12-21,0.2761105213377638,0.002750682311882617
2009-12-22,0.1560656979493632,0.0012194589648775482
2009-12-23,0.12375878868460312,0.0007639087883254246
2009-12-24,0.10533958235631724,0.0005079097371544026
2009-12-25,0.0971039637905166,0.00038918977118391216
2009-12-26,0.08795255316841158,0.0002700480019533352
2009-12-27,0.09909714950279729,0.00043119045052226557
2009-12-28,0.22636511101310106,0.002368195645336895
2009-12-29,0.586216669390833,0.008171703447200649
2009-12-30,40.19720853397961,0.5108307558224444
2009-12-31,24.561714681910402,0.32982556501031496
2010-01-01,16.88813336794029,0.23586575114300248
2010-01-02,13.151636573006906,0.17129089438469175
2010-01-03,7.446225552664839,0.08988065131690288
2010-01-04,4.04324351466029,0.04330864962563515
2010-01-05,2.3726510869843036,0.02087858863637908
2010-01-06,1.6195346221406157,0.011054481883695125
2010-01-07,1.3221438019271952,0.007161778364047257
2010-01-08,1.2552828515836094,0.006351983075425062
2010-01-09,4.637277401829075,0.04776533956237505
2010-01-10,10.760318206800118,0.12590635984099854
2010-01-11,8.10894955912418,0.0913172540145457
2010-01-12,4.931474555979762,0.04995410927358563
2010-01-13,3.071951138906479,0.026491475132294228
2010-01-14,2.0913004140287708,0.014410885470542471
2010-01-15,1.5873969510913957,0.00832947588383958
2010-01-16,1.3244819377574801,0.005273010639443038
2010-01-17,1.1659440993553114,0.0035091839944870022
2010-01-18,1.0780397599496785,0.002642933595459228
2010-01-19,1.0219422672311447,0.0022040025302586383
2010-01-20,0.9821057966888591,0.0019798822115038124
2010-01-21,0.9489799853728691,0.001848864079705301
2010-01-22,0.9198501074165885,0.001765116485244507
2010-01-23,0.8942790640884873,0.0017264458937058485
2010-01-24,0.9792157936522202,0.002950361082779844
2010-01-25,125.96139240718932,1.7418406561344488
2010-01-26,305.59301789406004,3.9868138375238096
2010-01-27,96.47856989169065,1.272662614848996
2010-01-28,42.32922464969795,0.5757456026473581
2010-01-29,19.389139898047826,0.24602171377303636
2010-01-30,10.588207540705895,0.12091815618764996
2010-01-31,540.1313939755487,6.992592785609769
2010-02-01,104.53286242757133,1.518320952666222
2010-02-02,67.60292906330145,1.069116715527529
2010-02-03,24.53508229810144,0.3687186926231642
2010-02-04,13.1821736001278,0.18153218892278364
2010-02-05,8.79099393658842,0.1089852180667316
2010-02-06,7.873173695071119,0.09504619814903609
2010-02-07,11.540415995743729,0.1630483474288039
2010-02-08,10.080721972524538,0.1376381364782051
2010-02-09,7.991028370520599,0.10088999180729087
2010-02-10,166.15375955600774,2.7982238044396874
2010-02-11,68.42512654299215,1.1082335873827318
2010-02-12,86.37208326070318,1.4157740867305857
2010-02-13,39.554602182598764,0.619901820996675
2010-02-14,43.87332326248893,0.7092789649995555
2010-02-15,29.687773054442967,0.4528981638460103
2010-02-16,24.06540024775359,0.3576113626621817
2010-02-17,47.002720902678746,0.7419336526317313
2010-02-18,256.68697068664756,4.252166994473344
2010-02-19,63.84461059104918,1.0164156384640606
2010-02-20,45.964551649102866,0.7134947675886222
