,Q (m3/s),Load (t)
2009-07-01,0.19672750391863048,0.00024586214819859745
2009-07-02,0.1912555926203668,0.00023485300568280683
2009-07-03,0.18613206935342141,0.0002264674269000801
2009-07-04,0.18119507322473333,0.00021941653849003978
2009-07-05,0.17648028433708554,0.00021319470729898204
2009-07-06,0.17189517842021818,0.0002074094878362594
2009-07-07,0.1673855188191602,0.00020185376594781778
2009-07-08,0.16300963356206072,0.00019653226916665586
2009-07-09,0.1587781174626969,0.0001914234820833065
2009-07-10,0.15507945087829259,0.0001918235232798473
2009-07-11,0.15102407432129436,0.0001878760726666882
2009-07-12,0.1471276227966523,0.00018196988924787228
2009-07-13,0.14324210895584902,0.0001757909537218092
2009-07-14,0.1395067914258284,0.00017026893747422594
2009-07-15,0.13593938639754263,0.00016519646018444006
2009-07-16,0.13254275971808338,0.00016063499535459976
2009-07-17,0.1292440306007411,0.00015639731916735383
2009-07-18,0.12604795766045246,0.00015240602384838405
2009-07-19,0.12290710635779162,0.00014855073434080735
2009-07-20,0.11992351896243025,0.00014492796732244823
2009-07-21,0.11767050553297452,0.00015103918253408325
2009-07-22,0.11451444325897163,0.00014252181750554858
2009-07-23,0.11147520437983578,0.00013721993244826086
2009-07-24,0.10867228566478797,0.0001328136758756745
2009-07-25,0.10603869044750548,0.00012903708968851286
2009-07-26,0.10351778739188967,0.00012566394827319202
2009-07-27,0.1010110305498802,0.00012245976121085406
2009-07-28,0.09638812481399227,0.0001169060744753379
2009-07-29,0.08990760917483585,0.00010895507861400928
2009-07-30,0.08174247323813538,9.881574151335337e-05
2009-07-31,0.07239561040574602,8.69647835831046e-05
2009-08-01,0.061712074798298086,7.331151342162792e-05
2009-08-02,0.05149916425632876,6.0595160830691957e-05
2009-08-03,0.04303844918513555,5.01168501951177e-05
2009-08-04,0.036443560682175954,4.211109075508949e-05
2009-08-05,0.031776577914030754,3.665593372840778e-05
2009-08-06,0.02894275940926494,3.3564187374735044e-05
2009-08-07,0.0269403809980472,3.149374305434912e-05
2009-08-08,0.025630093607571885,3.0202150740547672e-05
2009-08-09,0.02484542014452967,2.947725126452138e-05
2009-08-10,0.024374221674599884,2.907223036564196e-05
2009-08-11,0.023966330286931133,2.8693411185636502e-05
2009-08-12,0.023642327241982702,2.838109465515589e-05
2009-08-13,0.02338681035373957,2.8131165250997594e-05
2009-08-14,0.02315150129318098,2.7891927794826936e-05
2009-08-15,0.022967505160515548,2.770670069828336e-05
2009-08-16,0.02283871071839465,2.758499672887726e-05
2009-08-17,0.02266070004589723,2.739800696371141e-05
2009-08-18,0.02252373083088276,2.7258474505496885e-05
2009-08-19,0.022370434236087276,2.7097318670548972e-05
2009-08-20,0.02222352211451941,2.694206616573676e-05
2009-08-21,0.02208382967893833,2.6794856679691945e-05
2009-08-22,0.02191344654718007,2.6608425608917253e-05
2009-08-23,0.02175829002423647,2.643957655529063e-05
2009-08-24,0.02161746173925545,2.628808588048287e-05
2009-08-25,0.021528032329622717,2.620135536610163e-05
2009-08-26,0.02137021296280004,2.6028216595809124e-05
2009-08-27,0.02123000238344557,2.5875322649801555e-05
2009-08-28,0.02109152116548328,2.572340424508391e-05
2009-08-29,0.02109831346332884,0.00011705127084557205
2009-08-30,0.020990948081441415,0.00017093300686630918
2009-08-31,0.020886565611797785,0.000176910493594412
2009-09-01,0.020932914581394853,0.00015595439555645077
2009-09-02,0.02799955137097608,0.00035965593815942424
2009-09-03,0.0595598331257549,0.001947715130297542
2009-09-04,0.046554114957956715,0.001038888107382516
2009-09-05,0.03886585181658743,0.0006924373662483231
2009-09-06,0.03196111013799805,0.0004583379368777096
2009-09-07,0.02712830561072718,0.00030531769825126176
2009-09-08,0.024100574289683947,0.00020808564505774834
2009-09-09,0.022260342754534628,0.00014573125383875426
2009-09-10,0.021113340999738203,0.0001050714672546506
2009-09-11,0.020237667401948243,7.78893268619583e-05
2009-09-12,0.019649280840439282,5.986337189151894e-05
2009-09-13,0.01934484410971315,4.79962704336459e-05
2009-09-14,0.019070533203386402,3.994044458871131e-05
2009-09-15,0.01880259224759616,3.4409240126615344e-05
2009-09-16,0.018624431564932552,3.0690459455036225e-05
2009-09-17,0.018516591314461275,2.819872727382075e-05
2009-09-18,0.01838642797339846,2.6437956251046938e-05
2009-09-19,0.018289604486677585,2.5232956601276932e-05
2009-09-20,0.01819657779715654,2.437946163859053e-05
