,Q (m3/s),Load (t)
2009-07-01,0.19672750391863048,0.00041329685751270864
2009-07-02,0.1912555926203668,0.00039694436010535204
2009-07-03,0.18613206935342141,0.00038394511372812345
2009-07-04,0.18119507322473333,0.0003726289684588821
2009-07-05,0.17648028433708554,0.0003624382450417719
2009-07-06,0.17189517842021818,0.0003528392075073496
2009-07-07,0.1673855188191602,0.00034354698002995467
2009-07-08,0.16300963356206072,0.0003346163924386139
2009-07-09,0.1587781174626969,0.00032602804759308823
2009-07-10,0.15507945087829259,0.0003232267442516795
2009-07-11,0.15102407432129436,0.0003157564511284956
2009-07-12,0.1471276227966523,0.0003066265815379835
2009-07-13,0.14324210895584902,0.0002973476955819973
2009-07-14,0.1395067914258284,0.00028885462083920753
2009-07-15,0.13593938639754263,0.00028094270780506164
2009-07-16,0.13254275971808338,0.00027365577406088677
2009-07-17,0.1292440306007411,0.0002667487403354578
2009-07-18,0.12604795766045246,0.00026015647755211113
2009-07-19,0.12290710635779162,0.00025373560758680237
2009-07-20,0.11992351896243025,0.00024768095341930977
2009-07-21,0.11767050553297452,0.000251561529322563
2009-07-22,0.11451444325897163,0.00024066810864464453
2009-07-23,0.11147520437983578,0.0002329364798712627
2009-07-24,0.10867228566478797,0.0002262736168424953
2009-07-25,0.10603869044750548,0.00022036062495419163
2009-07-26,0.10351778739188967,0.00021493750994474965
2009-07-27,0.1010110305498802,0.00020967945709279365
2009-07-28,0.09638812481399227,0.00020182917208055428
2009-07-29,0.08990760917483585,0.00019125126859839234
2009-07-30,0.08174247323813538,0.00017785066903204343
2009-07-31,0.07239561040574602,0.00016111093693522665
2009-08-01,0.061712074798298086,0.00014005155444801604
2009-08-02,0.05149916425632876,0.00011929432907066334
2009-08-03,0.04303844918513555,0.00010100231706571578
2009-08-04,0.036443560682175954,8.546222206103452e-05
2009-08-05,0.031776577914030754,7.376530487225378e-05
2009-08-06,0.02894275940926494,6.627797142478468e-05
2009-08-07,0.0269403809980472,6.0762438642630883e-05
2009-08-08,0.025630093607571885,5.712339881033972e-05
2009-08-09,0.02484542014452967,5.4973400943786374e-05
2009-08-10,0.024374221674599884,5.373721847855099e-05
2009-08-11,0.023966330286931133,5.276098700004788e-05
2009-08-12,0.023642327241982702,5.204155127607278e-05
2009-08-13,0.02338681035373957,5.1505656531416033e-05
2009-08-14,0.02315150129318098,5.102394839477084e-05
2009-08-15,0.022967505160515548,5.0663487973438145e-05
2009-08-16,0.02283871071839465,5.0428217464360896e-05
2009-08-17,0.02266070004589723,5.007616654936396e-05
2009-08-18,0.02252373083088276,4.981804640527547e-05
2009-08-19,0.022370434236087276,4.951935218294019e-05
2009-08-20,0.02222352211451941,4.923477888813703e-05
2009-08-21,0.02208382967893833,4.89650727675592e-05
2009-08-22,0.02191344654718007,4.8619479678099124e-05
2009-08-23,0.02175829002423647,4.830759070797083e-05
2009-08-24,0.02161746173925545,4.803320543029852e-05
2009-08-25,0.021528032329622717,4.78739879044362e-05
2009-08-26,0.02137021296280004,4.755489973188411e-05
2009-08-27,0.02123000238344557,4.7277825006757885e-05
2009-08-28,0.02109152116548328,4.699771864286639e-05
2009-08-29,0.02109831346332884,0.0001383181552923762
2009-08-30,0.020990948081441415,0.00019203632575929137
2009-08-31,0.020886565611797785,0.00019786255752837908
2009-09-01,0.020932914581394853,0.00017696189556632824
2009-09-02,0.02799955137097608,0.0003809758011845683
