,Q (m3/s),Load (t)
2009-07-01,0.19672750391863048,0.0003028175042968744
2009-07-02,0.1912555926203668,0.0002895916195782654
2009-07-03,0.18613206935342141,0.0002794341987773017
2009-07-04,0.18119507322473333,0.0002708403103481419
2009-07-05,0.17648028433708554,0.0002632475263122492
2009-07-06,0.17189517842021818,0.00025618276634419414
2009-07-07,0.1673855188191602,0.00024939288098411636
2009-07-08,0.16300963356206072,0.00024289386298820265
2009-07-09,0.1587781174626969,0.00023665866951096514
2009-07-10,0.15507945087829259,0.00023614576218164817
2009-07-11,0.15102407432129436,0.00023124256101677564
2009-07-12,0.1471276227966523,0.00022431494965947506
2009-07-13,0.14324210895584902,0.0002171017421044317
2009-07-14,0.1395067914258284,0.00021057401629094957
2009-07-15,0.13593938639754263,0.00020452830583852667
2009-07-16,0.13254275971808338,0.00019904257636097506
2009-07-17,0.1292440306007411,0.00019391222761071242
2009-07-18,0.12604795766045246,0.00018906179596165387
2009-07-19,0.12290710635779162,0.0001843670567518543
2009-07-20,0.11992351896243025,0.00017995750033829804
2009-07-21,0.11767050553297452,0.00018479157563538182
2009-07-22,0.11451444325897163,0.0001761598749351661
2009-07-23,0.11147520437983578,0.0001700373071154891
2009-07-24,0.10867228566478797,0.0001648742044246036
2009-07-25,0.10603869044750548,0.00016039404038135728
2009-07-26,0.10351778739188967,0.0001563549149728835
2009-07-27,0.1010110305498802,0.00015248372440582176
2009-07-28,0.09638812481399227,0.0001466656077022572
2009-07-29,0.08990760917483585,0.00013885176830543067
2009-07-30,0.08174247323813538,0.00012897833576961195
2009-07-31,0.07239561040574602,0.00011661956151120043
2009-08-01,0.061712074798298086,0.00010108789835020381
2009-08-02,0.05149916425632876,8.576204046661168e-05
2009-08-03,0.04303844918513555,7.22811263100551e-05
2009-08-04,0.036443560682175954,6.091639155103258e-05
2009-08-05,0.031776577914030754,5.242382851933028e-05
2009-08-06,0.02894275940926494,4.703111643648665e-05
2009-08-07,0.0269403809980472,4.308673278438577e-05
2009-08-08,0.025630093607571885,4.050141876377147e-05
2009-08-09,0.02484542014452967,3.8990157241152124e-05
2009-08-10,0.024374221674599884,3.813682408368412e-05
2009-08-11,0.023966330286931133,3.746830419675851e-05
2009-08-12,0.023642327241982702,3.698266812206316e-05
2009-08-13,0.02338681035373957,3.66283058701483e-05
2009-08-14,0.02315150129318098,3.63118694007063e-05
2009-08-15,0.022967505160515548,3.608205314539835e-05
2009-08-16,0.02283871071839465,3.5942402462084854e-05
2009-08-17,0.02266070004589723,3.5717328302900155e-05
2009-08-18,0.02252373083088276,3.555897695079907e-05
2009-08-19,0.022370434236087276,3.5370562423580224e-05
2009-08-20,0.02222352211451941,3.519130097842089e-05
2009-08-21,0.02208382967893833,3.502200666278044e-05
2009-08-22,0.02191344654718007,3.4796818129524546e-05
2009-08-23,0.02175829002423647,3.459501445783951e-05
2009-08-24,0.02161746173925545,3.441974148447864e-05
2009-08-25,0.021528032329622717,3.432760998825617e-05
2009-08-26,0.02137021296280004,3.411881366735604e-05
2009-08-27,0.02123000238344557,3.3939270663291816e-05
2009-08-28,0.02109152116548328,3.375680826032956e-05
2009-08-29,0.02109831346332884,0.00012514221492326467
2009-08-30,0.020990948081441415,0.00017904169326802367
2009-08-31,0.020886565611797785,0.0001850032043681662
2009-09-01,0.020932914581394853,0.00016409121478284786
2009-09-02,0.02799955137097608,0.00037234780040688685
2009-09-03,0.0595598331257549,0.0019518840195946873
2009-09-04,0.046554114957956715,0.0010610262363443606
2009-09-05,0.03886585181658743,0.0007136756172227835
2009-09-06,0.03196111013799805,0.000477567520234988
2009-09-07,0.02712830561072718,0.00032172773757502407
2009-09-08,0.024100574289683947,0.00022208733020419145
2009-09-09,0.022260342754534628,0.00015792149966378368
2009-09-10,0.021113340999738203,0.0001159505345489527
2009-09-11,0.020237667401948243,8.781942215387331e-05
2009-09-12,0.019649280840439282,6.914963007323779e-05
2009-09-13,0.01934484410971315,5.688388702134137e-05
2009-09-14,0.019070533203386402,4.8514125230884876e-05
2009-09-15,0.01880259224759616,4.2728980812858335e-05
2009-09-16,0.018624431564932552,3.883456038316141e-05
2009-09-17,0.018516591314461275,3.622395002579246e-05
2009-09-18,0.01838642797339846,3.4351784219019005e-05
2009-09-19,0.018289604486677585,3.3068264394557316e-05
2009-09-20,0.01819657779715654,3.2149085074854564e-05
2009-09-21,0.018106352525320203,3.1836189105611166e-05
2009-09-22,0.01806287770012185,3.138520992558179e-05
2009-09-23,0.017983076058482286,3.092774351723264e-05
2009-09-24,0.017976312583120182,3.068255059605311e-05
2009-09-25,0.03357172331343595,0.0004934493432175464
2009-09-26,0.03150626550885967,0.00036116416556246475
2009-09-27,0.03033371385789259,0.0003241001880269511
2009-09-28,0.026629082533090834,0.000249044494314534
2009-09-29,0.023274609899463786,0.0001808623272423039
2009-09-30,0.021005039946790476,0.000131498318785279
2009-10-01,0.019592026269815512,9.793765125053944e-05
2009-10-02,0.018693550590828573,7.535200069859856e-05
2009-10-03,0.01813788525525051,6.020650379921658e-05
2009-10-04,0.017806448915690526,5.0056044746598086e-05
2009-10-05,0.017582154391127775,4.31841103484253e-05
2009-10-06,0.017469219174866615,3.86043738382879e-05
2009-10-07,0.017401265457515462,3.551639828298119e-05
2009-10-08,0.017307332029973636,3.3338585978891696e-05
2009-10-09,0.017266209861254832,3.1904451574650243e-05
2009-10-10,0.01723507050021765,3.092413334915685e-05
2009-10-11,0.01719716117521057,3.0233492291957247e-05
2009-10-12,0.01710923968367582,2.9658158596659663e-05
2009-10-13,0.01705849581334054,2.9286951950514846e-05
2009-10-14,0.016971111821813926,2.8947757170406783e-05
2009-10-15,0.016916926504984105,2.87253773318661e-05
2009-10-16,0.016897782252378632,2.86021548646507e-05
2009-10-17,0.01686084112372318,2.8478011380423968e-05
2009-10-18,0.016864015711969646,2.8445873713006295e-05
2009-10-19,0.019359089631617414,5.0026897607674344e-05
2009-10-20,0.017526591341702525,3.61780118985066e-05
2009-10-21,0.01712736907245376,3.20744033535952e-05
2009-10-22,0.016922936402344317,3.064266614121703e-05
2009-10-23,0.016821035679731408,2.9746148021796703e-05
2009-10-24,0.016925690323810694,3.0660293744874874e-05
2009-10-25,0.016869401630388928,3.056139220889519e-05
2009-10-26,0.016878246893566456,3.076070974434327e-05
2009-10-27,0.08895356214957871,0.0007320165501341513
2009-10-28,0.10502674124989228,0.000988227139722895
2009-10-29,0.09424527879811005,0.0008640414030067371
2009-10-30,0.13220808376664786,0.0012677769332822887
2009-10-31,0.14586043138035215,0.001476422052038319
2009-11-01,0.08449470067636085,0.000870752344529682
2009-11-02,0.05623747881887009,0.0005668514002777822
2009-11-03,0.03924370786457623,0.00036702550321210603
2009-11-04,0.029425037250838365,0.00023909925566060645
2009-11-05,0.023922192922372406,0.00016207520328357774
2009-11-06,0.022997147220874873,0.00017473508555463865
2009-11-07,0.060565032706909626,0.0016892999536956828
2009-11-08,0.052541857820826494,0.0013120178256337768
2009-11-09,0.22282378367196817,0.00837290712446452
2009-11-10,1.0491531830346166,0.03821477567606332
2009-11-11,1.7555398273983196,0.06270050444707904
2009-11-12,0.9015231245253327,0.025613445047214814
2009-11-13,0.5013684738647223,0.010239919230406284
2009-11-14,0.3560353142477071,0.004868163445948675
2009-11-15,0.288703761935195,0.002458937472525298
2009-11-16,0.2563254744937925,0.0013451414544298737
2009-11-17,0.2399039910820492,0.000853805187131899
2009-11-18,0.22809787064750597,0.000541298568262114
2009-11-19,0.21976908534379058,0.0003971085902975222
2009-11-20,0.21287636499263932,0.000320547715845238
2009-11-21,0.2066114888847983,0.00027774612031824386
2009-11-22,0.20076462563484754,0.0002525150555653887
2009-11-23,0.19515501404821411,0.00023641975415890733
2009-11-24,0.20001382620687613,0.0006224494722750861
2009-11-25,0.18838056917779247,0.00035076459502519886
2009-11-26,0.18160873031230573,0.0002824151786043233
2009-11-27,0.17596471380494447,0.00024524433087083343
2009-11-28,0.1705804700591075,0.00022107932490787047
2009-11-29,0.1656533040327523,0.00020528516224974758
2009-11-30,0.16096035680557555,0.00019429336547145364
2009-12-01,0.15651024635843752,0.00018615616584858813
2009-12-02,0.15231469954839996,0.00017977015530913916
2009-12-03,0.14833511549604886,0.0001744424705109322
2009-12-04,0.21788630716844143,0.0009819822828329421
2009-12-05,0.24186987078473643,0.0014353051760766162
2009-12-06,0.18042103028634088,0.0008421686386345275
2009-12-07,0.154865243889139,0.0005368120859121484
2009-12-08,0.1403260098355282,0.0003692381738964886
2009-12-09,0.1313916251761772,0.0002710899789932214
2009-12-10,0.1253757397002127,0.00021402580058239854
2009-12-11,0.12093524507660793,0.00018047759271934579
2009-12-12,0.11724741611863035,0.00016011332369465753
2009-12-13,0.11394895557501641,0.00014721116594539654
2009-12-14,0.11106636549217097,0.00013885507582920924
2009-12-15,0.12648705713762642,0.00033152232555739924
2009-12-16,0.12403738700921343,0.0003434765332733213
2009-12-17,0.11693863806257825,0.00029500174780207875
2009-12-18,0.11466848630763915,0.0003047886528974828
2009-12-19,0.10740587088490616,0.00025585747007082977
2009-12-20,0.10042579409351143,0.00020038113413356357
2009-12-21,0.2761105213377638,0.0022455515414662717
2009-12-22,0.1560656979493632,0.0010874186463133517
2009-12-23,0.12375878868460312,0.0006604593829213558
2009-12-24,0.10533958235631724,0.0004375133826250311
2009-12-25,0.0971039637905166,0.00033069928039128446
2009-12-26,0.08795255316841158,0.00022863162027553235
2009-12-27,0.09909714950279729,0.00035731308968539556
2009-12-28,0.22636511101310106,0.0019670116230330013
2009-12-29,0.586216669390833,0.006843359392243126
2009-12-30,40.19720853397961,0.45028301593066145
2009-12-31,24.561714681910402,0.286903420942291
2010-01-01,16.88813336794029,0.2607279036304408
2010-01-02,13.151636573006906,0.17834717137980716
2010-01-03,7.446225552664839,0.0913095002201341
2010-01-04,4.04324351466029,0.043404632597328706
2010-01-05,2.3726510869843036,0.02050306400170273
2010-01-06,1.6195346221406157,0.010532243208320255
2010-01-07,1.3221438019271952,0.006622287982876587
2010-01-08,1.2552828515836094,0.005835091638539158
2010-01-09,4.637277401829075,0.045550540305711575
2010-01-10,10.760318206800118,0.12386466009538903
2010-01-11,8.10894955912418,0.09080146479343129
2010-01-12,4.931474555979762,0.0496290273971928
2010-01-13,3.071951138906479,0.026031869199673548
2010-01-14,2.0913004140287708,0.013908546564139873
2010-01-15,1.5873969510913957,0.007813990646434786
2010-01-16,1.3244819377574801,0.004746605304384546
2010-01-17,1.1659440993553114,0.003006615961127952
2010-01-18,1.0780397599496785,0.0021425355321626907
2010-01-19,1.0219422672311447,0.0017108295457561957
2010-01-20,0.9821057966888591,0.0014962081231786708
2010-01-21,0.9489799853728691,0.0013759711083245088
2010-01-22,0.9198501074165885,0.0013039351028694085
2010-01-23,0.8942790640884873,0.0012753508443240618
2010-01-24,0.9792157936522202,0.002505476041503118
2010-01-25,125.96139240718932,1.7112274503757154
2010-01-26,305.59301789406004,4.001665142090784
2010-01-27,96.47856989169065,1.330561408023635
2010-01-28,42.32922464969795,0.6583863369185834
2010-01-29,19.389139898047826,0.27420802013770074
2010-01-30,10.588207540705895,0.13035889103255577
2010-01-31,540.1313939755487,7.032608321499843
2010-02-01,104.53286242757133,1.590707599929675
2010-02-02,67.60292906330145,1.3027179575663543
2010-02-03,24.53508229810144,0.4198597231864417
2010-02-04,13.1821736001278,0.1967363548666487
2010-02-05,8.79099393658842,0.11488868992861387
2010-02-06,7.873173695071119,0.09892855300221387
2010-02-07,11.540415995743729,0.16039707343524184
2010-02-08,10.080721972524538,0.13618290773916297
2010-02-09,7.991028370520599,0.10024696183295595
2010-02-10,166.15375955600774,2.79686507783492
2010-02-11,68.42512654299215,1.159332522672013
2010-02-12,86.37208326070318,1.468552999978458
2010-02-13,39.554602182598764,0.6619658266172953
2010-02-14,43.87332326248893,0.7222614486933174
2010-02-15,29.687773054442967,0.4755741416169155
2010-02-16,24.06540024775359,0.36933203602501585
2010-02-17,47.002720902678746,0.7579301418446669
2010-02-18,256.68697068664756,4.337415771312505
2010-02-19,63.84461059104918,1.0736375065595343
2010-02-20,45.964551649102866,0.8124234195739809
2010-02-21,112.88435655884962,1.9026521431334487
2010-02-22,182.2230779929397,3.080144239331968
2010-02-23,54.008245682795895,0.9223639876616585
2010-02-24,33.729187670748466,0.5670164356170473
2010-02-25,19.202698227769606,0.28625859256658576
2010-02-26,44.19493225165209,0.7069212125127212
2010-02-27,79.3280938085208,1.323751546911622
2010-02-28,101.2858223255155,1.7062988177160918
2010-03-01,236.0522470213247,3.811196018295937
2010-03-02,61.427338380752275,1.0050364699469805
2010-03-03,40.98184466176909,0.7025726784375517
2010-03-04,20.66336387976785,0.3041318520766068
2010-03-05,13.474317806134401,0.17019862571568
2010-03-06,9.742128238723112,0.10484800067421231
2010-03-07,7.527463831124474,0.06751692872465034
2010-03-08,6.117619148554423,0.04454577849858583
2010-03-09,5.46108120579275,0.034178054481498764
2010-03-10,4.754717236593294,0.023888540665996716
2010-03-11,4.354432584536349,0.018304674770815575
2010-03-12,4.127781508902426,0.015741866815627736
2010-03-13,3.861045542545918,0.012751563389978975
2010-03-14,3.702375288292035,0.011980877621867607
2010-03-15,3.530875246770318,0.01038477444242038
2010-03-16,3.292476478309111,0.007812024268795821
2010-03-17,3.1309132339118135,0.006321767560810064
2010-03-18,3.035800420061944,0.0059311624595581374
2010-03-19,2.9154438402396807,0.005249737387933719
2010-03-20,2.8207444355273052,0.004875159546768804
2010-03-21,327.8401672342301,5.26338717674164
2010-03-22,123.82483253391746,2.0086224563111204
2010-03-23,131.87311167446367,2.2341505116357974
2010-03-24,46.10212161281526,0.7755803832381666
2010-03-25,27.70667921355544,0.4626939328605347
2010-03-26,15.650274047210736,0.23411445698358113
2010-03-27,10.006448732229842,0.13208838111496327
2010-03-28,6.998912426712899,0.07945197738703678
2010-03-29,5.319170931297036,0.05070564850089185
2010-03-30,4.338835192119211,0.03444162154080265
2010-03-31,3.5472000614551824,0.021926597825971995
2010-04-01,3.072483938756668,0.12699714738072887
2010-04-02,2.7664529992439095,0.11037314963094831
2010-04-03,2.57220536155091,0.0848679005699788
2010-04-04,2.419067690815262,0.054309760090808595
2010-04-05,2.5021537291936307,0.12630905399032805
2010-04-06,2.278283724573924,0.06155747965030266
2010-04-07,2.164159376859928,0.029931251370922694
2010-04-08,2.0682674305151383,0.01430018608379327
2010-04-09,1.9947746858727229,0.008050796155671766
2010-04-10,1.9308582605726632,0.005319594530828151
2010-04-11,1.8716334514885562,0.004035804931637615
2010-04-12,1.8153251309136489,0.003390173603607448
2010-04-13,2.072296159076777,0.13993496244919476
2010-04-14,1.8101096610127603,0.06127419915198598
2010-04-15,1.781785366968019,0.06040732596084078
2010-04-16,1.6623866247115444,0.030787449759901792
2010-04-17,1.5885106814828789,0.016490141623385704
2010-04-18,1.672309527637409,0.07011259219093725
2010-04-19,1.5252119613055832,0.030414139140588603
2010-04-20,1.485754770648784,0.03301810355993398
2010-04-21,1.4162969332416282,0.019588968907366746
2010-04-22,1.3605795958539115,0.0110873777796713
2010-04-23,1.372780176439422,0.032800684235348807
2010-04-24,1.2975698265075646,0.019303387690020192
2010-04-25,1.2565477003802588,0.015555251624519123
2010-04-26,1.2210402566028333,0.01641122490124427
2010-04-27,1.1685982713475758,0.008388122440923056
2010-04-28,1.1289344550545064,0.004635646712512181
2010-04-29,1.0920075792487078,0.002974573266977667
2010-04-30,1.0582180694427692,0.0022259204855062816
