,Q (m3/s),Mod_load(t),Obs_load(t)
2009/7/1,0.196727504,0.748027046,0.01910
2009/7/2,0.191255593,0.725866528,0.02040
2009/7/3,0.186132069,0.705404608,0.02150
2009/7/4,0.181195073,0.685900854,0.02010
2009/7/5,0.176480284,0.667366399,0.02270
2009/7/6,0.171895178,0.649423741,0.02950
2009/7/7,0.167385519,0.631841335,0.02560
2009/7/8,0.163009634,0.614802296,0.02230
2009/7/9,0.158778117,0.59834159,0.02180
2009/7/10,0.155079451,0.582969051,0.02150
2009/7/11,0.151024074,0.567284144,0.02110
2009/7/12,0.147127623,0.552313791,0.02170
2009/7/13,0.143242109,0.537563364,0.02170
2009/7/14,0.139506791,0.523303144,0.19200
2009/7/15,0.135939386,0.509647152,0.06420
2009/7/16,0.13254276,0.49659288,0.04070
2009/7/17,0.129244031,0.483897092,0.02630
2009/7/18,0.126047958,0.471589396,0.02220
2009/7/19,0.122907106,0.459502059,0.02100
2009/7/20,0.119923519,0.448004199,0.01950
2009/7/21,0.117670506,0.438136491,0.01810
2009/7/22,0.114514443,0.426556513,0.01940
2009/7/23,0.111475204,0.415193687,0.02690
2009/7/24,0.108672286,0.404597877,0.02870
2009/7/25,0.10603869,0.394582676,0.02740
2009/7/26,0.103517787,0.384963743,0.03130
2009/7/27,0.101011031,0.375403825,0.03520
2009/7/28,0.096388125,0.355957315,0.03790
2009/7/29,0.089907609,0.328617624,0.03680
2009/7/30,0.081742473,0.294480629,0.03670
2009/7/31,0.07239561,0.256544565,0.03680
2009/8/1,0.061712075,0.215262381,0.03470
2009/8/2,0.051499164,0.176293273,0.03260
2009/8/3,0.043038449,0.144956244,0.03290
2009/8/4,0.036443561,0.121922604,0.03470
2009/8/5,0.031776578,0.10610256,0.03830
2009/8/6,0.028942759,0.096382457,0.03680
2009/8/7,0.026940381,0.089662588,0.03860
2009/8/8,0.025630094,0.08526756,0.03940
2009/8/9,0.02484542,0.082600321,0.03610
2009/8/10,0.024374222,0.080981198,0.03580
2009/8/11,0.02396633,0.079595061,0.03580
2009/8/12,0.023642327,0.078502013,0.03530
2009/8/13,0.02338681,0.077662322,0.03290
2009/8/14,0.023151501,0.07691485,0.03810
2009/8/15,0.022967505,0.076350988,0.03810
2009/8/16,0.022838711,0.075985082,0.03770
2009/8/17,0.0226607,0.075469363,0.03940
2009/8/18,0.022523731,0.075085987,0.04020
2009/8/19,0.022370434,0.074653217,0.04370
2009/8/20,0.022223522,0.074238171,0.04240
2009/8/21,0.02208383,0.073845518,0.04070
2009/8/22,0.021913447,0.07335368,0.03920
2009/8/23,0.02175829,0.072906685,0.03760
2009/8/24,0.021617462,0.072499565,0.03660
2009/8/25,0.021528032,0.072264995,0.04010
2009/8/26,0.021370213,0.071806891,0.04290
2009/8/27,0.021230002,0.071396773,0.04510
2009/8/28,0.021091521,0.070995132,0.04360
2009/8/29,0.021098313,0.070803783,0.04510
2009/8/30,0.020990948,0.070392463,0.04500
2009/8/31,0.020886566,0.070060853,0.04300
2009/9/1,0.020932915,0.070325354,0.50930
2009/9/2,0.027999551,0.080384012,0.10950
2009/9/3,0.059559833,0.118685601,0.06360
2009/9/4,0.046554115,0.095919857,0.03960
2009/9/5,0.038865852,0.085665351,0.02990
2009/9/6,0.03196111,0.076857659,0.02610
2009/9/7,0.027128306,0.071156984,0.02460
2009/9/8,0.024100574,0.068028775,0.02490
2009/9/9,0.022260343,0.066468407,0.02490
2009/9/10,0.021113341,0.065664673,0.02390
2009/9/11,0.020237667,0.064983282,0.02300
2009/9/12,0.019649281,0.064647121,0.02300
2009/9/13,0.019344844,0.064784776,0.02280
2009/9/14,0.019070533,0.064696229,0.02290
2009/9/15,0.018802592,0.064368796,0.02010
2009/9/16,0.018624432,0.064154795,0.01910
2009/9/17,0.018516591,0.064055371,0.02550
2009/9/18,0.018386428,0.063804896,0.02270
2009/9/19,0.018289604,0.063599969,0.02450
