real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
0,50.3164,84.2556,39.7717,35.8906,14.4491,8.64056,16.4829,47.9026,9.8604
1,62.4074,102.396,51.986,45.9203,17.1698,9.80122,19.7617,59.5067,10.3467
2,59.9869,98.109,49.862,44.2358,16.632,9.48585,19.0163,57.136,10.1507
3,52.2432,87.2149,41.7018,37.5543,15.0293,8.94001,17.0949,49.7102,10.0547
4,66.0577,113.739,53.1001,46.7296,18.4949,11.2399,21.8015,63.1784,11.821
5,59.2299,96.743,49.1108,43.6762,16.584,9.4699,18.8841,56.2994,10.1701
6,33.8369,61.0079,22.8021,22.067,11.0281,7.40667,12.303,32.1999,9.66355
7,67.9095,116.357,55.0291,48.3807,18.9945,11.4238,22.3249,64.8778,11.9284
8,65.059,108.909,53.6479,47.3698,18.183,10.6514,21.0545,62.0023,11.1952
9,54.7385,91.56,43.9869,39.2939,15.6036,9.03735,18.0661,51.7726,10.3592
10,63.6524,104.075,53.3164,47.0376,17.4643,9.88583,20.0914,60.6361,10.3827
11,48.8905,87.0255,36.4022,33.073,14.6483,9.41508,17.0532,46.6594,11.0207
12,43.641,82.4689,29.6611,27.5146,13.7351,9.62751,16.0828,41.9911,11.4849
13,48.7416,84.0504,37.315,33.9967,14.3339,9.21935,16.216,46.9088,10.2241
14,53.2221,95.2878,39.9944,36.1743,15.9096,10.4125,18.4517,51.0333,11.6268
15,44.41,78.1706,32.8223,30.2749,13.5208,8.7058,15.3822,42.4189,10.3606
16,47.1642,80.1757,36.5143,33.1827,13.816,8.35281,15.8554,44.7389,9.97293
17,52.3809,88.5725,41.2086,37.1723,15.2527,9.24198,17.346,49.9298,10.3374
18,31.7787,53.0515,22.858,22.3458,10.3587,6.504,10.9585,30.0408,8.62025
19,34.2767,59.4525,24.1542,23.1246,10.7884,6.96884,11.981,32.5449,9.08735
20,57.8438,107.458,42.2223,37.7403,17.3183,11.6457,20.7136,55.5583,12.9446
21,65.7778,107.438,55.3093,48.5976,17.8284,10.081,20.6365,62.7113,10.412
22,66.216,116.388,52.106,45.8618,18.7349,11.7528,22.2066,63.5683,12.3132
23,52.7515,88.8795,41.8241,37.5842,15.2645,8.96743,17.5528,49.9571,10.3641
24,54.4022,92.3539,42.8745,38.4648,15.5578,9.5945,17.7971,52.169,10.3836
25,47.6308,80.3014,37.1558,33.8056,13.8908,8.44629,15.7328,45.3986,9.79521
26,47.3669,80.566,36.6569,33.2943,13.8354,8.38318,15.8801,44.9779,9.96153
27,48.6708,82.7176,37.8672,34.4377,14.4697,8.6938,16.47,46.0771,10.2877
28,49.6157,84.0928,38.823,35.211,14.4911,8.83343,16.4722,47.2675,10.1274
29,65.8689,107.547,55.7181,48.8977,18.0773,9.68809,21.2018,61.9193,10.8112
30,50.4092,84.9677,39.7608,35.9734,14.6488,8.84695,16.6355,48.0535,10.0855
31,54.4734,92.6684,43.0104,38.779,15.7471,9.88657,17.7642,52.448,10.4986
32,74.7083,130.122,60.3426,52.6661,21.0713,12.6071,25.1728,71.0489,13.27
33,66.5242,124.231,49.3715,43.7564,19.6142,13.5531,23.4147,64.4993,14.0296
34,64.0864,117.828,48.0017,42.5084,18.536,12.6723,22.0893,62.2401,13.0766
35,64.8722,123.16,46.9261,41.56,19.3599,13.3696,23.4352,62.6234,14.3303
36,61.6266,100.195,51.5928,45.4914,16.9862,9.23364,19.7264,58.1415,10.2653
37,47.2555,80.0732,36.6755,33.432,13.8895,8.52933,15.7325,45.0441,9.90498
38,53.6882,88.4057,43.6101,39.3618,15.3943,9.26612,17.0907,51.4905,9.86078
39,52.8076,93.2243,40.0681,36.351,15.7239,10.356,17.8897,50.9827,11.1831
40,49.1591,84.7446,37.7056,34.267,14.3909,9.20409,16.3314,47.3294,10.2251
41,68.0141,121.603,52.942,46.4863,19.4919,12.2118,23.4529,64.887,13.1771
42,52.6544,89.2955,41.419,37.3021,15.3354,9.17335,17.5991,49.9283,10.4916
43,69.4996,120.163,56.1668,49.2723,19.5263,11.7719,23.1457,66.2763,12.4203
44,48.934,80.7077,39.0075,35.4371,13.9994,8.55958,15.5582,47.0165,9.34367
45,63.6243,104.021,53.3872,47.1259,17.5935,9.80187,20.2739,60.3269,10.5433
46,36.1039,62.9702,25.6673,24.3233,11.2773,7.23673,12.6513,34.3001,9.34976
47,71.6063,124.542,57.7523,50.3795,19.968,11.8987,24.0432,68.0698,12.7598
48,48.0972,81.74,37.3282,33.998,14.1473,8.70804,15.9999,45.9178,10.0256
49,54.7224,91.5013,43.9582,39.2544,15.5656,8.97764,18.043,51.7293,10.3279
50,61.6298,100.568,51.6485,45.7483,17.3304,9.46527,19.9831,57.9345,10.6262
51,73.0199,126.844,58.615,51.2871,20.3171,12.7041,23.9348,70.3918,12.5459
52,67.3028,111.027,56.5614,49.7293,18.6684,10.3771,21.7437,63.5938,11.1989
53,71.4203,118.33,60.1889,52.5308,19.5496,10.8126,23.0719,67.5518,11.5391
54,49.7531,85.4068,38.4486,34.9149,14.714,9.10523,16.7612,47.4272,10.4405
55,39.2301,64.0308,30.3673,28.2908,11.8158,6.87945,13.0283,36.9408,8.79925
56,43.7432,76.2443,32.5897,29.9209,13.1362,8.22634,15.118,41.5663,10.0906
57,49.3921,83.0453,38.7952,35.1898,14.4217,8.74236,16.3035,47.0877,9.95606
58,48.6489,82.5547,37.9249,34.5078,14.3148,8.77652,16.212,46.3478,10.1057
59,45.7275,78.8113,34.8191,31.9081,13.7759,8.44752,15.734,43.2553,10.2686
60,43.8467,77.4738,32.0994,29.6267,13.3819,8.66705,15.3006,41.817,10.365
61,47.6729,81.718,36.6768,33.3135,13.9915,8.58605,16.0651,45.3898,10.1284
62,63.9431,105.202,53.3274,47.0199,17.827,9.89775,20.7238,60.3333,10.8521
63,52.9369,88.7818,42.1734,37.8135,15.1414,8.8681,17.4691,50.1547,10.2016
64,50.1516,82.7204,40.1134,36.2875,14.2128,8.65767,15.8908,48.2012,9.379
65,48.3088,82.8787,37.0724,33.7971,14.2081,8.99529,16.0652,46.3301,10.1207
66,68.7812,117.321,55.9891,49.3997,19.5021,11.7703,22.6063,65.7169,12.0784
67,41.8044,73.3876,30.5257,28.4414,12.9822,8.28175,14.6798,39.6362,10.1846
68,67.5923,122.647,52.0181,45.7647,19.6261,12.474,23.704,64.4412,13.6523
69,48.0516,81.0859,37.4607,34.1752,14.2368,8.69181,15.9877,45.7841,9.99065
70,50.4952,85.2934,39.7833,36.0095,14.6943,8.91507,16.702,48.1044,10.1529
71,59.2074,101.317,47.1251,41.881,16.9756,10.1343,19.8397,56.1988,11.2736
72,27.9507,46.6962,19.2538,19.2625,9.24872,5.82339,9.75168,26.3322,8.20926
73,36.6239,60.2855,27.5395,25.9986,11.2628,6.75427,12.279,34.5865,8.68379
74,60.5397,107.283,47.0057,41.6964,17.5492,10.8508,20.9057,57.5242,12.2429
75,65.6098,116.114,51.4866,45.3074,18.7851,11.5658,22.5307,62.4087,12.7102
76,61.8122,111.91,46.9118,41.7695,18.095,12.0137,21.3191,59.6193,12.7011
77,47.0314,81.1607,35.9115,32.8186,14.1472,8.67638,16.1803,44.5026,10.4309
78,69.9918,114.041,59.3013,51.8904,18.9314,10.5644,21.9369,66.6754,10.7196
79,61.7577,114.505,45.7292,40.5843,18.2423,12.1862,21.9786,59.2836,13.36
80,58.6542,98.0192,47.7206,42.4208,16.4535,9.68467,18.9895,55.9067,10.5151
81,63.102,120.384,45.3175,40.2899,18.7844,13.3703,22.5967,61.434,14.0316
82,45.653,74.871,36.0742,32.9987,13.0963,8.05715,14.4043,44.0036,8.9094
83,72.2496,127.028,57.3985,50.5284,20.6641,13.1236,24.1635,69.5475,13.121
84,56.9434,104.361,42.3339,37.9701,17.1358,11.1994,20.3376,54.3457,12.7265
85,47.8497,80.6704,37.3267,34.0318,14.1086,8.60063,15.8742,45.6002,9.91248
86,57.2533,95.0725,46.5599,41.5432,16.2185,9.49495,18.5521,54.4772,10.3566
87,55.262,92.0673,44.6126,39.9281,15.8579,9.14489,18.1847,52.2904,10.3958
88,72.9931,119.215,62.1069,54.3973,19.9998,11.1907,23.0321,69.4541,11.2343
89,74.0898,121.799,62.8917,54.7325,20.1422,10.9482,23.7984,69.9136,11.553
