real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
0,43.689,2.36713,24.5815,12.5614,50.3738,0.020241,80.8483,21.5518,81.926,2.32387
1,4.78956,0.414589,57.9349,3.6609,71.6712,0.683186,4.86693,99.8292,0.00143963,2.1433
2,0.665945,0.00187487,64.7664,28.8484,82.1678,7.22995,4.5379,91.4762,14.8566,13.7424
3,96.6197,2.0301,26.2271,11.2454,51.0611,84.4202,83.2798,30.5761,80.9295,95.0064
4,69.6444,6.12095,36.5033,3.49774,52.0647,0.0492181,17.9354,100,83.6391,6.19394
5,0.0418347,0.147175,31.6417,0.0107997,52.7234,100,58.8165,100,69.0768,0.194995
6,100,5.6397,8.74709,88.7501,0.174167,0.108901,0.240224,54.4344,38.2646,78.7607
7,8.96327e-05,5.00654,44.3575,78.5552,60.3268,0.00855259,28.4069,0.742114,82.2481,98.0545
8,96.4501,2.58313,49.2938,43.3919,64.9003,100,0.0081431,100,89.6261,0.789382
9,0.00211829,2.43373,54.57,2.53309,3.56658,83.6216,100,8.78044,90.191,3.56671
10,99.445,0.0217055,56.9595,48.3966,72.2572,3.97165,9.25736,15.4424,18.5129,41.6707
11,78.5189,7.77822,41.996,0.0297743,15.655,94.0374,25.5317,72.3055,38.102,0.107993
12,0.00386643,10.4469,7.23928,0.0649652,9.38768,67.3876,45.4946,73.7657,6.02792,8.55403
13,0.583727,4.20133,1.6885,0.0715877,100,88.0761,2.38272,64.3815,100,5.7313
14,100,8.37735,18.7985,100,59.9235,100,0.0505338,9.82467,100,15.6274
15,27.8324,6.10697,36.2522,79.129,46.3176,20.8774,1.33052,59.2752,11.3848,58.3489
16,1.46527,3.31824,53.2416,1.92693,22.1805,87.9738,13.5719,3.44201,93.9178,93.3106
17,5.60826,3.08637,8.04765,28.0531,40.1704,26.0169,100,66.4803,6.12929,85.855
18,0.396809,1.00426,11.3587,100,36.2494,100,7.34938,65.9297,15.6994,16.1495
19,100,3.9717,1.86439,16.7479,25.1762,0.376458,1.08984,68.8659,100,0.155785
20,25.0508,13.2743,12.3412,2.76007,2.23753,98.5095,62.7526,16.7228,7.50147,99.3787
21,3.51954,0.0347948,42.0374,2.19616,70.4697,1.25987,14.6142,2.16105,89.5633,3.41696
22,94.7932,9.00766,29.7974,0.00425924,49.4256,4.18685,55.2347,36.0123,1.70751,0.586947
23,1.03075,3.02376,47.4738,72.0512,0.34207,0.362526,100,1.32088,0.295296,93.6467
24,99.0556,3.90914,0.00105395,0.367106,79.4351,0.81917,100,23.9685,48.6333,0.0748418
25,6.31849,2.44744,34.2147,67.3779,59.107,6.50257,10.4786,0.266009,50.3511,0.278391
26,15.4354,3.39311,52.0411,10.2323,32.1313,0.209769,7.52274,67.8532,94.5519,0.36511
27,1.34027,3.51551,52.4142,71.8913,0.649584,89.7227,100,67.811,2.33806,13.1619
28,17.4684,3.10237,40.8822,69.2766,71.2841,9.50743,11.6494,67.7803,91.9532,3.66497
29,25.6568,0.0328189,100,100,3.55034,5.74838,0.480711,2.10918,100,99.7925
30,16.5003,2.41155,53.8049,44.0522,64.5387,36.0025,6.11891,68.3725,2.66331,92.801
31,0.000733306,3.67198,7.99692,78.8865,100,0.283029,13.0501,91.9859,42.1399,98.3746
32,83.353,7.90844,53.2553,87.3745,2.302,87.4494,60.8815,6.96467,0.608945,0.45554
33,0.040359,15.3958,5.40917,92.9635,83.0839,94.8362,2.11935,0.459757,92.6592,11.4898
34,99.6673,12.8036,3.56433,0.00183202,100,0.970091,0.763059,42.5631,84.3545,5.14428
35,25.3502,18.503,0.11345,61.4088,14.5556,0.10739,100,3.64542,0.272626,100
36,100,0.0446919,65.7927,3.94222,0.63493,2.96973,88.5727,43.7218,0.00146846,12.9333
37,100,2.9582,33.4036,2.86075,61.7176,87.8281,1.21864,70.851,87.154,94.6184
38,0.281243,0.316938,27.2608,100,100,100,6.2543,12.2216,16.1098,0.181524
39,100,6.66358,4.25075,84.3651,100,91.1433,23.1166,70.112,0.519754,5.34067
40,2.82635,4.34895,22.3618,8.7482,100,89.2298,0.0383069,4.12234,0.00136708,17.8009
41,90.7211,11.3441,35.8652,8.60027,3.62556,23.5305,59.4858,100,83.8109,100
42,43.8672,3.55921,15.9668,77.3229,12.0978,2.00275,100,16.5507,99.8504,91.0179
43,87.0676,5.95525,63.541,34.3386,45.0003,85.6637,1.11268,90.564,86.1558,36.6891
44,100,0.616067,1.73041,0.00198836,100,0.666506,3.95746,78.0471,100,92.8628
45,0.0236809,0.00206706,69.7863,98.8947,46.3537,1.51934,7.71401,43.6361,3.82692,2.41703
46,45.3676,3.87755,39.4582,11.3088,3.83574,6.87374,6.83619,65.7565,10.8198,1.31451
47,89.8624,7.75729,65.3773,2.11864,11.4334,6.34579,11.966,100,89.5414,100
48,0.0492535,3.16619,45.172,70.7501,75.1645,2.28919,0.410066,67.3403,6.32958,38.4808
49,0.554428,2.43674,53.0716,38.3757,0.923304,0.000316425,100,0.729169,89.727,2.70055
50,0.339917,0.0337737,72.5193,99.9986,1.49897,100,50.453,76.6252,99.4101,16.5973
