iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,122.59,136.009,4.51556,406.632,401.206,10.893,10.7136,406.439,29.4767,24.2624,146.578,138.547,15.0946,319.823,11.4723,142.293,10.5256,205.445,6.70735,203.467,288.199,208.325,18.6021,17.1117,4.96042,7.25188,61.6001,276.283,247.494,342.478,295.419,296.952,347.377,4.8016,319.18,5.61673,46.8771,27.0516,5.47339,5.00687,7.91217,341.096,6.10831,137.69,218.853,48.1412,214.933,101.951,7.3057,7.11345,17.5784,13.057,331.138,321.874,6.60827,8.74368,6.63481,5.44546,207.849,14.2947,253.382,395.638,342.822,270.06,178.558,231.97,11.2817,339.04,6.92397,199.983,16.3484,11.9505,40.7454,396.635,342.518,169.972,21.4573,16.2897,77.5528,77.09,71.3654,226.589,21.3649,32.7946,13.6617,16.5505,8.70257,58.8472,5.74315,374.997,406.632,322.488,22.4536,11.2183,5.62732,4.51556,4.70851,11.094,143.997,6.06398,26.0448,58.6298,66.823,4.51854
1,240,6.6664,2.87652,4.49911,20.3031,6.61907,4.59708,4.71647,6.00851,4.74432,4.755,14.8491,4.9268,4.56675,5.40828,4.58761,6.76928,8.67099,6.95784,5.48025,8.60494,7.66375,5.89654,16.9522,14.8696,4.86854,4.69578,4.85046,5.829,5.44809,7.51801,7.59106,7.00784,6.73255,4.62918,6.49769,5.36095,6.58863,5.32003,4.93777,5.248,4.62618,7.6123,5.65046,5.59665,6.82886,5.16938,5.81427,5.21716,7.1663,4.54854,13.5228,5.74344,7.25902,5.4264,4.52383,6.1456,4.71306,5.41162,6.59884,11.9639,9.03942,6.8515,7.04564,8.11365,8.87574,7.41383,4.51013,5.83734,6.76943,7.14862,4.96236,9.91204,5.18998,7.28174,6.45282,4.64798,20.3031,13.5925,4.58488,4.76643,4.64264,7.55243,5.14441,4.78193,4.78997,5.12785,8.5671,5.9433,4.84761,7.38468,4.9565,5.27344,5.69171,6.01036,6.01183,4.49911,4.89607,5.65845,15.1584,5.35055,6.7452,4.6108,4.81074,4.57882
2,380,5.36767,2.10115,4.45414,17.8815,4.56572,4.58863,4.84385,4.52074,4.57089,4.73075,13.2646,4.80432,4.50403,4.83311,4.58661,4.70927,6.65925,5.52799,4.79248,4.98833,4.76172,5.16135,11.2625,12.2938,5.10672,4.76921,4.77352,4.50311,4.55917,5.14823,4.72305,4.57717,4.53183,4.80561,4.52924,5.07247,4.64913,5.07927,4.85304,5.29923,4.5903,5.03701,4.85074,4.65743,4.74537,4.75789,5.0075,5.0217,6.92357,4.54702,7.84871,4.7717,4.54149,4.7113,4.52105,4.60527,4.49136,5.01436,4.93221,4.53806,4.74168,4.5218,4.56713,4.74827,5.00687,4.55449,4.61516,4.6946,6.01889,4.68269,4.48538,6.4792,4.99698,4.49441,4.5182,4.5662,17.8815,8.93776,4.55601,4.99505,4.65377,4.53012,4.64605,4.76422,4.59119,5.09364,8.18293,4.60408,4.62693,4.71076,4.8707,4.52302,4.51161,4.84961,6.13023,4.5163,4.97725,4.67019,13.2972,4.45414,4.49888,4.5934,4.83214,4.51224
3,520,5.08272,1.28613,4.44643,12.1967,4.55537,4.59237,4.65737,4.52199,4.57508,4.77003,9.10263,4.86013,4.50192,4.89149,4.58442,4.6025,5.05923,5.43396,4.64243,4.57017,4.54881,4.83337,6.82416,10.4719,5.21872,4.72625,4.78997,4.58525,4.55711,4.76418,4.59327,4.59501,4.73247,4.80541,4.62813,4.82298,4.87289,4.96125,4.77132,5.36142,4.57925,4.63481,4.51619,4.517,4.55283,4.74519,4.63294,5.10946,6.46463,4.54624,4.72148,4.78534,4.62979,4.85354,4.48668,4.5978,4.49499,5.19277,5.22191,4.69646,5.27476,4.52801,4.53558,4.67397,4.80804,4.9221,4.56891,4.77111,5.23878,4.58155,4.4728,6.60424,4.94507,4.46839,4.67944,4.57181,12.1967,7.16404,4.53449,5.03277,4.65287,4.63759,4.78094,4.72235,4.57169,4.92647,7.41214,4.57004,4.75323,4.55344,4.74747,4.52082,4.63074,4.54067,5.8529,4.51384,5.08646,4.65031,10.9468,4.44643,4.769,4.56529,4.9755,4.50784
4,565,5.07201,1.28498,4.44643,12.1967,4.55537,4.59237,4.65737,4.52199,4.57508,4.77003,9.10263,4.86013,4.50192,4.89149,4.58442,4.6025,5.05923,5.57036,4.64243,4.57017,4.54881,4.63028,6.82416,10.4719,5.21872,4.72625,4.78997,4.58525,4.55711,4.76418,4.59327,4.59501,4.73247,4.80541,4.62813,4.82298,4.87289,4.96125,4.77132,5.36142,4.57925,4.63481,4.51619,4.517,4.55283,4.74519,4.63294,5.10946,6.46463,4.54624,4.72148,4.78534,4.62979,4.85354,4.48668,4.5978,4.49499,5.19277,5.22191,4.69646,5.27476,4.52801,4.53558,4.67397,4.80804,4.9221,4.56891,4.77111,5.23878,4.58155,4.4728,6.60424,4.94507,4.46839,4.67944,4.57181,12.1967,7.16404,4.53449,5.03277,4.65056,4.63759,4.78094,4.72235,4.56896,4.92647,7.41214,4.57004,4.75323,4.55344,4.74747,4.52082,4.63074,4.54067,4.85366,4.51384,5.08646,4.65031,10.9468,4.44643,4.769,4.56529,4.9755,4.50784
5,705,4.88544,0.761023,4.44547,9.59095,4.55409,4.593,4.64896,4.52281,4.57605,4.79901,4.64216,4.89727,4.50037,4.89406,4.58295,4.65693,4.62118,5.56431,4.5935,4.77213,4.54735,4.50973,4.84828,8.76611,5.24855,4.7196,4.80215,4.63946,4.55847,4.69517,4.6018,4.5995,4.76916,4.80445,4.63799,4.80135,4.85354,4.89169,4.73151,5.40929,4.57717,4.57454,4.56384,4.50433,4.64021,4.74353,4.48529,5.13088,6.96834,4.54616,4.93368,4.77998,4.66778,4.87686,4.49056,4.58384,4.49371,5.08499,5.22259,4.60767,4.90058,4.5239,4.56983,4.64566,4.68692,4.81537,4.57195,4.79467,5.32585,4.57477,4.46988,6.58723,4.93583,4.46447,4.71385,4.57637,5.64987,5.07522,4.52224,5.03262,4.64859,4.60064,4.77428,4.70452,4.58054,4.83473,7.11351,4.53649,4.8259,4.53904,4.8103,4.53943,4.63262,4.54884,4.65906,4.49516,5.26704,4.63907,9.59095,4.44547,4.7724,4.55694,5.1538,4.50736
6,750,4.88072,0.762678,4.44547,9.59095,4.55409,4.593,4.64896,4.52281,4.57605,4.79901,4.64216,4.89727,4.50037,4.89479,4.58295,4.65693,4.62118,5.6625,4.5935,4.77213,4.54735,4.50973,4.84828,8.76611,5.24855,4.7196,4.80215,4.63946,4.55847,4.69517,4.6018,4.5995,4.76916,4.80445,4.63799,4.80135,4.85354,4.89169,4.73151,5.40929,4.57717,4.57454,4.56384,4.50433,4.64021,4.74353,4.48529,5.13088,6.96834,4.54616,4.93368,4.77998,4.66778,4.87686,4.49056,4.58384,4.49371,5.08499,5.22259,4.60767,4.90058,4.5239,4.56983,4.64566,4.68692,4.81537,4.57195,4.79467,5.32585,4.57477,4.46988,6.58723,4.93583,4.46447,4.71385,4.57637,5.64987,4.50497,4.52224,5.03262,4.64859,4.60203,4.77428,4.70452,4.58054,4.83473,7.11351,4.53649,4.8259,4.53904,4.8103,4.53943,4.63262,4.54742,4.65906,4.49516,5.26704,4.63907,9.59095,4.44547,4.7724,4.55694,5.1538,4.50736
7,795,4.87801,0.758777,4.44547,9.59095,4.55409,4.593,4.64896,4.52281,4.57605,4.79901,4.64216,4.89727,4.50037,4.89777,4.58295,4.65693,4.62118,5.22705,4.5935,4.77213,4.54735,4.50973,4.84828,8.76611,5.24855,4.7196,4.80215,4.63946,4.55847,4.69517,4.6018,4.5995,4.76916,4.80445,4.63799,4.80135,4.85354,4.89169,4.73151,5.40929,4.57717,4.57454,4.56384,4.50433,4.64021,4.74353,4.48529,5.13088,6.96834,4.54616,4.93368,4.77998,4.66778,4.87686,4.49056,4.58384,4.49371,5.08499,5.22259,4.60767,4.90058,4.5239,4.56983,4.64566,4.68692,4.81537,4.57195,4.79467,5.32585,4.57477,4.46988,6.58723,4.93583,4.46447,4.71385,4.57637,5.64987,4.66135,4.52224,5.03262,4.64859,4.60443,4.77428,4.70452,4.58054,4.83473,7.11351,4.53649,4.8259,4.53904,4.8103,4.53943,4.63262,4.54931,4.65906,4.49516,5.26704,4.63907,9.59095,4.44547,4.7724,4.55694,5.1538,4.50736
8,840,4.87246,0.758218,4.44547,9.59095,4.55409,4.593,4.64896,4.52281,4.57605,4.79901,4.64216,4.89727,4.50037,4.8962,4.58295,4.65693,4.62118,4.65979,4.5935,4.77213,4.54735,4.50973,4.84828,8.76611,5.24855,4.7196,4.80215,4.63946,4.55847,4.69517,4.6018,4.5995,4.76916,4.80445,4.63799,4.80135,4.85354,4.89169,4.73151,5.40929,4.57717,4.57454,4.56384,4.50433,4.64021,4.74353,4.48529,5.13088,6.96834,4.54616,4.93368,4.77998,4.66778,4.87686,4.49056,4.58384,4.49371,5.08499,5.22259,4.60767,4.90058,4.5239,4.56983,4.64566,4.68692,4.81537,4.57195,4.79467,5.32585,4.57477,4.46988,6.58723,4.93583,4.46447,4.71385,4.57637,5.64987,4.67189,4.52224,5.03262,4.64859,4.60623,4.77428,4.70452,4.58054,4.83473,7.11351,4.53649,4.8259,4.53904,4.8103,4.53943,4.63262,4.55121,4.65906,4.49516,5.26704,4.63907,9.59095,4.44547,4.7724,4.55694,5.1538,4.50736
9,885,4.8715,0.758536,4.44547,9.59095,4.55409,4.593,4.64896,4.52281,4.57605,4.79901,4.64216,4.89727,4.50037,4.89265,4.58295,4.65693,4.62118,4.56396,4.5935,4.77213,4.54735,4.50973,4.84828,8.76611,5.24855,4.7196,4.80215,4.63946,4.55847,4.69517,4.6018,4.5995,4.76916,4.80445,4.63799,4.80135,4.85354,4.89169,4.73151,5.40929,4.57717,4.57454,4.56384,4.50433,4.64021,4.74353,4.48529,5.13088,6.96834,4.54616,4.93368,4.77998,4.66778,4.87686,4.49056,4.58384,4.49371,5.08499,5.22259,4.60767,4.90058,4.5239,4.56983,4.64566,4.68692,4.81537,4.57195,4.79467,5.32585,4.57477,4.46988,6.58723,4.93583,4.46447,4.71385,4.57637,5.64987,4.67417,4.52224,5.03262,4.64859,4.60667,4.77428,4.70452,4.58054,4.83473,7.11351,4.53649,4.8259,4.53904,4.8103,4.53943,4.63262,4.55243,4.65906,4.49516,5.26704,4.63907,9.59095,4.44547,4.7724,4.55694,5.1538,4.50736
