iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,119.491,132.841,4.87652,410.682,401.206,12.5404,9.03054,410.682,31.8313,28.6185,138.686,131.066,15.8059,309.334,10.6603,133.427,14.0694,193.012,8.20558,183.21,285.129,205.814,21.9365,19.954,6.57492,8.78594,55.0908,269.278,240.334,358.467,287.176,285.496,326.738,6.85482,315.459,5.96291,43.5917,23.9997,5.21167,5.24893,8.7884,343.234,10.0663,123.032,201.443,43.8988,208.921,94.8188,10.9368,6.35423,21.0672,11.7025,316.366,309.053,5.74797,10.4827,8.83315,6.21956,191.593,20.3985,226.22,387.43,326.837,253.935,167.448,220.255,12.9394,322.738,9.50978,196.989,16.3005,15.0605,33.8916,392.76,329.879,166.605,18.7919,20.7179,80.0147,68.7183,67.8167,215.633,19.2845,29.172,13.1659,11.3841,9.41681,55.8038,6.27806,380.386,403.867,332.435,23.5554,16.5391,8.62964,5.77615,9.01988,11.8641,142.192,8.08678,25.5437,49.2022,70.6571,4.87652
1,240,8.45494,3.55449,3.77245,20.1336,7.03749,6.28387,6.14351,9.24554,6.29035,5.29262,18.5815,5.63372,5.61242,9.42767,4.10114,7.79866,11.9126,11.0432,6.94667,10.6298,9.1395,8.61187,20.1336,17.4583,5.89233,5.31968,4.19301,8.38417,5.29851,8.82269,8.39016,11.6173,9.9469,6.93801,7.83124,5.71014,8.27722,6.75085,5.07266,5.17478,5.72747,8.14634,9.37377,8.46666,10.5226,5.18907,8.14648,7.21271,10.7318,3.77245,16.4521,5.98089,11.2554,7.13664,4.27894,8.1982,6.92867,6.20402,12.5442,17.6514,12.2557,7.69334,7.02472,11.792,10.2197,10.9722,4.80833,6.90341,9.27414,10.5575,4.24093,13.0179,4.71223,8.60948,10.6527,6.11889,17.7553,17.6185,5.66599,6.39768,5.24253,10.8862,5.39393,5.13132,6.71422,4.64194,9.26499,7.33361,4.84356,6.73312,9.69472,8.66661,8.00173,10.6162,9.43301,5.8902,9.37327,6.97028,16.5871,7.33788,8.53388,4.26035,7.8545,4.93501
2,380,6.78362,2.54058,3.50757,16.889,4.92954,6.27331,5.29859,7.65045,6.03541,5.28747,16.889,5.58845,5.57579,7.28484,4.10055,5.13494,9.51152,8.96295,6.26627,5.48727,5.90946,7.58693,13.9932,14.7655,5.79043,4.95474,4.18286,6.23852,4.03634,7.07707,4.89523,7.56681,5.90271,6.85453,5.18978,5.45192,7.55388,6.70208,5.08531,5.16975,5.6544,5.69198,8.00758,6.59505,6.98225,5.0297,6.99878,7.13762,10.4102,3.77061,9.74392,5.58118,7.0901,5.00751,4.129,7.32219,6.72047,6.14171,7.44319,7.50248,5.53884,4.73434,3.50757,7.12103,5.66669,6.47516,4.69976,4.19678,8.15748,7.29948,3.54509,9.57858,4.68571,5.6307,7.35263,5.67757,15.704,12.1485,5.63856,6.31229,5.22816,6.7011,5.26193,5.07274,6.02324,4.5639,8.86318,6.8075,4.31306,4.46375,8.68365,7.83726,7.28005,8.63801,9.72138,5.77596,9.46546,6.22208,14.7682,6.61873,7.38713,4.1552,7.84815,4.8483
3,520,6.3475,1.91414,3.148,12.9129,4.91259,6.27712,5.36742,7.65279,6.03399,5.29315,12.2661,5.55621,5.57502,7.2971,4.10152,4.6863,7.40728,8.852,6.12494,4.0516,5.56192,7.08216,9.03509,12.9129,5.77727,4.95178,4.18001,6.11307,4.01794,6.89885,4.49852,7.55175,5.65466,6.85491,5.14371,5.23599,7.44843,6.69669,5.12593,5.16688,5.66008,5.33715,6.99299,6.1565,6.20899,5.02905,6.3672,7.09151,9.79974,3.76983,4.50511,5.57063,6.77189,5.00666,4.1434,7.26365,6.72146,6.15371,7.42704,7.12561,4.19904,4.71512,3.148,6.14829,5.32069,6.18658,4.69466,4.18739,6.88499,7.11445,3.53861,9.74309,4.68066,5.56381,7.17577,5.67314,10.8242,9.99646,5.61657,6.28906,5.22499,6.27699,5.249,5.04677,6.00002,4.64175,8.04146,6.74668,4.22529,4.36943,8.66141,7.84269,7.23133,8.57801,9.44093,5.78064,9.59625,6.21972,12.5262,6.5731,7.2955,4.18771,7.98166,4.84586
4,565,6.3299,1.89714,3.148,12.9129,4.91259,6.27712,5.36742,7.65279,6.03399,5.29315,12.2661,5.55621,5.57502,7.2971,4.10152,4.6863,7.40728,9.11111,6.12494,4.0516,5.56192,6.73106,9.03509,12.9129,5.77727,4.95178,4.18001,6.11307,4.01794,6.89885,4.49852,7.55175,5.65466,6.85491,5.14371,5.23599,7.44843,6.69669,5.12593,5.16688,5.66008,5.33715,6.99299,6.1565,6.20899,5.02905,6.3672,7.09151,9.79974,3.76983,4.50511,5.57063,6.77189,5.00666,4.1434,7.26365,6.72146,6.15371,7.42704,7.12561,4.19904,4.71512,3.148,6.14829,5.32069,6.18658,4.69466,4.18739,6.88499,7.11445,3.53861,9.74309,4.68066,5.56381,7.17577,5.67314,10.8242,9.99646,5.61657,6.28906,5.22246,6.27699,5.249,5.04677,5.95497,4.64175,8.04146,6.74668,4.22529,4.36943,8.66141,7.84269,7.23133,8.57801,7.82111,5.78064,9.59625,6.21972,12.5262,6.5731,7.2955,4.18771,7.98166,4.84586
5,705,6.11316,1.58897,3.10991,11.24,4.90706,6.27742,5.37402,7.65589,6.03297,5.29939,6.50329,5.54054,5.57378,7.30517,4.1012,4.66733,6.68174,9.16179,6.07873,3.88696,5.55797,6.4308,6.54109,11.1096,5.77358,4.95208,4.17824,6.11168,4.02285,6.88132,4.49066,7.53937,5.63375,6.85556,5.15335,5.21402,7.41109,6.70086,5.18941,5.16677,5.65482,5.28241,6.79497,6.11991,5.91131,5.02847,5.95645,7.06321,10.6485,3.76977,4.51339,5.56324,6.7471,5.01621,4.13815,7.24914,6.71991,6.14001,7.42807,7.17918,4.12499,4.7008,3.10991,6.11967,5.04511,6.17647,4.69422,4.18879,7.10157,7.12113,3.53587,9.77485,4.67647,5.53311,7.16814,5.67165,5.52946,7.13255,5.6034,6.2754,5.2201,6.26385,5.24861,5.02744,5.89618,4.78644,7.77971,6.7172,4.2148,4.35223,8.69651,7.87091,7.23674,8.54338,6.92301,5.93855,9.88935,6.22012,11.24,6.55487,7.28838,4.22309,8.17402,4.84107
6,750,6.10163,1.59089,3.10991,11.24,4.90706,6.27742,5.37402,7.65589,6.03297,5.29939,6.50329,5.54054,5.57378,7.31428,4.1012,4.66733,6.68174,9.39234,6.07873,3.88696,5.55797,6.4308,6.54109,11.1096,5.77358,4.95208,4.17824,6.11168,4.02285,6.88132,4.49066,7.53937,5.63375,6.85556,5.15335,5.21402,7.41109,6.70086,5.18941,5.16677,5.65482,5.28241,6.79497,6.11991,5.91131,5.02847,5.95645,7.06321,10.6485,3.76977,4.51339,5.56324,6.7471,5.01621,4.13815,7.24914,6.71991,6.14001,7.42807,7.17918,4.12499,4.7008,3.10991,6.11967,5.04511,6.17647,4.69422,4.18879,7.10157,7.12113,3.53587,9.77485,4.67647,5.53311,7.16814,5.67165,5.52946,5.74238,5.6034,6.2754,5.2201,6.25266,5.24861,5.02744,5.89618,4.78644,7.77971,6.7172,4.2148,4.35223,8.69651,7.87091,7.23674,8.55213,6.92301,5.93855,9.88935,6.22012,11.24,6.55487,7.28838,4.22309,8.17402,4.84107
7,795,6.09451,1.57994,3.10991,11.24,4.90706,6.27742,5.37402,7.65589,6.03297,5.29939,6.50329,5.54054,5.57378,7.32431,4.1012,4.66733,6.68174,8.79825,6.07873,3.88696,5.55797,6.4308,6.54109,11.1096,5.77358,4.95208,4.17824,6.11168,4.02285,6.88132,4.49066,7.53937,5.63375,6.85556,5.15335,5.21402,7.41109,6.70086,5.18941,5.16677,5.65482,5.28241,6.79497,6.11991,5.91131,5.02847,5.95645,7.06321,10.6485,3.76977,4.51339,5.56324,6.7471,5.01621,4.13815,7.24914,6.71991,6.14001,7.42807,7.17918,4.12499,4.7008,3.10991,6.11967,5.04511,6.17647,4.69422,4.18879,7.10157,7.12113,3.53587,9.77485,4.67647,5.53311,7.16814,5.67165,5.52946,5.62412,5.6034,6.2754,5.2201,6.24268,5.24861,5.02744,5.89618,4.78644,7.77971,6.7172,4.2148,4.35223,8.69651,7.87091,7.23674,8.5526,6.92301,5.93855,9.88935,6.22012,11.24,6.55487,7.28838,4.22309,8.17402,4.84107
8,840,6.08424,1.56554,3.10991,11.24,4.90706,6.27742,5.37402,7.65589,6.03297,5.29939,6.50329,5.54054,5.57378,7.33227,4.1012,4.66733,6.68174,7.77293,6.07873,3.88696,5.55797,6.4308,6.54109,11.1096,5.77358,4.95208,4.17824,6.11168,4.02285,6.88132,4.49066,7.53937,5.63375,6.85556,5.15335,5.21402,7.41109,6.70086,5.18941,5.16677,5.65482,5.28241,6.79497,6.11991,5.91131,5.02847,5.95645,7.06321,10.6485,3.76977,4.51339,5.56324,6.7471,5.01621,4.13815,7.24914,6.71991,6.14001,7.42807,7.17918,4.12499,4.7008,3.10991,6.11967,5.04511,6.17647,4.69422,4.18879,7.10157,7.12113,3.53587,9.77485,4.67647,5.53311,7.16814,5.67165,5.52946,5.62183,5.6034,6.2754,5.2201,6.23547,5.24861,5.02744,5.89618,4.78644,7.77971,6.7172,4.2148,4.35223,8.69651,7.87091,7.23674,8.55258,6.92301,5.93855,9.88935,6.22012,11.24,6.55487,7.28838,4.22309,8.17402,4.84107
9,885,6.08149,1.56279,3.10991,11.24,4.90706,6.27742,5.37402,7.65589,6.03297,5.29939,6.50329,5.54054,5.57378,7.33456,4.1012,4.66733,6.68174,7.50004,6.07873,3.88696,5.55797,6.4308,6.54109,11.1096,5.77358,4.95208,4.17824,6.11168,4.02285,6.88132,4.49066,7.53937,5.63375,6.85556,5.15335,5.21402,7.41109,6.70086,5.18941,5.16677,5.65482,5.28241,6.79497,6.11991,5.91131,5.02847,5.95645,7.06321,10.6485,3.76977,4.51339,5.56324,6.7471,5.01621,4.13815,7.24914,6.71991,6.14001,7.42807,7.17918,4.12499,4.7008,3.10991,6.11967,5.04511,6.17647,4.69422,4.18879,7.10157,7.12113,3.53587,9.77485,4.67647,5.53311,7.16814,5.67165,5.52946,5.62133,5.6034,6.2754,5.2201,6.2333,5.24861,5.02744,5.89618,4.78644,7.77971,6.7172,4.2148,4.35223,8.69651,7.87091,7.23674,8.55096,6.92301,5.93855,9.88935,6.22012,11.24,6.55487,7.28838,4.22309,8.17402,4.84107
