iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,119.491,132.841,4.87652,410.682,401.206,12.5404,9.03054,410.682,31.8313,28.6185,138.686,131.066,15.8059,309.334,10.6603,133.427,14.0694,193.012,8.20558,183.21,285.129,205.814,21.9365,19.954,6.57492,8.78594,55.0908,269.278,240.334,358.467,287.176,285.496,326.738,6.85482,315.459,5.96291,43.5917,23.9997,5.21167,5.24893,8.7884,343.234,10.0663,123.032,201.443,43.8988,208.921,94.8188,10.9368,6.35423,21.0672,11.7025,316.366,309.053,5.74797,10.4827,8.83315,6.21956,191.593,20.3985,226.22,387.43,326.837,253.935,167.448,220.255,12.9394,322.738,9.50978,196.989,16.3005,15.0605,33.8916,392.76,329.879,166.605,18.7919,20.7179,80.0147,68.7183,67.8167,215.633,19.2845,29.172,13.1659,11.3841,9.41681,55.8038,6.27806,380.386,403.867,332.435,23.5554,16.5391,8.62964,5.77615,9.01988,11.8641,142.192,8.08678,25.5437,49.2022,70.6571,4.87652
1,240,8.32844,3.53499,3.76772,20.1149,6.61907,6.2715,6.12831,8.82186,6.25436,5.24403,18.4024,5.501,5.59528,9.10073,4.08893,7.65806,11.8901,10.822,6.94339,10.4323,8.84139,8.36148,20.1149,17.4421,5.89102,5.3144,4.1251,8.09619,5.04094,8.45135,8.08943,11.3217,9.6079,6.93781,7.49728,5.70887,8.2389,6.7321,5.07135,5.17463,5.71935,7.79067,9.36997,8.32684,10.2985,5.14532,7.90562,7.11542,10.7252,3.76772,16.4187,5.97436,10.9283,6.80788,4.27327,8.1939,6.92617,6.20359,12.3215,17.6361,12.0197,7.28884,6.68276,11.5286,10.038,10.7305,4.79448,6.56473,9.26761,10.3254,4.22098,13.0035,4.68135,8.20028,10.3107,5.94264,17.732,17.5971,5.58645,6.3284,5.17631,10.6558,5.37391,5.10151,6.68804,4.62964,9.25904,7.27741,4.84122,6.33744,9.27458,8.31114,7.98171,10.6075,9.41841,5.88951,9.35763,6.96378,16.4155,7.33507,8.51292,4.20675,7.76944,4.93456
2,380,6.64845,2.52465,3.21708,16.6113,4.56572,6.26225,5.29191,7.26624,5.98559,5.24019,16.6113,5.44347,5.55498,6.97152,4.08862,5.00428,9.39262,8.7253,6.24979,5.29743,5.64127,7.31736,13.8225,14.6339,5.78837,4.94144,4.112,5.96363,3.79654,6.74243,4.62939,7.30651,5.61457,6.85396,4.87283,5.44498,7.49646,6.68104,5.08283,5.16949,5.64878,5.38699,7.97863,6.4437,6.75218,4.97614,6.75321,7.02756,10.364,3.76545,9.53242,5.56706,6.80899,4.69349,4.12598,7.3098,6.71394,6.14092,7.19301,7.38227,5.33884,4.39456,3.21708,6.89437,5.49393,6.2299,4.6797,3.89036,8.1181,7.04326,3.50469,9.49576,4.6519,5.29497,7.04714,5.50275,15.5126,12.026,5.55614,6.2401,5.16359,6.48181,5.23378,5.04006,6.0091,4.54597,8.81057,6.73665,4.30462,4.12448,8.27423,7.47793,7.23934,8.6033,9.65738,5.77418,9.42204,6.20282,14.5349,6.61016,7.33978,4.10067,7.7507,4.84743
3,520,6.19152,1.87181,2.87105,12.6033,4.55537,6.26591,5.35671,7.26362,5.98358,5.24505,11.7926,5.39521,5.55447,6.9686,4.08967,4.55742,7.17989,8.57296,6.09909,3.85562,5.29751,6.77213,8.68474,12.6033,5.77436,4.93913,4.10933,5.83204,3.78328,6.56858,4.2392,7.29847,5.37805,6.85381,4.81399,5.21936,7.38683,6.67426,5.12069,5.16638,5.65289,5.04807,6.93259,5.98069,5.95903,4.97507,6.10191,6.96341,9.66755,3.7647,4.12183,5.55581,6.50037,4.67905,4.13907,7.2499,6.7149,6.15222,7.16453,6.97943,4.00779,4.38567,2.87105,5.93172,5.16133,5.93053,4.67563,3.87903,6.78356,6.82949,3.49935,9.62083,4.6458,5.24696,6.87147,5.48848,10.3923,9.77335,5.52805,6.20971,5.16104,6.05878,5.2229,5.00939,5.9817,4.61556,7.89938,6.66684,4.213,4.04397,8.2194,7.44998,7.19408,8.54559,9.29861,5.77623,9.5009,6.20034,12.159,6.56251,7.25165,4.12918,7.86173,4.8444
4,565,6.17227,1.85314,2.87105,12.6033,4.55537,6.26591,5.35671,7.26362,5.98358,5.24505,11.7926,5.39521,5.55447,6.9686,4.08967,4.55742,7.17989,8.79177,6.09909,3.85562,5.29751,6.37811,8.68474,12.6033,5.77436,4.93913,4.10933,5.83204,3.78328,6.56858,4.2392,7.29847,5.37805,6.85381,4.81399,5.21936,7.38683,6.67426,5.12069,5.16638,5.65289,5.04807,6.93259,5.98069,5.95903,4.97507,6.10191,6.96341,9.66755,3.7647,4.12183,5.55581,6.50037,4.67905,4.13907,7.2499,6.7149,6.15222,7.16453,6.97943,4.00779,4.38567,2.87105,5.93172,5.16133,5.93053,4.67563,3.87903,6.78356,6.82949,3.49935,9.62083,4.6458,5.24696,6.87147,5.48848,10.3923,9.77335,5.52805,6.20971,5.159,6.05878,5.2229,5.00939,5.9302,4.61556,7.89938,6.66684,4.213,4.04397,8.2194,7.44998,7.19408,8.54559,7.60182,5.77623,9.5009,6.20034,12.159,6.56251,7.25165,4.12918,7.86173,4.8444
5,705,5.93938,1.5481,2.84247,10.7694,4.55409,6.26592,5.35873,7.26145,5.98259,5.25049,5.89564,5.36286,5.5535,6.96128,4.08938,4.54444,6.39243,8.78368,6.04812,3.70134,5.29606,6.03267,6.09865,10.6338,5.76985,4.93923,4.10739,5.82368,3.79363,6.5509,4.23615,7.29231,5.36535,6.85377,4.80948,5.18905,7.3414,6.67771,5.18008,5.16599,5.64665,5.00403,6.72001,5.92756,5.65374,4.97449,5.67309,6.91673,10.4169,3.76454,4.11954,5.5474,6.48288,4.67408,4.13281,7.23174,6.71288,6.13762,7.15685,7.02342,3.95086,4.37996,2.84247,5.91532,4.89825,5.91748,4.67495,3.8777,6.94185,6.81511,3.49677,9.60368,4.64107,5.22977,6.86272,5.47772,4.93752,6.80374,5.50895,6.18939,5.15702,6.05183,5.22108,4.98621,5.8632,4.75128,7.54524,6.62802,4.20162,4.03545,8.22421,7.44467,7.19499,8.50421,6.64351,5.92934,9.73133,6.20091,10.7694,6.54065,7.23899,4.16038,8.02973,4.83892
6,750,5.92619,1.54978,2.84247,10.7694,4.55409,6.26592,5.35873,7.26145,5.98259,5.25049,5.89564,5.36286,5.5535,6.95446,4.08938,4.54444,6.39243,8.94128,6.04812,3.70134,5.29606,6.03267,6.09865,10.6338,5.76985,4.93923,4.10739,5.82368,3.79363,6.5509,4.23615,7.29231,5.36535,6.85377,4.80948,5.18905,7.3414,6.67771,5.18008,5.16599,5.64665,5.00403,6.72001,5.92756,5.65374,4.97449,5.67309,6.91673,10.4169,3.76454,4.11954,5.5474,6.48288,4.67408,4.13281,7.23174,6.71288,6.13762,7.15685,7.02342,3.95086,4.37996,2.84247,5.91532,4.89825,5.91748,4.67495,3.8777,6.94185,6.81511,3.49677,9.60368,4.64107,5.22977,6.86272,5.47772,4.93752,5.33715,5.50895,6.18939,5.15702,6.0465,5.22108,4.98621,5.8632,4.75128,7.54524,6.62802,4.20162,4.03545,8.22421,7.44467,7.19499,8.50637,6.64351,5.92934,9.73133,6.20091,10.7694,6.54065,7.23899,4.16038,8.02973,4.83892
7,795,5.91755,1.53797,2.84247,10.7694,4.55409,6.26592,5.35873,7.26145,5.98259,5.25049,5.89564,5.36286,5.5535,6.94902,4.08938,4.54444,6.39243,8.23861,6.04812,3.70134,5.29606,6.03267,6.09865,10.6338,5.76985,4.93923,4.10739,5.82368,3.79363,6.5509,4.23615,7.29231,5.36535,6.85377,4.80948,5.18905,7.3414,6.67771,5.18008,5.16599,5.64665,5.00403,6.72001,5.92756,5.65374,4.97449,5.67309,6.91673,10.4169,3.76454,4.11954,5.5474,6.48288,4.67408,4.13281,7.23174,6.71288,6.13762,7.15685,7.02342,3.95086,4.37996,2.84247,5.91532,4.89825,5.91748,4.67495,3.8777,6.94185,6.81511,3.49677,9.60368,4.64107,5.22977,6.86272,5.47772,4.93752,5.19332,5.50895,6.18939,5.15702,6.04165,5.22108,4.98621,5.8632,4.75128,7.54524,6.62802,4.20162,4.03545,8.22421,7.44467,7.19499,8.49927,6.64351,5.92934,9.73133,6.20091,10.7694,6.54065,7.23899,4.16038,8.02973,4.83892
8,840,5.90609,1.52478,2.84247,10.7694,4.55409,6.26592,5.35873,7.26145,5.98259,5.25049,5.89564,5.36286,5.5535,6.94466,4.08938,4.54444,6.39243,7.11554,6.04812,3.70134,5.29606,6.03267,6.09865,10.6338,5.76985,4.93923,4.10739,5.82368,3.79363,6.5509,4.23615,7.29231,5.36535,6.85377,4.80948,5.18905,7.3414,6.67771,5.18008,5.16599,5.64665,5.00403,6.72001,5.92756,5.65374,4.97449,5.67309,6.91673,10.4169,3.76454,4.11954,5.5474,6.48288,4.67408,4.13281,7.23174,6.71288,6.13762,7.15685,7.02342,3.95086,4.37996,2.84247,5.91532,4.89825,5.91748,4.67495,3.8777,6.94185,6.81511,3.49677,9.60368,4.64107,5.22977,6.86272,5.47772,4.93752,5.18588,5.50895,6.18939,5.15702,6.0381,5.22108,4.98621,5.8632,4.75128,7.54524,6.62802,4.20162,4.03545,8.22421,7.44467,7.19499,8.49243,6.64351,5.92934,9.73133,6.20091,10.7694,6.54065,7.23899,4.16038,8.02973,4.83892
9,885,5.90301,1.5226,2.84247,10.7694,4.55409,6.26592,5.35873,7.26145,5.98259,5.25049,5.89564,5.36286,5.5535,6.94292,4.08938,4.54444,6.39243,6.81595,6.04812,3.70134,5.29606,6.03267,6.09865,10.6338,5.76985,4.93923,4.10739,5.82368,3.79363,6.5509,4.23615,7.29231,5.36535,6.85377,4.80948,5.18905,7.3414,6.67771,5.18008,5.16599,5.64665,5.00403,6.72001,5.92756,5.65374,4.97449,5.67309,6.91673,10.4169,3.76454,4.11954,5.5474,6.48288,4.67408,4.13281,7.23174,6.71288,6.13762,7.15685,7.02342,3.95086,4.37996,2.84247,5.91532,4.89825,5.91748,4.67495,3.8777,6.94185,6.81511,3.49677,9.60368,4.64107,5.22977,6.86272,5.47772,4.93752,5.18378,5.50895,6.18939,5.15702,6.03702,5.22108,4.98621,5.8632,4.75128,7.54524,6.62802,4.20162,4.03545,8.22421,7.44467,7.19499,8.48844,6.64351,5.92934,9.73133,6.20091,10.7694,6.54065,7.23899,4.16038,8.02973,4.83892
