iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,240,0.361443,0.402399,0.000427733,1.21051,1.19549,0.0353454,0.0434158,1.21051,0.102853,0.138844,0.511583,0.379213,0.0489726,0.934131,0.0348901,0.401706,0.0641994,0.632137,0.00938187,0.564289,0.85174,0.715395,0.0534452,0.0462854,0.00373717,0.0150766,0.194013,0.822775,0.73593,1.06096,0.859244,0.844472,0.968568,0.000584199,0.954151,0.00361504,0.1095,0.0535881,0.00375529,0.000427733,0.0231973,1.01622,0.0108402,0.399464,0.640338,0.125012,0.688185,0.277963,0.0186261,0.0135118,0.0954421,0.0186672,0.934751,0.939308,0.0161963,0.0122775,0.007138,0.00122184,0.636184,0.0435885,0.674191,1.1557,0.977052,0.752542,0.519055,0.69031,0.0395533,0.967658,0.0186391,0.66324,0.0569888,0.0409806,0.0882152,1.16916,0.977239,0.503581,0.066411,0.0611463,0.227248,0.197929,0.189215,0.658373,0.0571923,0.0851971,0.0747971,0.0351219,0.0170042,0.160577,0.00667199,1.13052,1.2004,1.01564,0.0572067,0.0248551,0.0417008,0.00196709,0.0446806,0.0185708,0.490066,0.00801678,0.059903,0.153137,0.243026,0.00126237
2,380,0.386217,0.351451,0.000747669,1.16977,1.03948,0.0316001,0.0190903,1.09775,0.142331,0.135086,0.793675,0.414235,0.0594502,0.895178,0.0341029,0.373289,0.339711,0.67898,0.0471099,0.542414,0.766258,0.770221,0.487897,0.376054,0.00589336,0.0380164,0.202441,0.785386,0.685124,0.956091,0.759556,0.743722,0.823258,0.0016335,0.905564,0.0198368,0.164044,0.0601155,0.00708326,0.000747669,0.0160557,0.871385,0.0826982,0.432436,0.657347,0.153034,0.701622,0.314443,0.131866,0.0147384,0.604286,0.0403697,0.803159,0.89722,0.00861556,0.0354012,0.018661,0.00227002,0.714804,0.343467,0.571433,0.970805,0.829974,0.647612,0.4936,0.700733,0.0572965,0.875482,0.112515,0.732071,0.115438,0.236625,0.0966207,0.959225,0.872804,0.499483,0.546999,0.350085,0.235473,0.206263,0.184486,0.626541,0.0804327,0.0933642,0.040383,0.0512222,0.150308,0.202428,0.0241162,0.969349,1.16977,1.02666,0.116316,0.0991801,0.182862,0.00510421,0.124046,0.0550124,0.666762,0.0244864,0.135286,0.155818,0.278403,0.00250541
3,520,0.44564,0.387587,0.00144452,1.35308,1.02063,0.0320101,0.0305844,1.11192,0.144008,0.137409,1.35308,0.459986,0.0587208,0.938554,0.033853,0.368214,0.649678,0.797258,0.0738546,0.559921,0.755475,0.885792,1.00098,0.884658,0.00831918,0.0361362,0.20194,0.802956,0.670437,0.94363,0.740895,0.723667,0.79032,0.00316874,0.942054,0.0474958,0.175989,0.0640887,0.0149514,0.00144452,0.020533,0.825927,0.172589,0.502318,0.714147,0.154227,0.757956,0.366007,0.377686,0.0146588,1.09509,0.0423443,0.775779,0.936021,0.0123894,0.0392811,0.0187253,0.00424249,0.750018,0.417636,0.546425,0.941306,0.791276,0.618777,0.455309,0.731556,0.0543686,0.881047,0.289792,0.814184,0.112165,0.34932,0.0995828,0.905291,0.869441,0.527607,1.23405,0.637478,0.252922,0.226708,0.182726,0.623458,0.0745651,0.106805,0.0523345,0.0748368,0.40596,0.228139,0.0351175,0.929889,1.26289,1.12204,0.106412,0.0926147,0.406645,0.0125957,0.272444,0.0553745,1.04933,0.0302611,0.125265,0.16721,0.342676,0.0041509
4,565,0.450387,0.390608,0.00144452,1.35308,1.02063,0.0320101,0.0305844,1.11192,0.144008,0.137409,1.35308,0.459986,0.0587208,0.938554,0.033853,0.368214,0.649678,0.912399,0.0738546,0.559921,0.755475,1.00843,1.00098,0.884658,0.00831918,0.0361362,0.20194,0.802956,0.670437,0.94363,0.740895,0.723667,0.79032,0.00316874,0.942054,0.0474958,0.175989,0.0640887,0.0149514,0.00144452,0.020533,0.825927,0.172589,0.502318,0.714147,0.154227,0.757956,0.366007,0.377686,0.0146588,1.09509,0.0423443,0.775779,0.936021,0.0123894,0.0392811,0.0187253,0.00424249,0.750018,0.417636,0.546425,0.941306,0.791276,0.618777,0.455309,0.731556,0.0543686,0.881047,0.289792,0.814184,0.112165,0.34932,0.0995828,0.905291,0.869441,0.527607,1.23405,0.637478,0.252922,0.226708,0.181321,0.623458,0.0745651,0.106805,0.0707587,0.0748368,0.40596,0.228139,0.0351175,0.929889,1.26289,1.12204,0.106412,0.0926147,0.626551,0.0125957,0.272444,0.0553745,1.04933,0.0302611,0.125265,0.16721,0.342676,0.0041509
5,705,0.496518,0.438107,0.00224961,1.73615,1.00849,0.032869,0.043679,1.12696,0.14395,0.139701,1.73615,0.507648,0.0579679,0.982549,0.0337778,0.35114,0.826596,1.08031,0.0874618,0.530322,0.748306,1.13749,1.26409,1.35926,0.010669,0.0367175,0.202424,0.82287,0.654919,0.944044,0.727164,0.705906,0.766882,0.00511086,0.98249,0.0713236,0.199128,0.0661314,0.0266492,0.00224961,0.0233453,0.795369,0.21417,0.54958,0.735935,0.154226,0.809611,0.418534,0.66183,0.0149472,1.12528,0.0452765,0.754914,0.977536,0.015258,0.0497133,0.0200859,0.00680821,0.774921,0.445052,0.497514,0.916679,0.764114,0.58385,0.419594,0.739975,0.055045,0.888832,0.456341,0.874343,0.111698,0.489055,0.101151,0.866692,0.872623,0.554086,1.69127,0.939468,0.269861,0.245722,0.180224,0.605769,0.0786394,0.117791,0.0942289,0.10045,0.669886,0.254797,0.0376546,0.905073,1.34942,1.21783,0.119284,0.111924,0.798571,0.0263068,0.451461,0.0548885,1.34459,0.0406246,0.141134,0.179163,0.412258,0.00615178
6,750,0.501262,0.444453,0.00224961,1.73615,1.00849,0.032869,0.043679,1.12696,0.14395,0.139701,1.73615,0.507648,0.0579679,1.02806,0.0337778,0.35114,0.826596,1.28873,0.0874618,0.530322,0.748306,1.13749,1.26409,1.35926,0.010669,0.0367175,0.202424,0.82287,0.654919,0.944044,0.727164,0.705906,0.766882,0.00511086,0.98249,0.0713236,0.199128,0.0661314,0.0266492,0.00224961,0.0233453,0.795369,0.21417,0.54958,0.735935,0.154226,0.809611,0.418534,0.66183,0.0149472,1.12528,0.0452765,0.754914,0.977536,0.015258,0.0497133,0.0200859,0.00680821,0.774921,0.445052,0.497514,0.916679,0.764114,0.58385,0.419594,0.739975,0.055045,0.888832,0.456341,0.874343,0.111698,0.489055,0.101151,0.866692,0.872623,0.554086,1.69127,1.15781,0.269861,0.245722,0.180224,0.589025,0.0786394,0.117791,0.0942289,0.10045,0.669886,0.254797,0.0376546,0.905073,1.34942,1.21783,0.119284,0.130751,0.798571,0.0263068,0.451461,0.0548885,1.34459,0.0406246,0.141134,0.179163,0.412258,0.00615178
7,795,0.505607,0.452503,0.00224961,1.73615,1.00849,0.032869,0.043679,1.12696,0.14395,0.139701,1.73615,0.507648,0.0579679,1.07226,0.0337778,0.35114,0.826596,1.59897,0.0874618,0.530322,0.748306,1.13749,1.26409,1.35926,0.010669,0.0367175,0.202424,0.82287,0.654919,0.944044,0.727164,0.705906,0.766882,0.00511086,0.98249,0.0713236,0.199128,0.0661314,0.0266492,0.00224961,0.0233453,0.795369,0.21417,0.54958,0.735935,0.154226,0.809611,0.418534,0.66183,0.0149472,1.12528,0.0452765,0.754914,0.977536,0.015258,0.0497133,0.0200859,0.00680821,0.774921,0.445052,0.497514,0.916679,0.764114,0.58385,0.419594,0.739975,0.055045,0.888832,0.456341,0.874343,0.111698,0.489055,0.101151,0.866692,0.872623,0.554086,1.69127,1.23087,0.269861,0.245722,0.180224,0.57435,0.0786394,0.117791,0.0942289,0.10045,0.669886,0.254797,0.0376546,0.905073,1.34942,1.21783,0.119284,0.152392,0.798571,0.0263068,0.451461,0.0548885,1.34459,0.0406246,0.141134,0.179163,0.412258,0.00615178
8,840,0.508989,0.46064,0.00224961,1.87828,1.00849,0.032869,0.043679,1.12696,0.14395,0.139701,1.73615,0.507648,0.0579679,1.10745,0.0337778,0.35114,0.826596,1.87828,0.0874618,0.530322,0.748306,1.13749,1.26409,1.35926,0.010669,0.0367175,0.202424,0.82287,0.654919,0.944044,0.727164,0.705906,0.766882,0.00511086,0.98249,0.0713236,0.199128,0.0661314,0.0266492,0.00224961,0.0233453,0.795369,0.21417,0.54958,0.735935,0.154226,0.809611,0.418534,0.66183,0.0149472,1.12528,0.0452765,0.754914,0.977536,0.015258,0.0497133,0.0200859,0.00680821,0.774921,0.445052,0.497514,0.916679,0.764114,0.58385,0.419594,0.739975,0.055045,0.888832,0.456341,0.874343,0.111698,0.489055,0.101151,0.866692,0.872623,0.554086,1.69127,1.24557,0.269861,0.245722,0.180224,0.56392,0.0786394,0.117791,0.0942289,0.10045,0.669886,0.254797,0.0376546,0.905073,1.34942,1.21783,0.119284,0.171835,0.798571,0.0263068,0.451461,0.0548885,1.34459,0.0406246,0.141134,0.179163,0.412258,0.00615178
9,885,0.509949,0.463159,0.00224961,1.95453,1.00849,0.032869,0.043679,1.12696,0.14395,0.139701,1.73615,0.507648,0.0579679,1.11895,0.0337778,0.35114,0.826596,1.95453,0.0874618,0.530322,0.748306,1.13749,1.26409,1.35926,0.010669,0.0367175,0.202424,0.82287,0.654919,0.944044,0.727164,0.705906,0.766882,0.00511086,0.98249,0.0713236,0.199128,0.0661314,0.0266492,0.00224961,0.0233453,0.795369,0.21417,0.54958,0.735935,0.154226,0.809611,0.418534,0.66183,0.0149472,1.12528,0.0452765,0.754914,0.977536,0.015258,0.0497133,0.0200859,0.00680821,0.774921,0.445052,0.497514,0.916679,0.764114,0.58385,0.419594,0.739975,0.055045,0.888832,0.456341,0.874343,0.111698,0.489055,0.101151,0.866692,0.872623,0.554086,1.69127,1.25015,0.269861,0.245722,0.180224,0.560822,0.0786394,0.117791,0.0942289,0.10045,0.669886,0.254797,0.0376546,0.905073,1.34942,1.21783,0.119284,0.178617,0.798571,0.0263068,0.451461,0.0548885,1.34459,0.0406246,0.141134,0.179163,0.412258,0.00615178
