real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018
0,61.3313,101.901,50.2574,44.481,17.0594,9.92721,19.7112,58.4369,10.5684,39.4466
1,65.2649,106.873,54.8119,48.1879,17.8243,9.99352,20.6692,62.0732,10.55,41.088
2,62.9294,102.871,52.7004,46.524,17.3293,9.73809,19.9646,59.8115,10.3926,39.9365
3,69.4827,115.225,57.9486,50.8644,19.1476,11.0446,22.1985,66.2474,11.2435,43.4761
4,57.1784,98.9918,44.8381,39.9743,16.371,10.1104,19.1334,54.635,11.1492,38.4043
5,65.5033,106.927,55.0857,48.5298,18.0581,10.1347,20.7978,62.1992,10.6255,41.1905
6,40.6946,73.5104,28.7446,26.8599,12.7249,8.38943,14.6027,38.7298,10.4438,30.8483
7,65.1398,112.034,52.3318,46.1785,18.3637,11.1352,21.5378,62.2328,11.7835,42.3271
8,64.634,108.714,53.0426,46.8618,18.1304,10.6759,21.035,61.5817,11.2905,41.5666
9,66.4686,110.851,54.9663,48.2646,18.4578,10.4431,21.678,62.8798,11.2827,42.3213
10,66.0505,107.986,55.5935,48.8942,18.0375,10.1522,20.8261,62.8958,10.5649,41.4028
11,65.3961,112.24,52.7565,46.4321,18.4301,10.9572,21.7848,62.1912,11.8623,42.5352
12,52.9082,96.2501,38.9221,35.1299,15.8978,10.5164,18.6819,50.7306,11.8945,37.4
13,54.7285,94.3104,42.7373,38.4524,15.7939,10.1121,18.0144,52.7821,10.7231,36.8775
14,62.8835,109.034,49.9742,44.385,18.0142,11.233,20.9266,60.2752,11.8259,41.4017
15,58.3934,101.328,45.8944,40.9402,16.8308,10.4313,19.5754,55.8533,11.3966,39.1342
16,58.8111,99.8081,47.277,41.9592,16.6499,9.82127,19.4931,55.8167,10.9773,38.8926
17,58.6627,100.744,46.3096,41.3232,16.8962,10.4049,19.4926,56.1241,11.1803,38.9498
18,51.8632,85.7045,41.8377,37.8558,15.0498,8.91676,16.8241,49.3879,9.93554,34.8013
19,42.8674,72.5175,32.6227,30.0814,12.6882,7.90698,14.2372,40.9335,9.38605,30.6103
20,59.036,103.843,45.7039,40.6771,17.1677,10.7011,20.2009,56.3081,11.8396,39.8519
21,64.9783,106.117,54.5791,47.9855,17.6381,9.94074,20.4327,61.8793,10.3718,40.7837
22,63.2416,111.042,49.5317,43.7547,17.9826,11.2726,21.2585,60.6557,12.0051,41.8103
23,61.035,100.858,50.2901,44.5147,17.1325,9.61168,19.8429,57.6801,10.656,39.3952
24,61.8122,103.364,50.2543,44.5569,17.2495,10.3766,19.7651,59.3194,10.6404,39.6812
25,65.5896,109.719,54.0564,47.6303,18.1417,10.6526,21.0474,62.6752,11.0555,41.7339
26,61.6393,104.738,49.7818,43.9726,17.2621,10.1872,20.306,58.6137,11.1668,40.2815
27,62.762,105.128,51.3844,45.4777,17.8186,10.2103,20.6833,59.3717,11.2208,40.679
28,63.9495,106.607,52.7303,46.5947,17.7914,10.3945,20.5546,60.9923,10.9171,40.8955
29,65.2964,106.615,55.1736,48.4551,17.9428,9.62628,21.0279,61.3786,10.7697,41.3451
30,63.3502,106.919,51.6236,45.6598,17.773,10.576,20.5929,60.5437,11.1601,40.9131
31,56.0108,94.4831,44.7577,40.2105,16.0523,9.91748,18.1237,53.8468,10.4615,37.0917
32,58.9057,103.453,45.8175,40.8477,17.2263,10.6364,20.2159,56.0345,11.9095,39.8646
33,57.7853,102.302,44.4016,39.8437,16.9215,11.0571,19.5417,55.7056,11.7368,39.1998
34,63.5293,116.213,47.779,42.3377,18.3445,12.4675,21.8095,61.6599,12.884,42.886
35,55.5829,98.7583,42.0996,37.8103,16.4091,10.5502,19.1069,53.2674,11.6401,38.1928
36,63.572,103.339,53.4296,46.9933,17.4563,9.45841,20.315,59.9837,10.4046,40.2121
37,60.9845,101.794,49.946,44.2919,17.0666,10.0489,19.678,58.1842,10.7045,39.4566
38,56.5579,92.9789,46.3793,41.614,16.0626,9.55583,17.9513,54.1867,10.0505,36.8505
39,61.1452,109.206,46.8876,41.9124,17.9107,11.8838,20.7173,59.196,12.2709,41.1249
40,57.7504,99.5909,45.4477,40.6293,16.5117,10.4989,18.9502,55.7472,10.9837,38.4118
41,57.4251,101.559,44.1521,39.3601,16.728,10.4445,19.789,54.6744,11.7938,39.1869
42,58.8659,99.11,47.4343,42.2176,16.7848,9.82693,19.4232,55.8019,10.8763,38.7245
43,61.9853,105.817,49.9514,44.2401,17.5853,10.4952,20.558,58.9823,11.4342,40.6587
44,49.8447,82.2045,39.8531,36.1072,14.1886,8.64695,15.8231,47.8875,9.39234,33.4576
45,65.7913,107.544,55.4601,48.808,18.1097,10.0192,20.9525,62.339,10.7139,41.4432
46,65.2867,110.13,53.5437,46.9807,18.106,10.3229,21.4728,61.8132,11.3942,42.0423
47,62.3382,108.495,49.37,43.5702,17.6995,10.6796,21.0803,59.2394,11.8793,41.3438
48,67.7581,114.345,55.6647,48.9794,18.8018,11.1975,21.8493,64.9016,11.463,43.0533
49,63.7808,107.122,52.1098,45.8942,17.8146,10.1965,20.941,60.3548,11.1854,41.1289
50,63.0026,102.778,52.9402,46.8047,17.6608,9.62522,20.3961,59.2346,10.721,40.2509
51,65.3129,116.127,50.6191,44.6794,18.617,12.0411,22.0004,63.0105,12.4346,43.0967
52,65.7227,109.191,54.7351,48.2325,18.3528,10.3586,21.3714,62.1654,11.2357,41.9604
53,57.3698,95.4261,46.8502,41.6772,16.2359,9.26091,18.8077,54.26,10.5137,37.7835
54,55.1181,93.4505,43.7881,39.3155,15.9722,9.65263,18.2594,52.5206,10.686,36.9653
55,64.6209,105.139,54.4701,47.9296,17.8541,9.68024,20.7336,60.9087,10.6222,40.8439
