real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
0,42.0168,2.19406,25.2528,11.8974,50.7207,0.0207235,74.6285,23.5547,80.696,2.27861
1,3.63342,0.220416,69.8443,4.6001,58.6732,0.62005,3.7867,94.9771,0.00132025,1.96307
2,0.456118,0.000801978,64.8003,34.1859,58.3018,6.18634,2.66761,96.0952,12.5113,12.7097
3,98.816,2.18314,32.7007,10.5182,63.3841,86.8033,93.0142,33.5931,81.1526,93.1422
4,63.7846,5.79512,31.8898,3.80665,43.0136,0.046681,14.7842,100,79.4964,6.44807
5,0.0372034,0.125783,46.295,0.0131676,50.8248,100,60.3255,95.9388,74.438,0.181663
6,86.7788,7.43294,30.6045,100,0.215089,0.381954,0.460662,41.873,87.1642,54.6001
7,8.9921e-05,5.57321,40.2204,83.3363,55.7325,0.00906603,27.9993,0.759545,81.9277,98.467
8,98.984,3.30789,51.6686,47.3716,62.2879,100,0.00862071,100,97.3443,0.813841
9,0.00227697,3.12642,48.4639,2.30519,3.63142,96.3947,100,9.44643,94.0735,3.6801
10,100,0.0293181,63.0382,51.6637,71.1962,4.5474,10.2857,15.4592,20.6029,42.6551
11,76.6292,5.71496,60.163,0.0289041,19.8321,100,30.9463,71.1474,42.0315,0.0945126
12,0.00357907,9.5851,16.6484,0.0731222,11.114,100,68.6844,62.502,9.65327,6.64216
13,0.535608,4.85254,4.8738,0.083573,100,100,3.89016,56.8687,100,4.33352
14,95.9695,5.77635,33.6773,100,77.9913,100,0.0697797,9.20923,100,13.1714
15,28.4496,6.76772,43.6787,71.5163,49.8797,30.6008,1.46726,57.8257,14.527,53.8174
16,1.57989,4.54885,51.3142,1.77742,21.1065,100,13.9476,3.53869,100,90.3222
17,6.08145,6.02718,13.2616,30.9744,42.4803,60.0162,100,61.1207,9.87787,73.1582
18,0.405908,0.84713,42.7209,100,60.517,100,16.0919,52.8218,30.8139,11.1032
19,85.8092,2.48935,14.0751,19.2549,52.9784,1.18798,3.36623,49.0611,100,0.0882397
20,22.3839,6.63386,28.0017,3.34818,3.1905,100,96.1105,14.994,8.1274,78.7165
21,3.64648,0.0410572,51.4221,2.52796,72.7592,1.4065,17.6678,2.06254,99.1865,3.40043
22,88.5507,8.39404,31.1432,0.00465496,43.6417,4.13668,50.8515,36.7218,1.70274,0.590792
23,0.826227,1.40489,48.409,73.1316,0.316069,0.323972,99.7355,1.47182,0.248418,85.8108
24,88.1184,2.56291,0.00129911,0.383005,83.5794,0.858421,100,25.252,47.5576,0.0684815
25,6.74689,2.69423,46.68,63.7582,77.6959,7.40718,13.4446,0.272923,55.639,0.25872
26,17.2386,5.03723,53.3351,9.33033,33.2682,0.285425,8.47422,69.1556,100,0.367977
27,1.31067,3.24486,49.0403,65.4059,0.606444,96.0945,88.2326,74.7252,2.33514,13.1469
28,15.4689,2.03654,45.3669,65.787,73.1405,9.60692,10.22,75.0984,87.5511,3.39359
29,25.53,0.0340875,94.1587,100,3.12425,6.11478,0.45112,2.20333,100,100
