iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,131.41,145.583,4.57634,433.993,428.231,12.1512,11.9522,433.785,32.5268,26.8069,158.428,149.427,16.8339,342.389,12.7973,153.781,9.69294,221.043,6.15971,219.025,308.913,224.154,17.6414,16.1668,4.97664,8.01275,67.1015,296.307,265.629,366.254,316.538,318.245,371.458,5.02233,341.654,5.2459,51.4396,29.9243,5.76893,5.10938,8.78518,364.804,5.68847,148.82,235.275,52.7911,231.212,110.519,6.77696,7.86863,16.6107,14.5979,354.284,344.556,7.29134,9.72181,7.32042,5.8775,223.681,13.4317,272.04,422.379,366.659,289.781,192.511,249.285,12.6087,362.679,6.43123,215.255,18.2363,11.106,44.854,423.467,366.329,183.2,20.4616,15.3804,84.4814,83.9815,77.7953,243.659,23.6485,36.1773,15.2365,18.3348,8.08609,64.3331,5.29936,400.622,433.993,345.229,24.8534,12.5355,5.28089,4.58892,4.64559,12.3831,155.653,6.64448,28.7864,64.1373,72.9185,4.57634
1,240,6.54652,2.56914,4.4578,19.1484,5.78096,7.44545,6.53892,5.01638,5.25009,6.43713,12.5328,4.77327,5.28327,5.89535,5.06772,6.09538,7.21758,6.82396,4.94622,8.64332,7.99493,6.21544,16.1362,14.2876,4.60119,5.42544,5.82131,5.69857,5.11026,6.27538,7.66163,6.90899,5.98833,4.64501,7.161,5.10542,5.43503,4.83519,5.2633,4.62076,4.60629,6.3818,5.42433,5.46279,7.49936,5.30306,5.88924,4.69864,6.69111,5.2114,12.776,5.89318,6.62469,6.36393,4.4578,6.53359,4.50317,4.49729,8.15037,10.4873,7.28519,6.05385,6.34984,7.2449,7.76646,7.47837,5.98101,5.9361,6.2589,6.89634,9.2255,9.2252,4.71743,6.00016,5.84511,4.81156,19.1484,13.4937,4.55597,4.55371,4.75931,7.32657,4.95167,4.91269,5.10846,4.86391,8.04002,6.01946,4.51183,6.51368,5.62917,6.65529,6.19385,5.05231,5.25507,4.58724,4.70235,6.27168,13.2794,5.15812,5.80613,4.49465,4.59902,4.73823
2,380,5.3217,2.04144,4.43101,17.0139,4.53379,4.69622,4.77428,6.50891,4.63984,4.53069,13.6015,4.77562,4.57006,4.733,4.79077,4.50762,7.39223,5.17332,4.46538,5.6559,5.23092,4.80139,9.71902,11.7267,4.55348,4.62269,4.62841,4.5061,4.53577,4.67286,4.81028,4.44346,4.5314,4.72757,4.49993,4.99368,4.46773,4.54178,5.06035,4.66625,4.60206,4.56577,5.07761,4.5206,4.86898,4.53129,4.86278,4.49396,6.59128,4.58342,8.48993,4.59471,4.86216,4.5073,4.54349,5.01267,4.89214,4.756,5.70175,4.51744,4.5345,4.4883,4.49975,4.51499,4.82911,4.52955,4.51005,4.63577,5.63982,4.56339,4.4348,6.48819,4.55286,4.62281,4.67619,4.46602,17.0139,8.33234,4.64579,4.57568,4.88465,4.69059,4.96115,4.87558,4.53139,4.83595,7.83568,4.63876,4.6252,4.5858,4.70565,4.45674,4.7646,4.85384,6.05521,4.50808,4.63889,4.96597,13.8435,4.43101,4.4668,4.48344,4.5827,4.73089
3,520,4.97847,1.08177,4.43321,10.3645,4.53173,4.74534,4.57493,5.3681,4.67007,4.71407,9.57382,4.76392,4.63666,4.83257,4.82264,4.77476,5.16841,4.97468,4.54228,4.53903,4.55436,4.52215,5.66657,8.96998,4.50491,4.74369,4.66858,4.48688,4.53585,4.78139,4.52402,4.45511,4.60155,4.69487,4.56431,4.8203,4.47179,4.56089,4.94866,4.77779,4.59417,4.50829,4.81675,4.53456,4.62729,4.60689,4.52575,4.48333,6.36513,4.75216,4.74848,4.55811,5.1193,4.5782,4.47936,4.98163,4.71301,4.69402,4.90305,4.61882,4.82668,4.4832,4.49388,4.76345,4.59403,4.76439,4.85813,4.65161,4.96393,4.50082,4.76736,6.20205,4.56643,4.56734,4.79229,4.5198,10.0969,6.45216,4.80196,4.5923,5.01559,4.48807,4.67946,4.88182,4.55287,4.85677,7.51831,4.51228,5.05269,4.67884,4.64439,4.52797,4.48033,4.9337,5.34031,4.51852,4.65831,4.84169,10.3645,4.43321,4.45403,4.50778,4.60499,4.74705
4,565,4.97241,1.08173,4.43321,10.3645,4.53173,4.74534,4.57493,5.3681,4.67007,4.71407,9.57382,4.76392,4.63666,4.83257,4.82264,4.77476,5.16841,4.89895,4.54228,4.53903,4.55436,4.4631,5.66657,8.96998,4.50491,4.74369,4.66858,4.48688,4.53585,4.78139,4.52402,4.45511,4.60155,4.69487,4.56431,4.8203,4.47179,4.56089,4.94866,4.77779,4.59417,4.50829,4.81675,4.53456,4.62729,4.60689,4.52575,4.48333,6.36513,4.75216,4.74848,4.55811,5.1193,4.5782,4.47936,4.98163,4.71301,4.69402,4.90305,4.61882,4.82668,4.4832,4.49388,4.76345,4.59403,4.76439,4.85813,4.65161,4.96393,4.50082,4.76736,6.20205,4.56643,4.56734,4.79229,4.5198,10.0969,6.45216,4.80196,4.5923,5.11521,4.48807,4.67946,4.88182,4.55148,4.85677,7.51831,4.51228,5.05269,4.67884,4.64439,4.52797,4.48033,4.9337,4.7708,4.51852,4.65831,4.84169,10.3645,4.43321,4.45403,4.50778,4.60499,4.74705
5,705,4.81256,0.653307,4.43234,9.27093,4.52977,4.68781,4.56675,5.50519,4.67694,4.68181,6.3817,4.75896,4.63941,4.85809,4.81851,4.73993,4.73639,4.79539,4.60632,4.48599,4.51958,4.47846,4.55287,7.1787,4.47868,4.73361,4.6759,4.48743,4.53489,4.77914,4.54234,4.44113,4.6032,4.71385,4.58086,4.73033,4.45589,4.61925,4.83398,4.99746,4.59196,4.50699,4.67956,4.63105,4.54545,4.60734,4.45604,4.4916,6.1396,4.70278,5.34408,4.55735,5.14413,4.62395,4.48813,4.94067,4.77808,4.69682,4.7787,4.55629,4.71303,4.47886,4.49688,4.61689,4.52877,4.68981,4.72867,4.65912,4.70555,4.50586,4.8144,6.28043,4.56855,4.57011,4.78695,4.52713,4.56713,4.65743,4.80345,4.58697,5.17759,4.47115,4.67489,4.86463,4.55048,4.91232,7.07764,4.45716,5.0004,4.71799,4.64847,4.59588,4.48128,4.90721,4.5984,4.51659,4.64054,4.83334,9.27093,4.43234,4.45398,4.58353,4.68284,4.75345
6,845,4.77859,0.544857,4.42474,8.89087,4.52782,4.68126,4.56233,5.53163,4.68056,4.67922,4.60693,4.75292,4.64521,4.86962,4.82102,4.73667,4.54955,4.71053,4.641,4.51484,4.50785,4.54469,4.46561,5.60979,4.46253,4.73056,4.68068,4.48984,4.53637,4.77784,4.56164,4.44019,4.59928,4.71192,4.59185,4.68602,4.44694,4.66141,4.75549,5.18347,4.59124,4.50638,4.63008,4.73058,4.52667,4.5973,4.53017,4.49574,6.00703,4.71175,5.0961,4.55409,5.18557,4.65292,4.48781,4.90192,4.80776,4.69654,4.73313,4.56463,4.7439,4.47494,4.49439,4.65043,4.4829,4.69302,4.74329,4.66661,4.62468,4.49646,4.83819,6.30405,4.563,4.58069,4.77817,4.53761,4.73231,4.74877,4.80457,4.58255,5.22332,4.47035,4.67531,4.85854,4.54988,4.98087,6.62834,4.42474,4.99889,4.80001,4.65813,4.66233,4.48159,4.92333,5.09428,4.50827,4.6266,4.83068,8.89087,4.43095,4.45347,4.66341,4.77959,4.74191
7,985,4.78641,0.544848,4.40456,8.78518,4.52593,4.67134,4.55889,5.54342,4.68291,4.67844,4.52002,4.74686,4.6461,4.87398,4.8216,4.73317,4.49609,4.7198,4.65381,4.54631,4.5027,4.6239,4.48881,4.69839,4.45829,4.72593,4.68454,4.49322,4.54456,4.77605,4.58543,4.43961,4.59461,4.71524,4.6028,4.67845,4.44045,4.7169,4.68683,5.55604,4.59173,4.50575,4.61484,4.81795,4.52735,4.58565,4.63242,4.49865,6.20427,4.70792,5.17603,4.5509,5.22961,4.67833,4.491,4.85875,4.84225,4.69803,4.71108,4.56448,4.70794,4.4718,4.49131,4.63685,4.4673,4.68508,4.74167,4.67301,4.61923,4.479,4.85557,6.48136,4.55577,4.6015,4.76971,4.53755,4.56931,5.17774,4.80331,4.57844,5.26558,4.46805,4.67652,4.85883,4.54713,5.07708,6.48271,4.40456,4.99235,4.93929,4.67475,4.72793,4.48175,4.94349,5.21137,4.49772,4.61316,4.83239,8.78518,4.42929,4.45286,4.79024,4.93476,4.73178
8,1030,4.78752,0.548816,4.40456,8.78518,4.52471,4.67134,4.55889,5.54342,4.68291,4.67745,4.52002,4.74686,4.6461,4.87398,4.8216,4.73317,4.49609,4.7198,4.65381,4.54631,4.5027,4.6239,4.48881,4.69839,4.45829,4.72593,4.68454,4.49322,4.54456,4.77605,4.58543,4.43961,4.59461,4.71524,4.6028,4.67845,4.44045,4.7169,4.68683,5.55604,4.59173,4.50575,4.61484,4.81795,4.52735,4.58565,4.63242,4.49865,6.20427,4.70792,5.17603,4.5509,5.22961,4.67833,4.491,4.85875,4.84225,4.69803,4.71108,4.56448,4.70794,4.4718,4.49131,4.63685,4.4673,4.68508,4.74167,4.67301,4.61923,4.479,4.85557,6.6032,4.55577,4.6015,4.76971,4.53273,4.56931,5.17774,4.80331,4.57844,5.26558,4.46805,4.67652,4.85883,4.54713,5.07708,6.48271,4.40456,4.989,4.93929,4.67475,4.72793,4.48175,4.94349,5.21137,4.49772,4.61316,4.83239,8.78518,4.42929,4.45286,4.79024,4.93476,4.73178
9,1075,4.78868,0.552981,4.40456,8.78518,4.52354,4.67134,4.55889,5.54342,4.68291,4.67702,4.52002,4.74686,4.6461,4.87398,4.8216,4.73317,4.49609,4.7198,4.65381,4.54631,4.5027,4.6239,4.48881,4.69839,4.45829,4.72593,4.68454,4.49322,4.54456,4.77605,4.58543,4.43961,4.59461,4.71524,4.6028,4.67845,4.44045,4.7169,4.68683,5.55604,4.59173,4.50575,4.61484,4.81795,4.52735,4.58565,4.63242,4.49865,6.20427,4.70792,5.17603,4.5509,5.22961,4.67833,4.491,4.85875,4.84225,4.69803,4.71108,4.56448,4.70794,4.4718,4.49131,4.63685,4.4673,4.68508,4.74167,4.67301,4.61923,4.479,4.85557,6.72387,4.55577,4.6015,4.76971,4.53017,4.56931,5.17774,4.80331,4.57844,5.26558,4.46805,4.67652,4.85883,4.54713,5.07708,6.48271,4.40456,4.98831,4.93929,4.67475,4.72793,4.48175,4.94349,5.21137,4.49772,4.61316,4.83239,8.78518,4.42929,4.45286,4.79024,4.93476,4.73178
