iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,127.198,139.836,3.48358,428.231,428.231,15.2501,15.7386,395.458,35.2668,27.6756,151.764,138.008,15.2555,320.175,10.407,143.927,12.9807,203.573,8.06528,208.691,308.904,203.691,21.9448,19.8646,7.08744,7.40594,60.6039,312.992,266.08,347.174,305.271,313.453,364.446,6.20148,325.66,3.48358,54.1418,33.6806,6.62263,9.22032,8.16084,365.957,6.38972,128.706,228.873,56.8903,223.145,112.572,9.0933,5.79845,24.1744,14.5018,319.439,327.355,7.06421,6.93058,4.74927,6.38738,239.214,15.9901,271.256,418.771,361.946,277.383,172.143,244.222,10.832,346.122,10.4328,198.801,16.7004,10.6376,45.0325,403.542,352.249,178.444,25.6745,24.4942,74.5439,78.5617,66.4766,239.874,27.1855,29.9193,14.949,18.2125,8.51985,62.2359,8.87155,375.821,412.966,325.521,25.0322,10.5064,10.9521,4.17463,4.34823,9.01711,148.163,5.46943,30.4223,61.8012,72.5009,5.30069
1,240,8.22437,3.97781,2.90829,24.1638,6.19534,10.8607,10.2221,10.2659,4.48202,9.87086,15.2494,4.84333,6.20375,8.51659,5.39594,9.00636,9.88192,9.95359,6.21357,8.01499,7.65033,9.80089,20.3027,17.8002,6.48545,5.53418,4.28106,7.63077,7.98339,9.68814,10.0336,7.48378,9.34459,6.15122,9.93132,3.37923,6.36603,7.301,6.55003,9.14427,5.05708,5.92819,6.19629,5.33411,9.88835,5.69008,11.4262,5.40026,8.99147,3.98486,19.4185,6.58164,12.0712,8.47071,5.45658,4.95895,4.06397,3.97328,6.43251,12.7978,10.0893,5.94759,8.31289,10.4141,15.4092,9.55357,5.77368,7.5925,10.1627,10.9513,9.47024,8.72612,2.90829,6.54582,9.88912,7.07127,24.1638,22.0393,4.34031,4.57474,3.93632,7.96847,6.60942,4.22909,5.91673,4.24234,8.48194,8.75657,6.90323,10.6518,6.21872,9.57715,6.33957,5.9272,10.991,4.17396,4.21688,4.18524,17.0531,4.17933,8.29029,5.95875,8.27794,5.27523
2,380,6.65078,3.26349,2.5833,21.9461,4.92301,8.7661,8.31785,7.29011,2.93702,9.1213,16.5428,4.83881,6.03843,5.23472,5.41253,6.33781,10.2138,7.46031,5.0322,4.79803,5.13779,7.39855,13.2928,15.0646,6.35695,5.31125,3.66786,6.72682,7.0526,6.18874,6.6508,4.68186,7.00269,6.13959,6.0573,3.29742,5.21327,6.96751,6.56807,9.42241,5.05725,4.08096,5.96376,3.45591,6.93581,4.37863,9.78381,5.22025,8.8924,3.84777,13.8984,5.70188,6.57295,5.44752,5.31175,4.4852,3.80568,3.68054,4.78471,5.77193,6.18996,4.26986,6.00936,6.44657,10.3002,5.4887,5.32593,4.96332,9.14321,6.93468,7.34896,5.9292,2.5833,3.90306,7.03329,6.43394,21.9461,15.0158,4.20508,4.53993,3.90734,4.90176,6.01919,4.22506,5.65881,4.17173,8.32032,8.19457,6.32153,6.8926,3.95328,6.03585,4.91487,5.92174,12.9231,4.16259,4.34432,3.36506,17.8019,3.66786,7.26768,6.00719,8.27563,5.2726
3,520,6.12819,2.30012,2.50641,14.1966,4.91352,8.56022,8.16359,7.1587,2.9358,8.87843,12.2604,4.83371,6.00947,5.20275,5.40101,5.89046,7.2694,7.09602,4.76611,3.367,4.55634,6.61402,8.62422,12.1186,6.19076,5.25536,3.66104,6.74214,7.05884,6.14809,6.01891,4.61037,6.97781,6.14152,5.8135,3.18396,5.1703,6.88322,6.59553,9.6569,5.05987,4.01684,5.81688,2.95423,6.56978,4.32477,9.05176,5.14849,8.67182,3.81972,6.46632,5.67838,6.43538,5.3264,5.35099,4.48086,3.82596,3.67729,4.42466,5.69962,6.22215,4.24886,5.90839,5.9699,9.61809,5.31719,5.24843,4.94236,7.87578,6.53546,7.07304,5.67788,2.50641,3.85714,7.02061,6.41604,14.1966,12.2171,4.17454,4.52559,3.89661,4.42492,5.8792,4.21419,5.6238,4.16449,8.09524,8.15026,6.23008,6.75354,3.91949,5.85146,4.62525,5.89953,11.7074,4.15952,4.27624,3.33762,13.9863,3.66569,7.19065,6.07857,8.33871,5.27003
4,565,6.11226,2.27408,2.50641,14.1966,4.91352,8.56022,8.16359,7.1587,2.9358,8.87843,12.2604,4.83371,6.00947,5.20275,5.40101,5.89046,7.2694,6.96813,4.76611,3.367,4.55634,6.28156,8.62422,12.1186,6.19076,5.25536,3.66104,6.74214,7.05884,6.14809,6.01891,4.61037,6.97781,6.14152,5.8135,3.18396,5.1703,6.88322,6.59553,9.6569,5.05987,4.01684,5.81688,2.95423,6.56978,4.32477,9.05176,5.14849,8.67182,3.81972,6.46632,5.67838,6.43538,5.3264,5.35099,4.48086,3.82596,3.67729,4.42466,5.69962,6.22215,4.24886,5.90839,5.9699,9.61809,5.31719,5.24843,4.94236,7.87578,6.53546,7.07304,5.67788,2.50641,3.85714,7.02061,6.41604,14.1966,12.2171,4.17454,4.52559,3.897,4.42492,5.8792,4.21419,5.62008,4.16449,8.09524,8.15026,6.23008,6.75354,3.91949,5.85146,4.62525,5.89953,10.5781,4.15952,4.27624,3.33762,13.9863,3.66569,7.19065,6.07857,8.33871,5.27003
5,705,5.87033,1.81581,2.50304,12.8714,4.90477,8.52921,8.15842,7.13621,2.93545,8.87536,8.83854,4.82957,6.00144,5.18871,5.40063,5.8889,6.60011,6.77904,4.71989,3.18435,4.5013,6.03325,7.05827,10.1707,6.07767,5.25518,3.65987,6.76072,7.07322,6.13714,5.94359,4.59506,6.97794,6.1405,5.77001,3.13168,5.13908,6.87113,6.65433,10.0446,5.06149,4.0165,5.75954,2.78964,6.40618,4.30862,8.66844,5.11136,8.45617,3.81609,6.41323,5.66421,6.38375,5.27551,5.34112,4.48053,3.78096,3.67721,4.39953,5.68868,6.18851,4.22849,5.89822,5.94939,9.38155,5.30346,5.23121,4.92545,7.24969,6.4435,7.04242,5.80891,2.50304,3.8105,7.02101,6.40956,6.8585,8.69855,4.17165,4.51903,3.8983,4.42157,5.87713,4.21117,5.61689,4.20541,7.76908,8.13195,6.22584,6.64604,3.88643,5.75929,4.62764,5.8869,9.23171,4.15892,4.31819,3.33639,12.8714,3.66499,7.18961,6.22586,8.49742,5.26763
6,845,5.77956,1.71401,2.50049,12.5754,4.89627,8.53034,8.15861,7.1245,2.9351,8.87471,6.71049,4.82619,5.9938,5.17641,5.3989,5.88948,6.22221,6.60803,4.70296,3.12743,4.4589,5.8747,6.75766,8.34165,5.99496,5.25502,3.65903,6.78007,7.09509,6.12597,5.88126,4.58392,6.97797,6.14119,5.73098,3.10975,5.11978,6.86746,6.72663,10.3687,5.06363,4.01751,5.74675,2.69895,6.32501,4.29587,8.48695,5.08908,8.35463,3.8159,6.39205,5.654,6.331,5.23478,5.34347,4.48344,3.7485,3.67723,4.3948,5.68756,6.21138,4.20883,5.89023,5.94468,9.15526,5.31056,5.23113,4.90956,7.0028,6.45157,7.0221,5.89368,2.50049,3.76492,7.0213,6.40536,6.22089,7.04954,4.16909,4.51462,3.90109,4.42241,5.87672,4.20854,5.61417,4.26284,7.44762,8.13784,6.22516,6.54315,3.85464,5.68651,4.6295,5.87251,8.92711,4.15973,4.37521,3.3358,12.5754,3.66444,7.18869,6.36594,8.67119,5.26454
7,985,5.77285,1.72692,2.49828,12.6161,4.88824,8.53197,8.16086,7.11408,2.93482,8.87426,6.41194,4.82342,5.98714,5.16652,5.39818,5.8901,6.00003,6.65311,4.69533,3.09019,4.42175,5.78626,6.71506,7.10998,5.93878,5.25515,3.65845,6.7976,7.13341,6.11509,5.82668,4.57441,6.97798,6.14186,5.69513,3.10932,5.10657,6.89812,6.84993,10.9813,5.06638,4.01869,5.74493,2.64354,6.27627,4.28668,8.44126,5.07736,8.65395,3.81552,6.39423,5.64656,6.28156,5.19912,5.34668,4.49142,3.71705,3.67726,4.39364,5.68691,6.21841,4.19054,5.88427,5.94024,9.05011,5.3172,5.23052,4.89498,7.04689,6.57764,7.00795,6.14752,2.49828,3.72431,7.02165,6.39969,6.2049,6.89164,4.16673,4.51168,3.90736,4.42317,5.87701,4.20614,5.61236,4.34475,7.3911,8.18012,6.2246,6.46304,3.82567,5.62669,4.63132,5.85896,8.9153,4.16314,4.55566,3.33572,12.6161,3.66404,7.18787,6.58333,8.93239,5.26223
8,1030,5.77458,1.72742,2.49828,12.6161,4.8831,8.53197,8.16086,7.11408,2.93482,8.87403,6.41194,4.82342,5.98714,5.16652,5.39818,5.8901,6.00003,6.65311,4.69533,3.09019,4.42175,5.78626,6.71506,7.10998,5.93878,5.25515,3.65845,6.7976,7.13341,6.11509,5.82668,4.57441,6.97798,6.14186,5.69513,3.10932,5.10657,6.89812,6.84993,10.9813,5.06638,4.01869,5.74493,2.64354,6.27627,4.28668,8.44126,5.07736,8.65395,3.81552,6.39423,5.64656,6.28156,5.19912,5.34668,4.49142,3.71705,3.67726,4.39364,5.68691,6.21841,4.19054,5.88427,5.94024,9.05011,5.3172,5.23052,4.89498,7.04689,6.57764,7.00795,6.33001,2.49828,3.72431,7.02165,6.39512,6.2049,6.89164,4.16673,4.51168,3.90736,4.42317,5.87701,4.20614,5.61236,4.34475,7.3911,8.18012,6.22431,6.46304,3.82567,5.62669,4.63132,5.85896,8.9153,4.16314,4.55566,3.33572,12.6161,3.66404,7.18787,6.58333,8.93239,5.26223
9,1075,5.77638,1.72814,2.49828,12.6161,4.87827,8.53197,8.16086,7.11408,2.93482,8.87389,6.41194,4.82342,5.98714,5.16652,5.39818,5.8901,6.00003,6.65311,4.69533,3.09019,4.42175,5.78626,6.71506,7.10998,5.93878,5.25515,3.65845,6.7976,7.13341,6.11509,5.82668,4.57441,6.97798,6.14186,5.69513,3.10932,5.10657,6.89812,6.84993,10.9813,5.06638,4.01869,5.74493,2.64354,6.27627,4.28668,8.44126,5.07736,8.65395,3.81552,6.39423,5.64656,6.28156,5.19912,5.34668,4.49142,3.71705,3.67726,4.39364,5.68691,6.21841,4.19054,5.88427,5.94024,9.05011,5.3172,5.23052,4.89498,7.04689,6.57764,7.00795,6.51866,2.49828,3.72431,7.02165,6.39178,6.2049,6.89164,4.16673,4.51168,3.90736,4.42317,5.87701,4.20614,5.61236,4.34475,7.3911,8.18012,6.22411,6.46304,3.82567,5.62669,4.63132,5.85896,8.9153,4.16314,4.55566,3.33572,12.6161,3.66404,7.18787,6.58333,8.93239,5.26223
