iteration,total_runs,obs_realization,par_realization,din,all_params
0,100,0,0,428.231,0
0,100,1,1,12.1512,0
0,100,2,2,11.9522,0
0,100,3,3,433.785,0
0,100,4,4,32.5268,0
0,100,5,5,26.8069,0
0,100,6,6,158.428,0
0,100,7,7,149.427,0
0,100,8,8,16.8339,0
0,100,9,9,342.389,0
0,100,10,10,12.7973,0
0,100,11,11,153.781,0
0,100,12,12,9.69294,0
0,100,13,13,221.043,0
0,100,14,14,6.15971,0
0,100,15,15,219.025,0
0,100,16,16,308.913,0
0,100,17,17,224.154,0
0,100,18,18,17.6414,0
0,100,19,19,16.1668,0
0,100,20,20,4.97664,0
0,100,21,21,8.01275,0
0,100,22,22,67.1015,0
0,100,23,23,296.307,0
0,100,24,24,265.629,0
0,100,25,25,366.254,0
0,100,26,26,316.538,0
0,100,27,27,318.245,0
0,100,28,28,371.458,0
0,100,29,29,5.02233,0
0,100,30,30,341.654,0
0,100,31,31,5.2459,0
0,100,32,32,51.4396,0
0,100,33,33,29.9243,0
0,100,34,34,5.76893,0
0,100,35,35,5.10938,0
0,100,36,36,8.78518,0
0,100,37,37,364.804,0
0,100,38,38,5.68847,0
0,100,39,39,148.82,0
0,100,40,40,235.275,0
0,100,41,41,52.7911,0
0,100,42,42,231.212,0
0,100,43,43,110.519,0
0,100,44,44,6.77696,0
0,100,45,45,7.86863,0
0,100,46,46,16.6107,0
0,100,47,47,14.5979,0
0,100,48,48,354.284,0
0,100,49,49,344.556,0
0,100,50,50,7.29134,0
0,100,51,51,9.72181,0
0,100,52,52,7.32042,0
0,100,53,53,5.8775,0
0,100,54,54,223.681,0
0,100,55,55,13.4317,0
0,100,56,56,272.04,0
0,100,57,57,422.379,0
0,100,58,58,366.659,0
0,100,59,59,289.781,0
0,100,60,60,192.511,0
0,100,61,61,249.285,0
0,100,62,62,12.6087,0
0,100,63,63,362.679,0
0,100,64,64,6.43123,0
0,100,65,65,215.255,0
0,100,66,66,18.2363,0
0,100,67,67,11.106,0
0,100,68,68,44.854,0
0,100,69,69,423.467,0
0,100,70,70,366.329,0
0,100,71,71,183.2,0
0,100,72,72,20.4616,0
0,100,73,73,15.3804,0
0,100,74,74,84.4814,0
0,100,75,75,83.9815,0
0,100,76,76,77.7953,0
0,100,77,77,243.659,0
0,100,78,78,23.6485,0
0,100,79,79,36.1773,0
0,100,80,80,15.2365,0
0,100,81,81,18.3348,0
0,100,82,82,8.08609,0
0,100,83,83,64.3331,0
0,100,84,84,5.29936,0
0,100,85,85,400.622,0
0,100,86,86,433.993,0
0,100,87,87,345.229,0
0,100,88,88,24.8534,0
0,100,89,89,12.5355,0
0,100,90,90,5.28089,0
0,100,91,91,4.58892,0
0,100,92,92,4.64559,0
0,100,93,93,12.3831,0
0,100,94,94,155.653,0
0,100,95,95,6.64448,0
0,100,96,96,28.7864,0
0,100,97,97,64.1373,0
0,100,98,98,72.9185,0
0,100,99,99,4.57634,0
1,240,0,0,5.78096,1.18394
1,240,1,1,7.44545,0.0200665
1,240,2,2,6.53892,0.0219367
1,240,3,3,5.01638,1.08373
1,240,4,4,5.25009,0.0993641
1,240,5,5,6.43713,0.0608652
1,240,6,6,12.5328,0.435256
1,240,7,7,4.77327,0.370856
1,240,8,8,5.28327,0.0343367
1,240,9,9,5.89535,0.884539
1,240,10,10,5.06772,0.0217256
1,240,11,11,6.09538,0.40305
1,240,12,12,7.21758,0.0287512
1,240,13,13,6.82396,0.575863
1,240,14,14,4.94622,0.0149789
1,240,15,15,8.64332,0.585071
1,240,16,16,7.99493,0.850819
1,240,17,17,6.21544,0.569801
1,240,18,18,16.1362,0.0457099
1,240,19,19,14.2876,0.0441112
1,240,20,20,4.60119,0.0179395
1,240,21,21,5.42544,0.00699466
1,240,22,22,5.82131,0.169801
