iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,127.198,139.836,3.48358,428.231,428.231,15.2501,15.7386,395.458,35.2668,27.6756,151.764,138.008,15.2555,320.175,10.407,143.927,12.9807,203.573,8.06528,208.691,308.904,203.691,21.9448,19.8646,7.08744,7.40594,60.6039,312.992,266.08,347.174,305.271,313.453,364.446,6.20148,325.66,3.48358,54.1418,33.6806,6.62263,9.22032,8.16084,365.957,6.38972,128.706,228.873,56.8903,223.145,112.572,9.0933,5.79845,24.1744,14.5018,319.439,327.355,7.06421,6.93058,4.74927,6.38738,239.214,15.9901,271.256,418.771,361.946,277.383,172.143,244.222,10.832,346.122,10.4328,198.801,16.7004,10.6376,45.0325,403.542,352.249,178.444,25.6745,24.4942,74.5439,78.5617,66.4766,239.874,27.1855,29.9193,14.949,18.2125,8.51985,62.2359,8.87155,375.821,412.966,325.521,25.0322,10.5064,10.9521,4.17463,4.34823,9.01711,148.163,5.46943,30.4223,61.8012,72.5009,5.30069
1,240,8.10268,3.96537,2.86652,24.1434,5.78096,10.8536,10.2144,9.88664,4.44724,9.84956,15.097,4.71353,6.19173,8.20701,5.38834,8.86529,9.87186,9.75203,6.20833,7.81022,7.35254,9.60146,20.2867,17.7848,6.47917,5.53173,4.22162,7.31993,7.72107,9.35346,9.7403,7.17994,8.99296,6.15097,9.61857,3.3787,6.31801,7.26908,6.5495,9.13978,5.05103,5.57285,6.19532,5.20866,9.66711,5.63867,11.2048,5.29267,8.98795,3.98263,19.3977,6.57299,11.7645,8.15519,5.45064,4.95655,4.05967,3.97019,6.19503,12.7865,9.8171,5.54168,7.96347,10.1445,15.2369,9.30878,5.76757,7.25794,10.158,10.7537,9.4606,8.71779,2.86652,6.15539,9.54877,6.90233,24.1434,22.0207,4.27154,4.50159,3.87527,7.73038,6.58301,4.20337,5.9052,4.22765,8.47899,8.70155,6.9002,10.2907,5.81927,9.2648,6.31776,5.91945,10.9842,4.17393,4.21633,4.1792,16.8981,4.17729,8.26383,5.8968,8.20893,5.27498
2,380,6.51289,3.25166,2.53041,21.7462,4.53379,8.73624,8.28733,6.93111,2.8678,9.07667,16.3213,4.70667,6.01892,4.93687,5.40355,6.17278,10.142,7.23385,5.00205,4.58738,4.86327,7.18964,13.1318,14.9175,6.34408,5.30372,3.58723,6.39128,6.77866,5.86754,6.38366,4.38916,6.65724,6.13941,5.76553,3.29333,5.1418,6.92699,6.56664,9.40651,5.0512,3.73299,5.95719,3.32962,6.71489,4.30056,9.53672,5.09755,8.87409,3.84216,13.7152,5.68104,6.2867,5.1596,5.30794,4.47673,3.80362,3.67184,4.5356,5.67757,5.87118,3.89607,5.67375,6.1662,10.0704,5.20317,5.30979,4.64907,9.10219,6.70354,7.31411,5.8567,2.53041,3.554,6.69326,6.27332,21.7462,14.8846,4.1399,4.46474,3.84981,4.64136,5.97,4.19879,5.63804,4.15486,8.30119,8.12758,6.30825,6.58226,3.59147,5.75725,4.86133,5.91255,12.879,4.16248,4.34055,3.34543,17.5348,3.6582,7.21423,5.93224,8.1959,5.27221
3,520,5.9733,2.25342,2.44477,13.6272,4.53173,8.53691,8.13951,6.79556,2.86501,8.8458,11.9248,4.69789,5.99215,4.91652,5.39272,5.71978,7.08287,6.86447,4.71915,3.16806,4.31225,6.41847,8.27936,11.7604,6.16481,5.24998,3.58292,6.37203,6.77381,5.83762,5.78442,4.33035,6.63227,6.141,5.54652,3.17278,5.0921,6.8267,6.59173,9.61913,5.05258,3.67153,5.80279,2.83916,6.3659,4.23719,8.79867,5.00485,8.60548,3.81553,6.05876,5.65533,6.17421,5.06422,5.3436,4.47285,3.82076,3.66914,4.17638,5.59248,5.87508,3.88818,5.58316,5.69548,9.38174,5.01549,5.23675,4.64079,7.76206,6.30083,7.04585,5.55893,2.44477,3.52873,6.67676,6.262,13.6272,11.9282,4.11291,4.44747,3.84236,4.16147,5.83971,4.18781,5.60602,4.14443,8.02592,8.07442,6.21068,6.47875,3.57434,5.60579,4.58577,5.8898,11.5786,4.15934,4.2639,3.31414,13.5614,3.65633,7.14481,5.99005,8.24956,5.26923
4,565,5.95626,2.22493,2.44477,13.6272,4.53173,8.53691,8.13951,6.79556,2.86501,8.8458,11.9248,4.69789,5.99215,4.91652,5.39272,5.71978,7.08287,6.71647,4.71915,3.16806,4.31225,6.08187,8.27936,11.7604,6.16481,5.24998,3.58292,6.37203,6.77381,5.83762,5.78442,4.33035,6.63227,6.141,5.54652,3.17278,5.0921,6.8267,6.59173,9.61913,5.05258,3.67153,5.80279,2.83916,6.3659,4.23719,8.79867,5.00485,8.60548,3.81553,6.05876,5.65533,6.17421,5.06422,5.3436,4.47285,3.82076,3.66914,4.17638,5.59248,5.87508,3.88818,5.58316,5.69548,9.38174,5.01549,5.23675,4.64079,7.76206,6.30083,7.04585,5.55893,2.44477,3.52873,6.67676,6.262,13.6272,11.9282,4.11291,4.44747,3.84435,4.16147,5.83971,4.18781,5.60248,4.14443,8.02592,8.07442,6.21068,6.47875,3.57434,5.60579,4.58577,5.8898,10.361,4.15934,4.2639,3.31414,13.5614,3.65633,7.14481,5.99005,8.24956,5.26923
5,705,5.69963,1.76195,2.44014,12.2831,4.52977,8.49859,8.12888,6.78153,2.86458,8.8416,8.3743,4.6904,5.98412,4.91102,5.39158,5.71678,6.35244,6.50103,4.66525,2.99527,4.27445,5.82732,6.63241,9.6368,6.03649,5.24947,3.58207,6.35534,6.77619,5.83397,5.72863,4.32216,6.62902,6.13942,5.51928,3.11465,5.05683,6.79712,6.64651,9.97085,5.05196,3.66834,5.74081,2.68075,6.21287,4.21837,8.39544,4.9475,8.33751,3.81145,5.9838,5.63963,6.14151,5.03136,5.32942,4.47256,3.77194,3.66884,4.1474,5.58432,5.81438,3.88003,5.57675,5.67796,9.12197,4.98831,5.21819,4.63458,7.07535,6.20086,7.0116,5.63942,2.44014,3.50199,6.67138,6.25913,6.03272,8.26147,4.11083,4.43742,3.84587,4.15514,5.83809,4.18413,5.59912,4.1832,7.64812,8.04712,6.20691,6.39785,3.55805,5.53674,4.58664,5.87505,8.93011,4.15858,4.29639,3.31195,12.2831,3.65568,7.14368,6.11639,8.39255,5.2663
6,845,5.59809,1.65685,2.43686,11.8339,4.52782,8.49163,8.12297,6.77682,2.86426,8.84025,6.16822,4.68373,5.97602,4.90659,5.38813,5.7157,5.92988,6.30806,4.64338,2.95014,4.2474,5.66463,6.30091,7.66206,5.93785,5.24884,3.5813,6.33733,6.78641,5.82991,5.68335,4.31776,6.62561,6.13932,5.49518,3.08736,5.03287,6.77376,6.71225,10.2414,5.05074,3.66629,5.72521,2.59678,6.14291,4.20291,8.19734,4.90384,8.17651,3.811,5.968,5.62749,6.10615,5.00613,5.32526,4.47514,3.73393,3.66863,4.13962,5.58253,5.80835,3.87184,5.5722,5.6759,8.87279,4.98098,5.21773,4.62867,6.77371,6.20365,6.98613,5.66366,2.43686,3.47447,6.66587,6.25781,5.31923,6.52511,4.10891,4.4297,3.84802,4.15266,5.83747,4.1809,5.59583,4.2382,7.26938,8.04343,6.20624,6.31735,3.54168,5.48337,4.58673,5.85807,8.58653,4.15915,4.34138,3.31072,11.8339,3.65511,7.14252,6.23214,8.54668,5.26257
7,985,5.58225,1.66141,2.43401,11.7086,4.52593,8.48392,8.1183,6.77274,2.86399,8.83903,5.85136,4.67773,5.96852,4.90386,5.3847,5.71472,5.67481,6.33054,4.63198,2.92329,4.22349,5.57383,6.24598,6.32432,5.86589,5.24834,3.58064,6.31593,6.81329,5.82574,5.64299,4.31421,6.62219,6.13897,5.4726,3.08158,5.0147,6.78254,6.82555,10.7894,5.04899,3.66438,5.72131,2.54724,6.10446,4.19065,8.13848,4.8701,8.40489,3.81028,5.96758,5.61791,6.072,4.98358,5.31998,4.48225,3.69552,3.66837,4.13559,5.58134,5.78526,3.86404,5.56945,5.67366,8.74418,4.97304,5.21661,4.62319,6.76286,6.32432,6.96591,5.85048,2.43401,3.44972,6.66045,6.25426,5.29441,6.34033,4.10702,4.42364,3.85298,4.15003,5.83703,4.17789,5.59309,4.31627,7.15047,8.07523,6.20567,6.25446,3.52645,5.43913,4.58666,5.84126,8.56346,4.16221,4.50601,3.31014,11.7086,3.65467,7.14138,6.42098,8.78196,5.25949
8,1030,5.58348,1.66164,2.43401,11.7086,4.52471,8.48392,8.1183,6.77274,2.86399,8.8382,5.85136,4.67773,5.96852,4.90386,5.3847,5.71472,5.67481,6.33054,4.63198,2.92329,4.22349,5.57383,6.24598,6.32432,5.86589,5.24834,3.58064,6.31593,6.81329,5.82574,5.64299,4.31421,6.62219,6.13897,5.4726,3.08158,5.0147,6.78254,6.82555,10.7894,5.04899,3.66438,5.72131,2.54724,6.10446,4.19065,8.13848,4.8701,8.40489,3.81028,5.96758,5.61791,6.072,4.98358,5.31998,4.48225,3.69552,3.66837,4.13559,5.58134,5.78526,3.86404,5.56945,5.67366,8.74418,4.97304,5.21661,4.62319,6.76286,6.32432,6.96591,5.97928,2.43401,3.44972,6.66045,6.25085,5.29441,6.34033,4.10702,4.42364,3.85298,4.15003,5.83703,4.17789,5.59309,4.31627,7.15047,8.07523,6.20533,6.25446,3.52645,5.43913,4.58666,5.84126,8.56346,4.16221,4.50601,3.31014,11.7086,3.65467,7.14138,6.42098,8.78196,5.25949
9,1075,5.58471,1.66198,2.43401,11.7086,4.52354,8.48392,8.1183,6.77274,2.86399,8.83741,5.85136,4.67773,5.96852,4.90386,5.3847,5.71472,5.67481,6.33054,4.63198,2.92329,4.22349,5.57383,6.24598,6.32432,5.86589,5.24834,3.58064,6.31593,6.81329,5.82574,5.64299,4.31421,6.62219,6.13897,5.4726,3.08158,5.0147,6.78254,6.82555,10.7894,5.04899,3.66438,5.72131,2.54724,6.10446,4.19065,8.13848,4.8701,8.40489,3.81028,5.96758,5.61791,6.072,4.98358,5.31998,4.48225,3.69552,3.66837,4.13559,5.58134,5.78526,3.86404,5.56945,5.67366,8.74418,4.97304,5.21661,4.62319,6.76286,6.32432,6.96591,6.10673,2.43401,3.44972,6.66045,6.2486,5.29441,6.34033,4.10702,4.42364,3.85298,4.15003,5.83703,4.17789,5.59309,4.31627,7.15047,8.07523,6.20506,6.25446,3.52645,5.43913,4.58666,5.84126,8.56346,4.16221,4.50601,3.31014,11.7086,3.65467,7.14138,6.42098,8.78196,5.25949
