iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,240,0.347682,0.392037,9.68488e-05,1.18394,1.18394,0.0200665,0.0219367,1.08373,0.0993641,0.0608652,0.435256,0.370856,0.0343367,0.884539,0.0217256,0.40305,0.0287512,0.575863,0.0149789,0.585071,0.850819,0.569801,0.0457099,0.0441112,0.0179395,0.00699466,0.169801,0.888116,0.749498,0.956227,0.8381,0.868115,1.00465,0.000726624,0.893567,0.00153683,0.137188,0.0912053,0.00151672,0.0128354,0.0172705,1.01526,0.00275846,0.358433,0.632122,0.146871,0.632623,0.307419,0.0100669,0.00635255,0.0594882,0.0247037,0.876415,0.901501,0.0169647,0.00687564,0.0122821,0.0088008,0.678501,0.0325472,0.777739,1.15974,0.998342,0.770356,0.492401,0.699392,0.0174708,0.955902,0.0134427,0.564756,0.0275218,0.0237898,0.119364,1.11552,0.972448,0.48268,0.0583983,0.0532332,0.196504,0.209012,0.174436,0.68025,0.0754637,0.0734746,0.03293,0.0419723,0.00842808,0.157222,0.00864398,1.03178,1.14129,0.892431,0.0623232,0.022132,0.0193161,9.68488e-05,0.0015702,0.0172572,0.442762,0.00585238,0.0755943,0.177004,0.19717,0.000713859
2,380,0.393977,0.360967,0.000338355,1.11206,1.11206,0.0853168,0.0871945,1.02571,0.197782,0.127518,0.632696,0.377548,0.0557312,0.850985,0.0256503,0.471523,0.205153,0.647019,0.0861437,0.601856,0.784354,0.596876,0.460054,0.420317,0.0367895,0.021516,0.230386,0.958668,0.782685,0.917719,0.763273,0.836287,0.986996,0.000520414,0.833635,0.0116957,0.204201,0.11579,0.00410252,0.0454079,0.0172917,0.994194,0.0187523,0.360822,0.631209,0.223033,0.705972,0.350594,0.0523163,0.0160341,0.523559,0.0595489,0.817853,0.822611,0.0108792,0.0242082,0.00589255,0.0248721,0.711735,0.269615,0.910796,1.06796,0.958863,0.801045,0.656295,0.815784,0.0461225,0.897871,0.117185,0.660393,0.0995645,0.207141,0.151106,0.997312,0.971519,0.458916,0.571053,0.374812,0.186232,0.214816,0.164366,0.743995,0.140555,0.0750624,0.0593423,0.048203,0.0546541,0.191404,0.0379464,0.886679,1.03373,0.796016,0.152971,0.0262477,0.126021,0.000338355,0.0107797,0.0560816,0.762991,0.0276055,0.152717,0.214136,0.227791,0.00111385
3,520,0.442527,0.394815,0.000506014,1.62681,1.09085,0.066586,0.0688129,1.03756,0.202238,0.0932257,0.958899,0.388058,0.0494667,0.817823,0.0236892,0.487675,0.53296,0.661559,0.134169,0.568389,0.697397,0.558728,0.98532,1.02349,0.0741451,0.015378,0.223202,1.05746,0.814354,0.887048,0.669983,0.800053,0.987261,0.00149818,0.762781,0.0319473,0.22344,0.161488,0.0108451,0.107915,0.0208199,0.986578,0.0402497,0.328775,0.582505,0.250234,0.723125,0.410402,0.189548,0.0119602,1.16447,0.065848,0.746204,0.749087,0.0211092,0.0228818,0.0148425,0.0232873,0.709363,0.306137,0.991634,1.0305,0.929244,0.784042,0.675302,0.861985,0.0333608,0.861613,0.324922,0.670384,0.0776865,0.339838,0.176097,0.938313,0.982444,0.440105,1.62681,0.825578,0.176087,0.223224,0.155,0.75274,0.11282,0.0753707,0.050796,0.0573318,0.198078,0.216693,0.0554261,0.785105,0.986148,0.701935,0.112786,0.02782,0.367833,0.000506014,0.0352509,0.0671006,1.21395,0.0267508,0.13098,0.252923,0.254737,0.00229565
4,565,0.445693,0.395575,0.000506014,1.62681,1.09085,0.066586,0.0688129,1.03756,0.202238,0.0932257,0.958899,0.388058,0.0494667,0.817823,0.0236892,0.487675,0.53296,0.719027,0.134169,0.568389,0.697397,0.570549,0.98532,1.02349,0.0741451,0.015378,0.223202,1.05746,0.814354,0.887048,0.669983,0.800053,0.987261,0.00149818,0.762781,0.0319473,0.22344,0.161488,0.0108451,0.107915,0.0208199,0.986578,0.0402497,0.328775,0.582505,0.250234,0.723125,0.410402,0.189548,0.0119602,1.16447,0.065848,0.746204,0.749087,0.0211092,0.0228818,0.0148425,0.0232873,0.709363,0.306137,0.991634,1.0305,0.929244,0.784042,0.675302,0.861985,0.0333608,0.861613,0.324922,0.670384,0.0776865,0.339838,0.176097,0.938313,0.982444,0.440105,1.62681,0.825578,0.176087,0.223224,0.150426,0.75274,0.11282,0.0753707,0.050304,0.0573318,0.198078,0.216693,0.0554261,0.785105,0.986148,0.701935,0.112786,0.02782,0.620268,0.000506014,0.0352509,0.0671006,1.21395,0.0267508,0.13098,0.252923,0.254737,0.00229565
5,705,0.487713,0.454729,0.000974207,2.35938,1.07141,0.0874968,0.0843883,1.01336,0.202493,0.0964606,1.32638,0.397617,0.049495,0.793389,0.0258599,0.491762,0.707639,0.794322,0.15612,0.540219,0.648165,0.588375,1.21676,1.52545,0.117682,0.0163198,0.222278,1.15822,0.84867,0.866194,0.614158,0.779714,0.996895,0.003074,0.716371,0.0486647,0.234995,0.211467,0.0223549,0.210758,0.0272087,0.994718,0.053513,0.311105,0.552339,0.257834,0.779989,0.468168,0.339052,0.0132464,1.22693,0.0702274,0.692113,0.697581,0.0334301,0.02277,0.0257578,0.0239002,0.720368,0.298174,1.06895,0.995614,0.918472,0.775517,0.741664,0.900437,0.0372065,0.831067,0.498131,0.693254,0.088074,0.484233,0.179725,0.881469,0.99893,0.429808,2.35938,1.24881,0.173771,0.23317,0.149807,0.761231,0.111535,0.0772489,0.050771,0.0634421,0.345609,0.242353,0.0540958,0.709128,0.938239,0.635879,0.117153,0.0338571,0.861701,0.000974207,0.0622901,0.069821,1.68097,0.0266203,0.131236,0.312788,0.299633,0.00379134
6,845,0.518479,0.496816,0.0016608,2.57619,1.0527,0.1106,0.101829,0.993359,0.202414,0.0984377,1.54934,0.407035,0.0507974,0.770914,0.0307746,0.496502,0.835241,0.857067,0.170214,0.506531,0.60427,0.600204,1.305,1.94168,0.163189,0.0176357,0.222085,1.26497,0.881953,0.845881,0.565451,0.760438,1.00673,0.00534977,0.673708,0.063981,0.248324,0.267726,0.0410979,0.363599,0.0368306,1.00349,0.0615538,0.2919,0.520287,0.265621,0.827452,0.52925,0.508929,0.0139978,1.21158,0.0757554,0.64243,0.653281,0.052018,0.0237301,0.0416279,0.0245824,0.729071,0.3001,1.15151,0.962813,0.908662,0.767933,0.807052,0.94166,0.0382923,0.80253,0.65454,0.708338,0.102761,0.657191,0.181809,0.829868,1.01551,0.421561,2.57619,1.49839,0.171952,0.242609,0.151641,0.770703,0.112135,0.0789586,0.0524098,0.0704136,0.509271,0.269747,0.0540636,0.645148,0.894184,0.580397,0.122199,0.0412705,0.973079,0.0016608,0.0966546,0.0716588,2.11842,0.0266379,0.13191,0.382276,0.355764,0.00561337
7,985,0.544583,0.529351,0.00265981,2.60139,1.03517,0.137286,0.121596,0.975278,0.202387,0.100646,1.60164,0.41626,0.0532191,0.750454,0.0385161,0.501068,0.929199,0.921643,0.180993,0.476844,0.566449,0.606921,1.34022,2.24475,0.208249,0.0194546,0.22232,1.37618,0.914628,0.826699,0.524826,0.743435,1.01653,0.00826106,0.635816,0.0792672,0.262495,0.330232,0.0696663,0.548338,0.0496812,1.01229,0.0675096,0.275137,0.490884,0.274372,0.865097,0.592171,0.711585,0.0149689,1.21898,0.0818464,0.598753,0.615812,0.0762801,0.0261947,0.0615183,0.0253961,0.737288,0.301632,1.23759,0.932847,0.899476,0.761657,0.874097,0.983313,0.0397239,0.776542,0.811519,0.723792,0.12011,0.84869,0.183638,0.784538,1.032,0.415521,2.60139,1.5752,0.1706,0.251542,0.155364,0.780423,0.114224,0.08073,0.0550518,0.0813924,0.687525,0.299673,0.054101,0.595943,0.854921,0.535878,0.1276,0.0505754,1.00526,0.00265981,0.141849,0.0730879,2.59284,0.0267856,0.132814,0.463849,0.429805,0.00783177
8,1030,0.545991,0.530352,0.00265981,2.60139,1.02396,0.137286,0.121596,0.975278,0.202387,0.102371,1.60164,0.41626,0.0532191,0.750454,0.0385161,0.501068,0.929199,0.921643,0.180993,0.476844,0.566449,0.606921,1.34022,2.24475,0.208249,0.0194546,0.22232,1.37618,0.914628,0.826699,0.524826,0.743435,1.01653,0.00826106,0.635816,0.0792672,0.262495,0.330232,0.0696663,0.548338,0.0496812,1.01229,0.0675096,0.275137,0.490884,0.274372,0.865097,0.592171,0.711585,0.0149689,1.21898,0.0818464,0.598753,0.615812,0.0762801,0.0261947,0.0615183,0.0253961,0.737288,0.301632,1.23759,0.932847,0.899476,0.761657,0.874097,0.983313,0.0397239,0.776542,0.811519,0.723792,0.12011,1.00211,0.183638,0.784538,1.032,0.412214,2.60139,1.5752,0.1706,0.251542,0.155364,0.780423,0.114224,0.08073,0.0550518,0.0813924,0.687525,0.299673,0.0542238,0.595943,0.854921,0.535878,0.1276,0.0505754,1.00526,0.00265981,0.141849,0.0730879,2.59284,0.0267856,0.132814,0.463849,0.429805,0.00783177
9,1075,0.547624,0.532053,0.00265981,2.60139,1.01352,0.137286,0.121596,0.975278,0.202387,0.104219,1.60164,0.41626,0.0532191,0.750454,0.0385161,0.501068,0.929199,0.921643,0.180993,0.476844,0.566449,0.606921,1.34022,2.24475,0.208249,0.0194546,0.22232,1.37618,0.914628,0.826699,0.524826,0.743435,1.01653,0.00826106,0.635816,0.0792672,0.262495,0.330232,0.0696663,0.548338,0.0496812,1.01229,0.0675096,0.275137,0.490884,0.274372,0.865097,0.592171,0.711585,0.0149689,1.21898,0.0818464,0.598753,0.615812,0.0762801,0.0261947,0.0615183,0.0253961,0.737288,0.301632,1.23759,0.932847,0.899476,0.761657,0.874097,0.983313,0.0397239,0.776542,0.811519,0.723792,0.12011,1.17695,0.183638,0.784538,1.032,0.409097,2.60139,1.5752,0.1706,0.251542,0.155364,0.780423,0.114224,0.08073,0.0550518,0.0813924,0.687525,0.299673,0.0544157,0.595943,0.854921,0.535878,0.1276,0.0505754,1.00526,0.00265981,0.141849,0.0730879,2.59284,0.0267856,0.132814,0.463849,0.429805,0.00783177
