real_name,DIN_2009,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015,DIN_2016,DIN_2017,DIN_2018
0,52.184,99.631,43.978,58.126,53.757,21.865,38.508,52.197,14.136,36.368
1,59.057,84.928,53.078,72.943,64.41,24.26,44.064,52.93,15.492,37.413
2,52.922,84.171,46.326,76.893,59.747,24.973,41.779,53.52,15.255,39.037
3,55.485,116.72,55.923,68.307,64.476,24.73,42.713,56.15,13.905,36.559
4,48.713,92.19,45.132,45.491,44.658,19.055,37.896,56.596,14.996,36.659
5,47.139,104.784,42.376,83.977,61.687,21.9,38.894,49.307,14.811,37.098
6,59.073,104.069,50.41,36.41,65.092,20.416,42.085,55.759,15.079,37.982
7,59.531,104.926,49.705,63.6,53.585,24.434,41.594,55.308,14.397,36.614
8,52.565,108.172,41.53,64.42,58.787,24.091,42.981,58.467,14.54,38.195
9,58.411,108.471,45.251,63.785,57.401,21.781,39.173,57.345,15.616,42.385
10,55.509,111.533,45.864,64.454,57.849,21.497,40.36,56.044,15.37,37.686
11,50.984,107.433,47.583,67.207,55.724,26.064,41.772,57.747,14.404,34.429
12,60.183,104.566,44.102,62.307,58.998,24.96,40.521,56.107,14.509,38.023
13,54.038,112.307,55.663,55.681,60.677,23.319,37.272,53.546,13.978,37.731
14,57.647,104.133,54.209,62.375,51.589,27.288,42.571,55.556,15.516,36.162
15,51.765,108.518,40.423,47.458,44.533,23.775,39.859,59.556,14.019,36.87
16,51.954,102.775,41.361,46.007,54.353,21.648,39.482,50.361,14.549,38.736
17,52.838,116.189,43.811,67.833,57.633,21.972,38.262,53.751,14.094,39.622
18,53.503,111.837,41.743,63.178,60.849,21.761,37.57,47.315,15.213,34.047
19,55.353,102.771,45.813,58.325,61.853,22.397,40.974,57.825,13.434,38.964
20,53.434,92.544,51.29,69.515,56.245,22.08,37.778,53.962,14.814,35.881
21,56.642,101.386,44.568,70.962,49.499,23.479,44.106,54.249,15.233,37.786
22,58.236,107.095,50.209,48.528,53.441,20.845,37.944,53.872,14.71,38.781
23,52.207,81.852,49.918,72.955,52.76,21.3,40.172,53.743,16.037,36.732
24,46.006,98.369,49.515,74.876,57.142,24.35,35.948,53.257,15.343,35.999
25,52.695,110.279,42.132,74.631,48.947,26.214,43.547,52.915,13.973,37.447
26,57.265,111.034,44.946,45.347,63.949,23.899,35.539,47.765,14.544,35.991
27,50.364,103.689,50.17,55.685,52.614,22.066,39.25,48.136,16.976,39.02
28,52.687,98.495,45.565,67.567,64.246,20.926,36.576,57.984,16.098,41.858
29,54.43,107.348,46.807,68.76,60.267,21.47,38.853,50.243,14.278,36.957
30,56.466,112.381,45.528,56.208,61.536,20.327,36.749,46.296,14.399,38.815
31,56.534,91.123,44.096,52.203,41.662,23.711,41.017,55.251,14.174,40.434
32,50.432,90.836,46.919,58.5,54.526,25.168,38.657,56.239,13.734,41.516
33,51.579,91.044,48.622,73.824,56.024,23.625,36.499,52.38,15.318,36.896
34,52.492,116.788,46.75,73.039,55.403,23.588,44.33,49.421,14.791,41.138
35,54.915,100.048,50.027,77.015,67.371,23.711,37.189,53.824,13.921,40.059
36,55.042,104.081,47.945,45.64,59.342,19.655,42.315,61.31,15.107,38.95
37,57.309,94.784,51.887,51.771,49.094,20.806,41.713,52.757,14.224,37.028
38,49.168,87.157,50.337,53.677,61.644,23.305,35.19,55.325,14.385,39.425
39,59.449,121.54,42.575,57.48,37.941,21.852,39.422,48.799,14.285,37.789
40,49.044,105.112,45.975,46.778,62.45,22.418,45.318,57.709,15.117,36.696
41,58.822,89.319,46.473,46.978,52.459,19.46,41.498,51.337,15.707,37.44
42,53.621,101.353,45.479,78.607,61.183,23.554,46.819,55.311,16.842,38.39
43,56.355,88.269,50.177,69.876,51.511,21.868,32.882,57.273,15.639,40.912
44,53.682,107.72,46.467,44.354,65.456,21.953,39,55.44,14.444,36.532
45,54.551,105.264,52.5,67.306,45.252,22.549,38.787,49.808,13.574,38.595
46,47.677,116.085,50.796,76,52.515,24.622,38.41,53.599,13.637,37.298
47,57.439,95.657,49.616,54.416,60.167,19.448,44.772,59.338,15.484,38.713
48,57.522,119.923,48.793,57.994,63.819,23.57,43.163,55.167,15.176,39.148
49,52.676,113.274,39.87,62.588,54.062,23.199,37.995,51.083,15.41,37.736
50,55.789,109.675,37.969,53.55,54.848,23.035,46.161,58.788,13.957,37.24
51,54.656,112.994,45.401,68.579,49.991,23.846,38.863,56.302,14.942,40.236
52,48.679,121.297,52.317,52.076,45.963,27.12,39.564,58.288,14.085,38.077
53,55.613,88.53,46.203,47.124,49.028,23.503,38.398,47.672,13.325,36.388
54,50.259,87.699,45.008,49.221,52.868,22.09,37.315,52.06,13.546,36.328
55,53.294,100.922,51.816,56.289,60.512,24.435,40.267,52.283,15.048,39.67
56,52.773,94.152,50.994,80.576,45.087,24.878,40.168,55.121,15.317,36.469
57,67.514,97.175,41.704,45.245,51.085,26.136,37.859,53.15,14.522,40.414
58,51.745,101.154,44.591,66.079,55.636,27.188,37.604,50.845,15.226,39.433
59,46.732,108.022,48.346,67.849,56.774,20.578,39.759,55.935,14.65,36.842
60,48.107,117.268,48.273,75.019,63.959,18.34,44.34,59.098,13.968,36.778
61,57.028,97.156,48.512,70.931,49.228,22.807,42.651,55.772,13.924,37.451
62,55.578,103.624,44.983,72.74,53.694,21.796,38.179,57.665,14.223,36.363
63,48.727,109.811,45.682,63.219,51.615,24.179,38.59,58.17,14.189,35.592
64,56.958,112.006,52.191,71.378,56.134,20.94,43.041,51.643,14.27,39.491
65,52.983,112.252,48.818,68.463,57.644,22.183,42.248,53.952,14.83,34.697
66,57.725,101.976,57.918,73.87,62.32,20.211,41.915,50.161,14.909,37.985
67,62.73,96.893,42.766,57.931,49.192,22.896,35.993,51.298,14.715,39.836
68,45.614,100.648,52.404,41.879,41.138,21.072,36.072,52.129,15.602,38.715
69,58.071,111.481,46.383,49.083,50.115,24.927,38.144,51.952,14.183,39.207
70,55.881,102.97,49.498,70.944,62.766,21.248,40.535,53.37,14.602,39.487
71,49.73,105.01,45.689,55.742,63.799,22.61,41.949,54.524,12.717,36.081
72,53.656,119.175,49.229,45.07,59.9,23.226,37.513,51.046,14.8,35.541
73,53.335,122.403,44.168,68.515,57.812,22.272,44.56,56.933,15.562,36.019
74,51.385,110.058,49.21,50.842,54.141,23.334,41.359,61.35,14.765,40.55
75,55.781,102.961,43.149,63.315,52.325,21.369,39.726,57.627,15.053,38.16
76,48.918,118.091,41.753,55.325,52.234,21.357,37.039,58.599,13.244,37.676
77,64.362,98.149,47.125,59.18,50.463,25.506,38.728,49.127,15.636,35.792
78,54.73,91.836,46.742,44.892,63.17,22.539,39.074,52.914,13.919,37.085
79,54.867,113.258,51.401,47.016,54.189,25.24,41.338,51.81,14.033,36.557
80,49.088,100.71,46.318,55.034,57.926,21.359,45.181,62.213,15.419,38.466
81,50.073,96.917,42.483,46.883,49.863,25.086,42.366,58.535,16.223,39.002
82,53.308,95.932,42.373,41.072,63.452,24.003,36.327,56.7,15.621,36.836
83,53.187,101.01,45.063,78.686,63.372,23.294,39.249,55.79,14.787,38.912
84,54.761,113.793,42.803,69.266,60.313,21.67,42.154,55.326,15.959,38.34
85,56.144,117.116,44.594,41.513,67.318,22.923,39.511,56.772,14.201,36.809
86,59.963,109.909,47.548,49.282,51.466,25.22,38.089,54.593,12.563,38.322
87,51.632,115.878,48.18,47.347,60.266,21.408,43.244,51.218,14.877,37.074
88,52.06,89.745,42.561,69.963,44.768,22.408,39.696,58.849,16.434,42.887
89,54.321,113.955,46.347,59.194,62.24,25.507,40.303,58.915,14.246,38.446
90,49.519,115.59,47.157,81.638,65.579,19.314,37.785,51.461,16.31,39.122
91,51.907,96.916,50.074,62.707,48.797,22.89,41.338,58.698,14.904,38.224
92,51.754,116.702,49.889,64.307,47.106,24.256,39.818,58.067,13.984,36.821
93,57.08,110.818,46.98,46.111,48.496,22.109,43.854,56.605,12.83,35.259
94,52.772,106.151,38.519,73.57,51.321,19.794,41.533,55.43,15.21,37.919
95,54.529,102.496,48.085,50.305,51.728,20.047,40.939,55.229,14.906,37.058
96,42.281,99.62,46.538,61.005,64.333,21.881,42.244,59.375,13.581,38.495
97,48.397,100.796,49.181,76.4,47.098,20.732,41.377,54.877,15.333,42.036
98,62.753,95.379,45.132,65.32,68.509,24.437,40.526,54.935,14.513,41.195
99,47.788,102.941,53.392,67.173,55.735,24.479,36.427,62.015,13.624,39.292
