real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022
0,61.0412,108.301,47.2302,41.9409,17.7079,11.1629,20.9326,58.334,12.2303,41.1234,34.4309,16.2846,10.6375,29.7686
1,62.6362,102.955,52.1436,46.0241,17.2424,9.80674,19.9125,59.6466,10.431,39.8709,35.2055,14.0087,9.50807,30.439
2,61.4976,100.535,51.3421,45.4205,16.9964,9.58005,19.5354,58.4498,10.2926,39.2373,34.7421,13.8004,9.42349,29.9692
3,61.433,102.221,50.3142,44.5955,17.2383,10.0426,19.8672,58.4599,10.7234,39.6189,34.7553,14.4086,9.71654,29.8799
4,61.186,104.479,49.1004,43.4532,17.2309,10.3268,20.2007,58.3244,11.2252,40.1388,34.43,15.0132,9.98681,29.7886
5,61.387,100.243,51.1758,45.3351,17.0986,9.64693,19.5974,58.232,10.3564,39.2053,34.7185,13.9544,9.49862,29.9883
6,48.2313,85.9183,35.8648,32.6592,14.53,9.2304,16.9433,45.7998,11.0497,34.6064,28.7439,14.3365,9.70827,23.7958
7,66.8628,113.792,54.434,47.9127,18.7065,11.105,21.9255,63.7428,11.7097,42.953,37.0466,15.8256,10.406,32.505
8,65.3216,114.556,51.665,45.6514,18.6875,11.659,22.0275,62.4968,12.3782,43.0307,36.4674,16.5445,10.7994,31.7591
9,73.8348,124.191,61.3878,53.4568,20.2955,11.4985,24.1349,69.913,12.1087,46.2547,39.6044,16.8736,10.7954,36.2384
10,55.6881,91.0428,45.8383,40.917,15.6052,8.87308,17.7931,52.8848,9.86747,36.3912,32.2065,13.0411,9.0621,27.1736
11,58.1176,101.599,45.3342,40.3545,16.8006,10.357,19.7876,55.3485,11.5992,39.2609,33.0254,15.422,10.1917,28.4865
12,47.6919,85.6811,34.9027,31.8647,14.4652,9.4678,16.7865,45.607,11.0676,34.3722,28.6702,14.2907,9.69029,23.3233
13,55.5258,98.2552,42.3744,38.0879,16.2025,10.661,18.7346,53.6167,11.3819,37.9266,32.5232,14.7263,9.96811,26.6001
14,57.8011,99.496,45.74,40.9122,16.7139,10.2969,19.2943,55.191,11.2413,38.6891,33.3387,14.7832,9.98066,28.1373
15,61.9139,105.85,49.7971,44.1303,17.5893,10.5223,20.522,58.981,11.4423,40.6343,34.8984,15.2824,10.1641,30.2302
16,69.78,120.85,56.3014,49.2564,19.5176,11.6718,23.3371,66.3987,12.4701,45.0201,37.9242,17.0261,10.9158,34.153
17,55.6669,97.4647,42.8121,38.4165,16.3331,10.2908,18.9342,53.2346,11.3611,37.9218,32.2849,14.9828,10.024,27.0419
18,56.5645,93.8658,46.1274,41.2726,16.1971,9.37516,18.4685,53.6204,10.453,37.3147,32.7118,13.841,9.50013,27.7733
19,43.1558,72.9122,32.9726,30.3283,12.7586,7.81111,14.4154,41.0214,9.44728,30.8058,26.6849,12.0265,8.58553,21.1046
20,66.7365,127.757,48.1335,42.4652,19.9154,13.8035,24.339,64.3712,14.8526,46.2942,36.7653,19.8508,12.3408,32.3567
21,68.4212,111.712,57.8478,50.642,18.4605,10.3051,21.4994,65.0987,10.6341,42.4832,37.6044,14.5324,9.71721,33.1857
22,61.9567,105.706,49.7436,43.9584,17.4053,10.4287,20.3949,59.1424,11.2324,40.453,34.781,15.0611,9.99401,30.0897
23,64.464,108.765,52.5473,46.3264,18.1528,10.4625,21.2609,61.0742,11.4203,41.6303,35.7587,15.5703,10.2261,31.6377
24,59.9891,100.264,48.6003,43.1918,16.8083,10.094,19.2397,57.4989,10.5044,38.7894,34.3453,13.9531,9.51349,28.7869
25,64.8891,111.323,52.235,46.0855,18.2344,11.0435,21.373,62.0273,11.6626,42.1043,36.227,15.636,10.3213,31.4418
26,68.0212,116.167,55.4004,48.5212,18.8603,11.0754,22.432,64.6792,11.8695,43.6711,37.1637,16.1799,10.5006,33.239
27,66.8639,113.292,54.6047,48.0848,18.9267,10.9768,22.164,63.3572,11.8418,43.0317,36.9146,16.1852,10.5572,32.8725
28,65.5283,110.566,53.648,47.3112,18.3027,10.7988,21.3193,62.4709,11.3753,42.0412,36.5478,15.311,10.1759,31.8363
29,65.4858,106.946,55.3451,48.5944,17.9913,9.65057,21.0922,61.555,10.791,41.4458,35.9363,14.8465,9.84877,32.4684
30,62.1616,105.716,50.2039,44.4689,17.5622,10.5178,20.4176,59.3497,11.2704,40.5493,35.0906,15.0304,10.0448,30.2218
31,61.8272,108.177,48.4707,43.1553,17.81,11.3427,20.6471,59.488,11.8552,40.9927,35.3165,15.6142,10.4063,29.7108
32,58.7739,104.069,45.3393,40.4545,17.2772,10.7959,20.3132,55.9628,12.089,40.0014,33.4464,16.0767,10.5491,28.862
33,62.4512,115.384,46.4937,41.4416,18.4962,12.6094,21.9006,60.3768,13.3062,42.8235,35.5181,17.4466,11.3092,30.0149
34,60.18,107.658,45.9571,40.8821,17.2887,11.4245,20.3426,58.1973,11.9896,40.5458,34.3755,15.6916,10.3865,28.7303
35,55.012,98.5272,41.275,37.1247,16.3516,10.5957,19.0889,52.705,11.7811,38.1101,31.9723,15.4865,10.271,26.6991
36,63.1723,102.704,53.0545,46.6867,17.3616,9.41146,20.1988,59.6009,10.3814,40.0245,35.0293,14.2463,9.53422,31.0942
37,68.5071,115.34,56.5304,49.6224,18.9367,11.1247,22.1644,65.3784,11.5259,43.4478,37.798,15.6012,10.2969,33.2548
38,61.8358,101.701,51.3624,45.6358,17.3212,10.0817,19.6475,59.0551,10.5005,39.5194,35.3508,13.9213,9.57951,29.9302
39,55.5028,98.6007,42.1936,38.0947,16.4957,10.8831,18.8931,53.5759,11.629,38.1105,32.7551,15.0197,10.1729,26.6607
40,59.1417,100.116,47.5467,42.3346,16.6864,10.2291,19.1487,56.8431,10.7323,38.7233,34.0499,14.0701,9.61541,28.4225
41,61.2393,105.479,48.7661,43.1484,17.4411,10.3966,20.5957,58.1016,11.5842,40.5305,34.2492,15.6196,10.2516,30.0883
42,62.3921,110.883,48.1875,42.7416,18.144,11.4114,21.4814,59.5077,12.4623,41.8897,34.9788,16.732,10.837,30.4396
43,63.0301,114.832,47.7935,42.3706,18.4635,12.0614,22.0748,60.4163,13.1201,42.9104,35.3005,17.4417,11.2192,30.7117
44,47.1352,77.8335,37.2927,33.9894,13.5519,8.27176,15.079,45.2022,9.23995,32.1867,28.8325,11.7351,8.49768,22.6263
45,61.4221,100.404,51.3178,45.4331,17.0823,9.52098,19.6399,58.1784,10.3999,39.3031,34.6581,13.9936,9.51961,30.1015
46,60.9691,103.547,49.2555,43.4799,17.1222,9.92469,20.2406,57.7458,11.1801,40.0344,33.99,15.0935,9.96529,30.0242
47,70.1796,123.417,55.8883,48.8383,19.731,11.9667,23.8119,66.7836,12.9212,45.7012,37.949,17.6545,11.2015,34.3941
48,67.1013,114.605,54.5076,47.9943,18.7807,11.3054,21.9554,64.2136,11.7616,43.1111,37.3125,15.793,10.4211,32.4795
49,70.1047,118.362,57.7202,50.4466,19.394,11.0722,23.0258,66.3724,11.8627,44.4662,37.9755,16.4148,10.5772,34.3921
50,65.5206,106.871,55.325,48.7552,18.2733,9.913,21.1688,61.6077,10.914,41.4903,36.2552,14.9975,9.9837,32.4832
51,64.7884,113.382,50.9292,44.9591,18.349,11.5946,21.5656,62.3488,12.003,42.41,36.2916,16.0324,10.5033,31.0835
52,61.3755,101.694,50.8058,45.0317,17.3047,9.75765,20.0308,57.9521,10.8577,39.7627,34.5475,14.6311,9.8393,30.3121
53,61.0755,102.184,50.059,44.2754,17.172,9.8083,20.0537,57.8027,10.9437,39.7754,34.2528,14.7499,9.84831,30.116
54,64.6406,115.108,50.1251,44.3929,18.7823,11.9555,22.1627,61.9091,12.739,43.0898,36.1959,17.0437,11.0345,31.4053
55,67.5214,109.799,57.2078,50.1777,18.5659,10.0244,21.6089,63.6563,10.829,42.2469,37.0154,14.9936,9.92061,33.3023
56,66.3618,111.055,54.9845,48.1487,18.2957,10.2413,21.7114,62.7213,11.3245,42.4156,36.2277,15.5262,10.1446,32.7643
57,67.491,114.336,55.0319,48.4479,18.9181,11.2815,22.0182,64.4886,11.6419,43.0783,37.4877,15.7713,10.3844,32.6889
58,69.4767,117.974,57.0182,50.0888,19.3638,11.5217,22.6569,66.3412,11.8972,44.2157,38.3379,16.0804,10.5643,33.7247
59,65.98,110.048,54.8363,48.2002,18.3918,10.2667,21.6394,62.2021,11.3806,42.259,36.2565,15.5753,10.2336,32.6773
60,57.0729,98.1704,44.8471,40.0827,16.5057,10.1347,19.1224,54.4119,11.1237,38.247,32.8267,14.7682,9.90175,27.7904
61,70.4082,119.789,57.8144,50.5105,19.4335,11.3378,23.0886,67.0305,11.9863,44.7735,38.2679,16.3809,10.604,34.3898
62,63.2144,105.329,52.0461,45.966,17.779,10.0982,20.714,59.7353,11.0874,40.7489,35.2318,15.1017,10.0144,31.1427
63,68.9318,114.481,57.4222,50.2653,18.9444,10.6366,22.2744,65.2706,11.3054,43.3715,37.5979,15.6154,10.207,33.7393
64,52.3401,86.1277,42.2299,38.0064,14.7588,8.8427,16.6016,50.1607,9.54946,34.6532,31.0557,12.3621,8.77289,25.108
65,59.9832,101.58,48.1443,42.9277,17.0242,10.4656,19.4455,57.5869,10.8701,39.1587,34.5472,14.3176,9.75943,28.7606
66,61.424,105.489,49.0363,43.6862,17.7672,10.8379,20.5089,58.5635,11.636,40.5451,34.9923,15.4894,10.3326,29.9498
67,54.2515,96.7686,40.8525,36.8182,16.2235,10.3588,18.9379,51.6743,11.7506,37.7502,31.5475,15.5002,10.2804,26.5561
68,65.5099,113.562,52.5175,46.2656,18.671,11.0937,22.182,62.0565,12.2847,43.0304,36.1036,16.6643,10.7823,32.3399
