real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
0,35.0777,8.35792,40.058,56.4731,22.407,44.5405,33.0611,61.5766,38.7742,58.8538
1,4.99347,0.951911,66.9564,5.14195,48.5873,0.949088,5.75483,100,0.00202036,2.58774
2,0.562023,0.00183366,65.8896,37.9664,48.7394,8.15002,3.48711,100,15.8364,14.9748
3,100,2.37073,24.0808,12.5067,39.9297,76.031,86.5177,35.967,88.8433,100
4,62.1371,4.35557,48.7304,4.73519,38.4353,0.0497721,16.8082,100,81.7016,5.95828
5,0.0418384,0.285368,40.6171,0.0158286,33.7758,100,65.7943,100,93.2791,0.226181
6,40.6414,8.25661,62.1849,100,0.0892832,0.265078,0.566804,29.2214,100,61.9448
7,9.04436e-05,3.84927,52.2243,97.9749,50.4596,0.008156,30.2187,0.787918,81.5108,95.2595
8,100,14.2484,33.9482,48.6448,47.9317,100,0.0118674,100,100,1.14699
9,0.0027836,4.97287,60.2195,2.80451,3.5056,94.7097,100,9.22626,100,4.04693
10,88.5018,0.0197643,53.1389,65.1417,42.1159,4.43569,7.35414,17.5799,18.4885,45.2655
11,74.9684,7.20957,43.9499,0.0325379,11.7217,96.9977,27.0937,75.6558,43.789,0.110949
12,0.00177122,7.77683,25.5644,0.14807,3.93104,100,51.1131,57.1692,10.7372,7.54787
13,0.379269,11.4433,4.38648,0.175219,49.1454,100,3.13786,57.2762,100,6.62078
14,78.1229,4.02418,43.766,100,48.0919,100,0.0641407,9.02479,100,13.5201
15,23.9316,4.63475,60.8793,96.4503,36.7422,23.304,1.78078,56.7301,15.4702,55.1598
16,2.00418,10.181,57.1215,2.13077,19.038,100,24.4438,3.59986,100,100
17,5.40328,9.36556,5.9683,39.4564,17.0826,37.0891,100,71.5921,9.17773,100
18,0.224283,2.33526,66.1579,100,23.7495,100,23.0775,38.6802,54.8772,14.7863
19,26.4096,3.19026,79.8602,85.1064,13.1248,1.2398,4.42315,30.0736,100,0.0977314
20,29.0812,19.6716,14.4158,3.25781,2.0482,100,80.6674,17.57,8.09834,100
21,4.23398,0.106804,67.4621,3.56194,52.3657,2.01949,25.2799,2.18496,100,4.22485
22,74.5446,4.01223,47.9813,0.00591986,35.0121,3.8675,48.9167,37.9232,1.59925,0.513293
23,1.15234,4.36369,47.4165,83.1882,0.257891,0.400342,100,1.41751,0.373928,100
24,75.4448,2.38328,0.00238359,0.606283,56.9141,0.817061,100,23.9071,60.843,0.067134
25,8.22571,7.93081,40.2536,83.8698,51.2144,8.56355,18.6473,0.276467,84.3681,0.339867
26,18.7072,6.7807,64.026,11.8802,27.0166,0.250914,12.169,71.1681,100,0.417717
27,1.66847,5.51532,47.779,74.8494,0.522055,91.4556,100,78.7811,2.87306,15.32
28,18.4896,4.19253,50.2792,86.8261,53.5625,10.3111,14.7956,75.1613,100,4.03141
29,30.8489,0.0912489,93.8586,100,2.19693,8.87663,0.611383,2.33521,100,100
