iteration,total_runs,obs_realization,par_realization,din,all_params
0,100,0,0,19.7304,0
0,100,1,1,14.5909,0
0,100,2,2,14.3794,0
0,100,3,3,484.15,0
0,100,4,4,36.8163,0
0,100,5,5,30.7019,0
0,100,6,6,175.506,0
0,100,7,7,166.427,0
0,100,8,8,19.6439,0
0,100,9,9,381.513,0
0,100,10,10,15.2978,0
0,100,11,11,170.602,0
0,100,12,12,13.069,0
0,100,13,13,245.407,0
0,100,14,14,8.81093,0
0,100,15,15,243.217,0
0,100,16,16,343.886,0
0,100,17,17,248.966,0
0,100,18,18,22.4699,0
0,100,19,19,20.7734,0
0,100,20,20,6.89375,0
0,100,21,21,10.1576,0
0,100,22,22,75.0675,0
0,100,23,23,329.84,0
0,100,24,24,295.305,0
0,100,25,25,408.223,0
0,100,26,26,352.416,0
0,100,27,27,354.53,0
0,100,28,28,414.113,0
0,100,29,29,6.9527,0
0,100,30,30,380.648,0
0,100,31,31,7.76416,0
0,100,32,32,57.4954,0
0,100,33,33,33.6073,0
0,100,34,34,7.71908,0
0,100,35,35,7.01373,0
0,100,36,36,10.8831,0
0,100,37,37,406.603,0
0,100,38,38,8.33642,0
0,100,39,39,165.113,0
0,100,40,40,261.312,0
0,100,41,41,58.9532,0
0,100,42,42,256.888,0
0,100,43,43,122.933,0
0,100,44,44,9.70188,0
0,100,45,45,9.94606,0
0,100,46,46,21.29,0
0,100,47,47,17.0117,0
0,100,48,48,394.819,0
0,100,49,49,383.939,0
0,100,50,50,9.26506,0
0,100,51,51,11.8586,0
0,100,52,52,9.30987,0
0,100,53,53,7.79893,0
0,100,54,54,248.451,0
0,100,55,55,17.5306,0
0,100,56,56,302.542,0
0,100,57,57,471.335,0
0,100,58,58,408.752,0
0,100,59,59,322.557,0
0,100,60,60,213.555,0
0,100,61,61,277.03,0
0,100,62,62,14.9864,0
0,100,63,63,404.268,0
0,100,64,64,9.28221,0
0,100,65,65,238.949,0
0,100,66,66,21.1533,0
0,100,67,67,14.7534,0
0,100,68,68,50.0852,0
0,100,69,69,472.64,0
0,100,70,70,408.362,0
