real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022,NSE,NSE,NSE_without_2012,,,,NSE_outlet_only,NSE_110_base
0,61.3302,107.621,48.0154,42.6106,17.7137,10.9612,20.8738,58.4789,12.0368,41.0263,34.5445,16.0759,10.5341,29.983,0.537142725,0.31973072,0.5555378957643757,,,,0.537142725,0.31973072
1,62.8204,103.957,52.0695,45.9051,17.3545,9.83526,20.2027,59.6585,10.6635,40.2118,35.0979,14.3929,9.66651,30.7014,0.6779056203078727,0.6667334033247297,0.6905227585811676,,,,0.67790562,0.666733403
2,61.4583,100.437,51.3649,45.4248,17.0181,9.4915,19.6169,58.2495,10.3495,39.285,34.6169,13.9305,9.47337,30.0957,0.48497444016169167,0.40844357497937245,0.4881536630014117,,,,0.48497444,0.408443575
3,61.3849,102.285,50.2122,44.515,17.2728,10.055,19.9238,58.3582,10.7886,39.6625,34.7086,14.5151,9.76639,29.9124,0.407610623,0.40662700121606354,0.4164890895393297,,,,0.407610623,0.406627001
4,61.5022,104.158,49.7785,44.0038,17.2416,10.1526,20.2056,58.4956,11.0912,40.1276,34.5016,14.8937,9.9155,30.0257,0.4145400497353905,0.3634670029487772,0.4298375156558668,,,,0.41454005,0.363467003
5,60.642,99.1924,50.4292,44.6926,16.9413,9.50795,19.4837,57.3831,10.3841,38.9369,34.269,14.021,9.51328,29.7495,0.5056030628497923,0.4799206020651283,0.5073134590185486,,,,0.505603063,0.479920602
6,61.57,107.902,48.4414,42.8739,17.6932,10.7129,21.0601,58.3786,12.0902,41.2328,34.3337,16.2532,10.5769,30.3578,0.5855876429244393,0.5386083321352558,0.600546986,,,,0.585587643,0.538608332
7,67.3927,113.057,55.6434,48.9267,18.7258,10.8256,21.8731,64.0748,11.4362,42.8715,37.2432,15.5355,10.257,32.857,0.48742151304451387,0.477098879,0.5518320180173213,,,,0.487421513,0.477098879
8,68.7314,130.707,50.3078,44.3747,20.3672,14.1602,24.7325,66.4717,14.9033,47.1686,37.9414,19.8009,12.3978,33.1534,0.7564175133408978,0.7060963880990205,0.7604815321126547,,,,0.756417513,0.706096388
9,73.2703,124.444,60.3496,52.6076,20.2827,11.6907,24.1591,69.4588,12.3362,46.2617,39.3911,17.1238,10.9287,35.9429,0.5678810756441115,0.5614392675155413,0.5893973275197637,,,,0.567881076,0.561439268
10,55.76,91.1514,45.9428,41.0065,15.6636,8.8406,17.8863,52.8399,9.92849,36.4829,32.1846,13.1589,9.11567,27.3104,0.057517226386916254,0.044828792,0.055587548,,,,0.057517226,0.044828792
11,58.1317,101.8,45.2731,40.3103,16.8383,10.402,19.8361,55.3586,11.6549,39.3217,33.0373,15.4966,10.2308,28.5065,0.4965273972948645,0.48011713719879556,0.4970504992127085,,,,0.496527397,0.480117137
12,56.0084,97.4977,43.5642,38.929,16.2912,10.0039,19.0757,53.2874,11.3238,38.0768,32.131,15.0182,9.99609,27.489,0.10685009669148127,0.070853114,0.11245300509939049,,,,0.106850097,0.070853114
13,56.0964,106.645,39.8296,35.7598,16.9699,11.8534,20.4129,54.1143,13.2022,40.1718,32.2681,17.2316,11.1214,27.1979,0.5586963543248357,0.5896861968009908,0.6094736909252937,,,,0.558696354,0.589686197
14,60.7045,102.354,49.3447,43.8409,17.2438,10.1525,19.9554,57.6739,11.0887,39.7306,34.4365,14.7875,9.94496,29.7231,0.1815293452031449,0.059184655,0.1903078562779802,,,,0.181529345,0.059184655
15,62.3551,106.268,50.3736,44.6133,17.7082,10.4881,20.6657,59.2924,11.4585,40.8283,35.0541,15.3505,10.1946,30.5321,0.4444868206196757,0.4039498708051543,0.4625991285768558,,,,0.444486821,0.403949871
16,69.146,125.028,53.4389,46.8451,19.8101,12.645,23.9799,66.1491,13.5549,45.9304,37.6663,18.3361,11.5695,33.7249,0.5951490249046993,0.5609313674220724,0.5966333549589506,,,,0.595149025,0.560931367
17,59.0214,106.366,44.5394,39.7857,17.4627,11.3403,20.5565,56.5646,12.4027,40.4215,33.7003,16.4412,10.7332,28.6767,0.5490848681024882,0.5057379286534075,0.5502628385217627,,,,0.549084868,0.505737929
18,63.819,107.563,52.2424,46.1838,18.0704,10.4522,21.0631,60.4408,11.4391,41.3801,35.6384,15.4601,10.2398,31.4174,0.5799580099077011,0.4776589736348621,0.5799659571707836,,,,0.57995801,0.477658974
19,64.8522,108.308,53.6547,47.1875,18.0115,10.1276,21.1971,61.258,11.2014,41.6257,35.7611,15.2749,10.0752,31.9738,0.4838408608268444,0.16360405557069746,0.5005110906123691,,,,0.483840861,0.163604056
20,66.7503,127.383,48.3026,42.6154,19.8967,13.7385,24.282,64.3603,14.771,46.2062,36.7824,19.7539,12.2938,32.3663,0.6354021071591678,0.6103559637120901,0.6445261054474606,,,,0.635402107,0.610355964
21,68.5754,111.944,58.0778,50.7611,18.5065,10.1323,21.7134,64.9502,10.7331,42.6732,37.4055,14.7873,9.79825,33.5242,0.5778808786703297,0.5676245240838216,0.6122981255968811,,,,0.577880879,0.567624524
22,62.9407,105.666,51.395,45.3172,17.5078,10.1772,20.4678,59.9025,10.9688,40.5743,35.1453,14.8102,9.85495,30.6593,0.3815756555284868,0.3783461386508884,0.3840622761837311,,,,0.381575656,0.378346139
23,64.2526,108.906,52.1423,46.0118,18.1747,10.5564,21.2853,60.8984,11.531,41.6544,35.7019,15.6932,10.2972,31.532,0.44242859655960853,0.4427890492334886,0.46040757466132387,,,,0.442428597,0.442789049
