real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018
1,63.8735,106.885,52.2796,46.126,17.7513,10.3969,20.6271,60.8869,10.9469,40.8932
2,64.7616,106.39,54.1684,47.6799,17.7428,10.0537,20.5388,61.6805,10.5734,40.8982
3,65.0914,106.419,54.726,48.1964,17.8539,10.0327,20.5951,61.916,10.5461,40.9846
4,65.1383,108.943,53.5166,47.2392,18.2205,10.6787,21.0853,62.0692,11.1557,41.5908
5,64.3733,111.135,51.4653,45.3765,18.1101,11.0263,21.3606,61.5106,11.7541,42.0154
6,64.4051,105.17,53.9982,47.6585,17.8245,10.0476,20.4736,61.1677,10.5595,40.6559
7,65.3108,111.381,53.1373,46.7406,18.3743,10.5973,21.801,61.7104,11.8165,42.4754
8,64.8261,111.838,51.9065,45.8423,18.3462,11.1656,21.5206,61.9175,11.8575,42.2711
9,64.7268,108.965,53.1,46.9086,18.1761,10.6913,21.1068,61.6325,11.3409,41.658
10,65.677,110.121,53.9755,47.4576,18.3291,10.4782,21.5327,62.164,11.3549,42.0699
11,64.8327,105.993,54.4612,47.9726,17.7753,9.98624,20.5057,61.6645,10.5123,40.8423
12,64.7788,112.12,51.7843,45.6326,18.3709,11.0712,21.7483,61.6565,12.0185,42.4464
13,60.3402,106.149,46.9058,41.6718,17.5038,10.9043,20.62,57.5704,11.9852,40.5468
14,49.8527,85.6115,38.5128,34.9583,14.5981,9.2324,16.5963,47.81,10.3048,34.4354
15,62.9332,110.067,49.6416,44.0686,18.1083,11.3479,21.1651,60.2628,12.0732,41.6987
16,65.0199,111.453,52.4904,46.3634,18.3981,11.0718,21.499,62.0632,11.7743,42.2558
17,65.0251,109.897,53.1815,46.7714,18.1202,10.5144,21.3688,61.7038,11.422,41.9294
18,59.4965,100.854,47.6991,42.5043,17.0667,10.2332,19.6355,56.7052,11.0573,39.148
19,64.6893,106.704,53.9855,47.7236,18.1079,10.2971,20.8074,61.4074,10.9383,41.1696
20,59.9778,100.804,48.7919,43.2569,16.8892,9.78234,19.6956,56.841,10.8885,39.2696
21,61.9211,110.303,47.6838,42.2613,17.9994,11.3698,21.3611,59.1507,12.4343,41.6831
22,64.3092,105.014,53.9548,47.4686,17.4855,9.83822,20.2575,61.1963,10.3372,40.4716
23,64.5532,112.366,51.1118,45.0619,18.2352,11.2735,21.5242,61.8528,11.9256,42.2588
24,65.4754,110.287,53.5663,47.165,18.3928,10.5532,21.555,62.0134,11.4766,42.105
25,62.5596,106.17,50.2956,44.5495,17.56,10.732,20.2867,60.0582,11.0612,40.4492
26,64.2203,108.218,52.4677,46.3334,17.921,10.6166,20.8159,61.3224,11.1686,41.2869
27,65.048,109.925,53.1783,46.7524,18.0511,10.5004,21.2887,61.8086,11.3462,41.8754
28,65.3534,110.272,53.4221,47.1596,18.5662,10.7328,21.634,61.8848,11.6402,42.1793
29,64.9765,109.613,53.144,46.931,18.1905,10.7758,21.124,61.9895,11.3254,41.7505
30,65.8026,107.452,55.6505,48.8434,18.0653,9.68399,21.1864,61.8546,10.8118,41.5989
31,64.9069,109.473,53.1061,46.8886,18.1818,10.7668,21.0949,61.9887,11.3102,41.707
32,60.5646,102.726,48.7615,43.4537,17.2591,10.5121,19.7637,58.0076,11.0645,39.6132
33,64.8277,113.185,51.3813,45.4001,18.6782,11.3446,22.0472,61.6328,12.3863,42.8026
34,59.0671,106.017,44.9464,40.246,17.3763,11.4706,20.2568,56.9193,12.2248,40.2589
35,57.5628,102.916,43.6974,39.0399,16.6423,11.0032,19.5136,55.6252,11.7209,39.1795
36,54.7524,98.732,40.7881,36.7496,16.3895,10.7055,19.1392,52.4648,11.939,38.1647
37,65.6194,106.652,55.3616,48.5764,17.9567,9.6992,20.9379,61.9208,10.5561,41.2109
38,64.2627,108.465,52.4913,46.3554,17.9728,10.6906,20.8998,61.3593,11.25,41.3916
39,64.1292,105.397,53.5704,47.424,17.8618,10.3001,20.3622,61.1795,10.6731,40.6535
40,56.517,98.2907,44.0032,39.6173,16.6103,10.6155,18.9178,54.3679,11.3095,38.1718
41,63.19,107.699,50.9869,45.1154,17.7442,10.8466,20.5787,60.6735,11.2734,40.9757
42,64.494,113.383,50.6996,44.6977,18.4505,11.311,21.9965,61.3725,12.3893,42.7304
43,63.7024,107.83,51.6922,45.6973,18.0505,10.5322,21.071,60.3716,11.4621,41.3399
44,64.8988,112.719,51.7955,45.7317,18.4888,11.278,21.8018,61.8737,12.1394,42.6114
45,49.1419,80.8455,39.3763,35.629,14.0231,8.27437,15.8114,46.8054,9.42199,33.2256
46,64.9981,106.243,54.709,48.1977,17.9277,9.92879,20.7181,61.578,10.6599,41.0567
47,65.55,111.071,53.5709,47.0114,18.2399,10.4717,21.6495,62.0857,11.5441,42.3047
48,64.8106,112.758,51.6146,45.3943,18.3054,11.0002,21.8715,61.5886,12.1132,42.6142
49,64.7881,109.483,52.8943,46.7326,18.1526,10.8217,21.0321,61.9573,11.3122,41.6612
50,65.7701,110.246,54.0572,47.4915,18.292,10.3966,21.5397,62.2091,11.3214,42.0916
51,65.4249,106.724,55.2424,48.6852,18.2469,9.89642,21.1421,61.513,10.9094,41.4488
52,62.2172,108.439,48.8351,43.2566,17.6721,11.134,20.6793,59.8368,11.6592,40.9849
53,65.0223,107.766,54.2075,47.8031,18.1751,10.2,21.1453,61.4324,11.1449,41.5743
54,65.7733,109.732,54.5671,47.9464,18.2724,10.3058,21.4627,62.2384,11.264,42.0568
55,65.7288,111.862,53.2988,47.1016,18.643,11.1662,21.6366,62.7067,11.7141,42.4129
