real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
0,48.1473,3.28441,23.1033,14.8059,48.3082,0.026394,88.0457,26.0847,99.5403,2.60393
1,5.30058,0.678803,69.1622,5.03058,58.9004,0.957395,5.71434,100,0.00173503,2.42037
2,0.680239,0.00262008,70.9868,38.5812,58.9984,9.75415,4.21317,100,17.0223,15.5504
3,100,3.17752,23.335,13.2799,49.0112,100,92.9,36.8095,99.1058,100
4,66.4904,6.29406,43.3453,4.72536,47.7467,0.0589565,20.8085,100,89.0454,6.49089
5,0.0461162,0.240117,42.0231,0.0148176,46.0113,100,71.388,100,84.01,0.215968
6,79.8186,5.11074,79.7115,100,0.232163,0.456204,0.923575,49.9238,96.2243,47.8342
7,8.99546e-05,5.91959,39.3613,100,50.7762,0.0108584,29.9294,0.817032,88.901,100
8,99.9247,3.40523,54.9685,58.0138,55.5951,100,0.00940001,100,100,0.865335
9,0.00241481,3.71545,43.8565,2.96607,3.23406,100,100,10.5479,100,4.11674
10,100,0.037404,67.1033,66.9499,58.5429,5.66125,11.0017,17.2386,22.5578,47.6644
11,81.0415,6.81197,55.2324,0.0360742,17.6031,100,34.2356,81.4432,46.33,0.10395
12,0.00320942,7.29762,45.1507,0.167127,7.39548,100,72.0994,79.1727,9.6705,6.8655
13,0.378068,2.99765,62.0691,0.424313,34.1373,100,2.0053,89.6416,99.5975,5.90874
14,89.7849,6.93672,39.745,100,58.9505,100,0.0704328,10.4432,100,14.6618
15,29.2034,5.52074,57.0908,100,50.9834,31.6714,1.9144,68.4407,15.4484,54.278
16,1.65611,4.22277,63.4409,2.35395,23.6271,100,18.5367,4.01282,100,93.8945
17,4.9674,3.68503,38.262,72.8193,25.405,57.8226,82.9924,80.0231,9.80709,86.2369
18,0.47029,1.10869,63.2459,100,45.7479,100,23.1822,68.4475,33.4554,11.4215
19,71.8523,3.22453,72.1604,83.1485,23.6164,2.01841,4.06489,67.2712,100,0.0925171
20,22.4265,8.96403,30.6842,4.46075,2.49932,100,92.3599,16.6577,8.47508,90.2953
21,4.13269,0.0663799,56.2894,3.19331,61.256,1.85036,20.1545,2.30341,100,3.89552
22,84.7022,7.32695,34.6268,0.0056668,43.8933,4.80722,57.834,38.7956,1.75503,0.60367
23,1.15517,4.16568,50.1875,89.3335,0.336214,0.538983,100,1.52354,0.383007,94.2097
24,90.416,4.21538,0.00224629,0.581028,61.9321,1.15695,89.0632,29.9878,60.2294,0.0860134
25,7.25324,3.52942,46.1841,87.2211,64.3419,9.53144,14.8781,0.306468,67.8898,0.292344
26,17.1219,4.16757,62.3267,12.5411,33.6464,0.303473,9.95137,79.6625,100,0.374088
27,1.47231,4.3257,47.8998,81.4303,0.632731,100,100,83.1105,2.80538,14.4138
28,18.3302,3.697,45.7803,87.0842,64.1873,13.4081,12.6079,83.2077,100,3.9334
29,29.0201,0.0537363,95.622,100,2.79213,7.99434,0.53223,2.37524,100,100
30,18.8447,3.56068,56.1232,54.966,61.9772,53.3417,7.6058,81.0378,3.45861,95.4077
31,0.000708091,3.63435,38.5413,100,65.855,0.52927,20.6436,99.8724,62.9078,92.1533
32,77.9616,7.32297,50.9982,100,2.00298,100,67.0649,7.15418,0.617434,0.49004
33,0.0290167,7.54917,23.5821,100,58.716,100,1.90494,0.522606,99.2996,11.8361
34,69.4781,6.74735,23.036,0.0046357,58.1289,1.3851,0.613381,51.3488,94.9294,5.59126
35,16.1303,6.6719,2.81623,100,8.64981,0.185859,60.894,4.34362,0.365782,100
36,100,0.0782477,64.8471,4.98909,0.522643,4.04237,98.9994,49.667,0.00172744,14.8783
37,99.763,3.72137,48.8423,3.78271,64.6323,100,1.64836,82.7892,100,96.7983
38,0.295536,0.428365,58.0532,100,73.8518,100,8.61668,13.7157,23.2983,0.178634
39,71.445,4.59686,37.6676,100,51.2207,100,19.6791,91.8967,0.744697,5.68236
40,2.68696,4.46198,50.3606,15.0675,75.8059,100,0.04739,4.85968,0.00196646,17.3412
41,78.9481,8.37514,42.8406,11.5575,3.34439,26.3039,64.1899,100,84.1771,100
42,43.4584,4.3854,37.0205,100,10.4615,3.95254,98.6746,18.4323,100,84.4384
43,86.1694,6.47126,55.5934,44.7555,37.8524,100,1.17562,98.3506,91.4973,41.2226
44,67.2661,0.518765,77.3359,0.0146931,32.9123,2.51698,5.53982,94.3815,100,74.2598
45,0.0272531,0.00364584,78.4465,100,39.1923,2.15579,9.53335,48.0801,4.65405,2.75206
46,53.4968,4.53422,80.8557,15.3598,4.35843,15.6637,15.8486,68.5438,17.8841,1.05555
47,83.6416,7.1028,64.6188,2.77187,9.89789,7.33566,12.7431,100,89.4494,100
48,0.0524817,3.7663,53.4383,88.9443,70.8022,3.27827,0.472416,81.7515,8.1086,40.5703
49,0.632259,3.72307,45.521,45.9986,0.84246,0.000455529,100,0.868002,100,3.06913
50,0.37411,0.0546056,72.2496,100,1.20629,100,54.4535,87.4513,100,18.8614
51,7.01809,6.44102,16.1691,0.879488,53.7653,7.30578,70.6765,3.486,11.6921,0.74118
52,27.9462,1.66908,76.1891,100,24.1551,100,1.39017,38.0345,100,100
53,100,2.65462,85.5404,8.8836,14.1733,100,5.66822,100,19.1914,5.76703
54,10.5167,4.95961,30.5671,92.2782,44.6166,100,81.2055,14.2564,28.6597,4.18469
55,3.618,0.0313384,62.3454,41.7556,0.00818545,100,100,0.611569,28.6883,92.9886
56,100,5.17242,88.4728,2.40449,0.0288358,100,1.34232,1.53114,0.577732,7.41711
58,0.310482,3.71758,48.7969,87.9407,65.4126,100,0.89712,45.8479,100,0.439584
59,0.0799025,4.59934,77.3077,89.0633,4.1799,100,2.74544,77.0207,100,32.8825
60,71.2601,4.40216,25.0641,4.68135,14.0296,100,68.3482,83.8831,99.54,3.09862
61,6.06722,4.64752,71.5757,0.0531399,34.9388,82.0772,0.00827659,38.7493,1.67635,90.8899
62,100,1.96064,52.6333,18.7965,4.56819,100,84.7677,100,100,5.03749
63,11.5535,3.80888,38.0972,40.2436,14.588,2.4354,100,2.85762,100,0.0655196
64,2.15383,0.591042,62.3943,5.94229,36.2908,28.3002,26.0624,0.349063,100,88.8901
