iteration,total_runs,mean,standard_deviation,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,base
0,100,124.681,138.576,5.11532,416.503,416.266,10.5688,9.94434,416.503,28.5807,23.7344,147.383,138.252,14.4044,325.552,10.8611,142.82,12.948,207.263,8.23004,204.331,293.678,211.242,22.0121,20.2944,5.37628,7.19261,59.9034,280.955,251.019,351.634,300.645,302.157,352.677,5.27368,325.244,6.8081,45.5471,25.8659,5.5871,5.24222,7.77329,348.72,7.84352,137.241,220.599,46.6698,217.681,100.997,9.18825,6.83168,20.9076,12.2459,336.721,327.162,6.33267,8.52912,6.72785,5.59878,209.246,17.4666,255.043,404.07,348.398,273.85,180.09,234.788,10.9178,344.363,8.64559,202.73,15.5574,14.5421,38.9454,405.226,348.652,171.502,24.4091,19.5949,77.4851,75.7022,70.5513,229.374,20.1772,31.5967,12.8703,15.2583,10.6144,57.6827,6.84404,384.021,415.439,330.324,21.5744,11.1662,6.7098,5.11532,5.69336,10.6405,145.455,6.16226,24.9083,56.9859,66.8233,17.1042
1,240,7.94509,3.58168,4.97039,22.9646,7.64569,5.42273,5.25165,8.20217,5.36827,5.18734,17.9843,5.33107,5.10573,8.67061,5.19699,8.01526,10.3492,9.21877,6.44495,10.5278,9.54732,8.38284,19.7156,18.112,5.24244,5.16866,5.10247,8.53703,6.6626,8.97631,9.36047,9.3631,8.88488,5.44111,9.23621,6.36134,5.56017,5.37132,5.26384,5.26347,5.3809,8.77093,7.3342,7.37404,9.19798,5.39687,8.17494,5.44057,9.0526,5.06205,16.6484,5.36673,9.47068,8.48328,4.97039,5.95757,5.21385,5.20652,9.93457,13.0256,11.0382,8.36895,8.60457,10.0191,10.8733,10.2626,5.00997,8.37181,8.44214,9.33678,5.39404,11.9056,5.18097,8.49231,8.98285,6.1354,22.9646,16.6605,5.30873,5.35795,5.14724,9.67232,5.28574,5.26527,5.20373,5.24527,10.4363,5.68725,5.22607,8.44586,8.27841,8.694,5.25813,5.38879,7.41738,5.24466,5.76262,6.07227,18.1371,5.38371,5.31379,5.14404,5.66551,5.48442
2,380,6.1866,2.44502,4.54805,19.6547,5.19235,5.3159,5.06583,5.60509,5.21422,5.12766,15.8069,5.23098,5.10325,5.49039,5.08334,5.30592,8.1171,7.00807,5.37966,5.84493,5.64268,6.39648,11.894,14.0255,5.21238,5.15684,5.01569,5.57367,5.21998,5.63401,5.54253,5.40008,5.50669,5.23758,5.41838,5.81759,5.3137,5.25931,5.26838,5.33335,5.23581,5.49358,6.37683,5.81797,6.16565,5.0976,6.30387,5.35546,8.80656,4.9346,10.9113,5.10412,5.63063,5.35882,4.85004,5.37038,5.18939,5.17811,5.56065,5.42627,5.83391,5.30955,5.24361,5.92467,6.09715,5.78002,5.00241,5.27843,7.60581,5.78121,4.86591,7.73229,5.05602,5.39994,5.64737,5.24272,19.6547,11.3283,5.19199,5.27058,5.13638,5.64999,5.19652,5.21398,5.16206,5.22508,10.0239,5.2744,4.91259,5.24811,5.72682,5.55705,5.22291,5.3824,7.76896,5.11411,5.80854,5.29505,14.9608,5.10765,5.26688,5.08481,5.59821,4.54805
3,519,5.79876,1.51224,4.53864,12.2954,5.18129,5.32471,5.08143,5.58239,5.211,5.13266,12.2954,5.22704,5.09953,5.4735,5.09322,5.10301,6.7285,7.05226,5.2587,5.1421,5.35461,6.09901,6.81164,11.79,5.17245,5.16151,5.00922,5.38209,5.21723,5.52614,5.2522,5.38961,5.39009,5.24216,5.27727,5.43854,5.29253,5.26903,5.31645,5.51953,5.24032,5.33938,5.58664,5.67382,5.75429,5.08716,5.88157,5.34626,8.42895,4.94398,5.60749,5.10154,5.46989,5.3079,4.85628,5.31995,5.18925,5.17756,5.46549,5.36161,5.21853,,5.08204,5.29275,6.02011,5.37115,5.00081,5.26462,6.67689,5.63451,4.82685,8.11747,5.04275,5.36932,5.50522,5.24119,11.3473,9.49902,5.17487,5.26015,5.1339,5.32159,5.20172,5.17708,5.16083,5.30895,9.07942,5.24902,4.89052,5.23573,5.69869,5.51023,5.22322,5.3814,8.22585,5.12905,5.92514,5.25884,12.2382,5.07982,5.25758,5.16129,5.70763,4.53864
4,658,5.57845,0.972534,4.53129,11.094,5.1727,5.32167,5.07694,5.5725,5.21013,5.13168,6.55256,5.22351,5.09609,5.4673,5.08932,5.10232,6.10998,7.13881,5.22386,5.10929,5.34802,5.91651,5.73412,10.119,5.15215,5.16412,5.00783,5.35644,5.22031,5.51489,5.24536,5.38135,5.37486,5.23952,5.26938,5.31694,5.28337,5.30373,5.38244,5.65758,5.22607,5.3218,5.40486,5.63781,5.52817,5.08313,5.54168,5.34132,8.42546,4.93973,5.39983,5.09977,5.45605,5.29709,4.85198,5.31943,5.18742,5.17622,5.46116,5.35294,5.16852,,5.06292,5.27726,5.96524,5.36524,4.99915,5.25594,6.56064,5.63862,4.82508,8.20065,5.03294,5.35473,5.4895,5.23991,5.78944,6.99143,5.16921,5.25586,5.13376,5.3064,5.19802,5.1523,5.15618,5.45412,8.01438,5.24679,4.88796,5.22387,5.69072,5.50105,5.21979,5.38054,6.91065,5.17212,6.07144,5.264,11.094,5.08031,5.25514,5.2293,5.81135,4.53129
5,797,5.55933,0.952802,4.52633,11.7203,5.16623,5.32095,5.07605,5.56515,5.20966,5.13266,5.79667,5.22064,5.0935,5.46405,5.08771,5.10155,5.93567,7.67505,5.21376,5.10217,5.34346,5.8465,5.59079,8.39523,5.14386,5.16612,5.00705,5.35124,5.23285,5.50737,5.24024,5.3754,5.3656,5.2413,5.26356,5.3144,5.27889,5.37054,5.50918,5.85623,5.22775,5.31352,5.37303,5.79603,5.46465,5.08092,5.39972,5.33808,9.01257,4.94038,5.37283,5.0987,5.44759,5.29269,4.853,5.33189,5.1866,5.17576,5.45776,5.35198,5.15253,,5.05301,5.26993,6.03651,5.36181,4.99812,5.25022,6.98544,5.74664,4.82431,8.56355,5.0285,5.34487,5.48102,5.23882,5.78982,5.82247,5.16542,5.25331,5.13746,5.30142,5.19864,5.14022,5.15354,5.72931,7.25759,5.26711,4.88603,5.2156,5.68494,5.49673,5.21987,5.38015,5.94391,5.24948,6.45351,5.29321,11.7203,5.08628,5.25421,5.35079,5.98428,4.52633
6,936,5.59954,1.0734,4.52148,12.6755,5.15921,5.31978,5.07422,5.55857,5.20932,5.13383,5.79686,5.21741,5.0906,5.46052,5.08515,5.10064,5.74152,8.72373,5.20731,5.09516,5.33855,5.7983,5.55422,6.28558,5.13397,5.16772,5.00638,5.346,5.27271,5.499,5.23473,5.3688,5.35553,5.24199,5.257,5.34324,5.27538,5.51734,5.81256,6.32134,5.22927,5.30524,5.35684,6.17095,5.42401,5.07905,5.32787,5.33556,9.33351,4.94049,5.37425,5.09775,5.43828,5.28813,4.85349,5.36426,5.18568,5.1753,5.454,5.35328,5.14548,,5.04269,5.2625,6.25112,5.35814,4.99708,5.24419,7.8094,6.10324,4.82358,9.41515,5.02494,5.33457,5.47204,5.23807,5.79015,5.51667,5.16154,5.2513,5.14841,5.29578,5.19943,5.12832,5.15008,6.35997,6.0851,5.32346,4.88433,5.20625,5.67943,5.49206,5.21988,5.37963,5.49848,5.48166,7.4504,5.36907,12.6755,5.10421,5.25324,5.62424,6.39083,4.52148
7,1075,5.6546,1.14953,4.5175,12.3792,5.15295,5.3166,5.06921,5.55273,5.20914,5.13318,5.7954,5.21438,5.08767,5.45726,5.08015,5.09979,5.6026,8.97989,5.20063,5.08896,5.33415,5.68837,5.5474,5.95943,5.12509,5.16488,5.00592,5.34107,5.37784,5.49085,5.2298,5.36263,5.34576,5.24343,5.25073,5.32203,5.27266,5.71234,6.26359,7.21909,5.23092,5.29726,5.33753,6.52954,5.38953,5.07776,5.30182,5.33381,6.99424,4.93997,5.37458,5.09717,5.42905,5.28391,4.85407,5.41932,5.1848,5.17501,5.45048,5.3552,5.13995,,5.0328,5.25562,6.50288,5.35483,4.99618,5.23881,7.86212,6.86311,4.82296,10.8609,5.02286,5.32522,5.46333,5.23778,5.79123,5.51313,5.15997,5.25034,5.15794,5.29039,5.1984,5.11968,5.14577,7.25583,5.57741,5.42794,4.88337,5.19752,5.67509,5.48764,5.21867,5.37915,5.48294,6.0091,9.18507,5.51407,12.3792,5.14533,5.2524,6.0902,7.16674,4.5175
8,1214,5.68205,1.22829,4.51432,13.0788,5.14734,5.31447,5.06613,5.54744,5.20908,5.13112,5.79533,5.21181,5.08513,5.45426,5.07649,5.09903,5.55023,6.94462,5.19471,5.08342,5.33018,5.54475,5.54572,5.9486,5.11876,5.1611,5.00563,5.33636,5.62359,5.48356,5.22541,5.35675,5.33703,5.2449,5.24505,5.23572,5.27136,5.81495,6.55902,8.88949,5.2329,5.29011,5.32519,6.34313,5.3711,5.07683,5.29575,5.33241,5.802,4.94022,5.37574,5.09689,5.42089,5.27996,4.85492,5.49219,5.1841,5.17488,5.44691,5.35762,5.13468,,5.02416,5.2492,6.60465,5.35183,4.99552,5.23389,6.23096,8.18183,4.82244,13.0788,5.02171,5.31673,5.45567,5.23751,5.79238,5.51217,5.15925,5.24977,5.15665,5.28516,5.19645,5.11463,5.14209,7.75535,5.58678,5.58361,4.88276,5.18955,5.67114,5.48334,5.2167,5.37889,5.48216,7.01638,11.2843,5.74571,8.41487,5.23053,5.25166,6.78412,8.6202,4.51432
9,1353,5.71649,1.45033,4.51254,14.5581,5.14389,5.31418,5.06586,5.54415,5.2091,5.12956,5.7951,5.21185,5.08373,5.45238,5.0755,5.09859,5.54224,5.97581,5.19222,5.08024,5.32772,5.46717,5.54528,5.94966,5.11486,5.16017,5.00551,5.33328,5.93062,5.47921,5.2227,5.35292,5.33184,5.24625,5.2415,5.18294,5.27073,5.71069,6.3442,10.4239,5.23448,5.28587,5.32328,5.83068,5.36711,5.07637,5.2945,5.33161,5.76427,4.94085,5.37644,5.09684,5.41613,5.27743,4.85566,5.52634,5.18373,5.17489,5.44436,5.35948,5.13184,,5.01912,5.24508,6.34976,5.34994,4.99522,5.23079,5.64093,9.38297,4.82213,14.5581,5.02118,5.31141,5.4512,5.23735,5.79326,5.51151,5.15889,5.24955,5.14545,5.28167,5.19543,5.11253,5.14031,7.12008,5.59242,5.67757,4.88254,5.1845,5.66867,5.48048,5.21538,5.37881,5.48209,8.02749,12.1534,5.90137,6.80384,5.32394,5.25122,7.13334,10.0916,4.51254
