iteration,total_runs,obs_realization,par_realization,din,all_params
0,100,1,0,428.231,0
0,100,2,1,12.1512,0
0,100,3,2,11.9522,0
0,100,4,3,433.785,0
0,100,5,4,32.5268,0
0,100,6,5,26.8069,0
0,100,7,6,158.428,0
0,100,8,7,149.428,0
0,100,9,8,16.8339,0
0,100,10,9,342.389,0
0,100,11,10,12.7973,0
0,100,12,11,153.781,0
0,100,13,12,9.69293,0
0,100,14,13,221.043,0
0,100,15,14,6.15971,0
0,100,16,15,219.025,0
0,100,17,16,308.913,0
0,100,18,17,224.154,0
0,100,19,18,17.6415,0
0,100,20,19,16.1668,0
0,100,21,20,4.97664,0
0,100,22,21,8.01274,0
0,100,23,22,67.1016,0
0,100,24,23,296.307,0
0,100,25,24,265.629,0
0,100,26,25,366.254,0
0,100,27,26,316.538,0
0,100,28,27,318.245,0
0,100,29,28,371.458,0
0,100,30,29,5.02233,0
0,100,31,30,341.654,0
0,100,32,31,5.2459,0
0,100,33,32,51.4395,0
0,100,34,33,29.9243,0
0,100,35,34,5.76893,0
0,100,36,35,5.10937,0
0,100,37,36,8.78518,0
0,100,38,37,364.804,0
0,100,39,38,5.68846,0
0,100,40,39,148.82,0
0,100,41,40,235.275,0
0,100,42,41,52.7911,0
0,100,43,42,231.212,0
0,100,44,43,110.519,0
0,100,45,44,6.77696,0
0,100,46,45,7.86863,0
0,100,47,46,16.6107,0
0,100,48,47,14.5979,0
0,100,49,48,354.284,0
0,100,50,49,344.556,0
0,100,51,50,7.29134,0
0,100,52,51,9.72181,0
0,100,53,52,7.32042,0
0,100,54,53,5.8775,0
0,100,55,54,223.681,0
0,100,56,55,13.4317,0
0,100,57,56,272.04,0
0,100,58,57,422.379,0
0,100,59,58,366.659,0
0,100,60,59,289.781,0
0,100,61,60,192.511,0
0,100,62,61,249.286,0
0,100,63,62,12.6087,0
0,100,64,63,362.679,0
0,100,65,64,6.43123,0
0,100,66,65,215.255,0
0,100,67,66,18.2363,0
0,100,68,67,11.1061,0
0,100,69,68,44.854,0
0,100,70,69,423.467,0
0,100,71,70,366.329,0
0,100,72,71,183.2,0
0,100,73,72,20.4616,0
0,100,74,73,15.3804,0
0,100,75,74,84.4815,0
0,100,76,75,83.9813,0
0,100,77,76,77.7952,0
0,100,78,77,243.659,0
0,100,79,78,23.6485,0
0,100,80,79,36.1773,0
0,100,81,80,15.2365,0
0,100,82,81,18.3348,0
0,100,83,82,8.08609,0
0,100,84,83,64.3331,0
0,100,85,84,5.29936,0
0,100,86,85,400.622,0
0,100,87,86,433.993,0
0,100,88,87,345.229,0
0,100,89,88,24.8534,0
0,100,90,89,12.5355,0
0,100,91,90,5.28089,0
0,100,92,91,4.58892,0
0,100,93,92,4.64559,0
0,100,94,93,12.3831,0
0,100,95,94,155.653,0
0,100,96,95,6.64449,0
0,100,97,96,28.7864,0
0,100,98,97,64.1373,0
0,100,99,98,72.9184,0
0,100,base,base,17.1042,0
1,240,1,0,6.06936,1.18103
1,240,2,1,4.5846,0.0332591
1,240,3,2,4.56306,0.0340454
1,240,4,3,5.79448,1.17527
1,240,5,4,5.25605,0.0896421
1,240,6,5,4.54834,0.103628
1,240,7,6,13.852,0.505715
1,240,8,7,4.54858,0.383351
1,240,9,8,4.72692,0.0462846
1,240,10,9,6.08346,0.921199
1,240,11,10,4.58237,0.0366983
1,240,12,11,5.9968,0.421721
1,240,13,12,7.62767,0.0469567
1,240,14,13,6.52889,0.625634
1,240,15,14,4.94426,0.0154971
1,240,16,15,7.74822,0.613894
1,240,17,16,6.9647,0.833582
1,240,18,17,6.0106,0.637527
1,240,19,18,15.6096,0.0628665
1,240,20,19,14.2577,0.0578772
1,240,21,20,4.73574,0.00952239
1,240,22,21,4.69123,0.0155184
1,240,23,22,5.19503,0.186247
1,240,24,23,6.09457,0.801633
1,240,25,24,5.03548,0.726015
1,240,26,25,6.54613,0.993001
1,240,27,26,6.89155,0.85358
1,240,28,27,6.64341,0.8573
1,240,29,28,6.27768,0.996239
1,240,30,29,4.52448,0.00295333
1,240,31,30,6.71733,0.919311
1,240,32,31,4.96102,0.00574992
1,240,33,32,5.51926,0.1182
1,240,34,33,5.27766,0.0662101
1,240,35,34,4.93631,0.00517
1,240,36,35,4.70622,0.00555452
1,240,37,36,4.56076,0.0206802
1,240,38,37,6.43926,0.982456
1,240,39,38,5.35052,0.00786589
1,240,40,39,5.3618,0.412167
1,240,41,40,6.57177,0.654802
1,240,42,41,5.64041,0.122052
1,240,43,42,5.8717,0.649212
1,240,44,43,4.56136,0.273352
1,240,45,44,6.67453,0.0125205
1,240,46,45,4.53201,0.0152545
1,240,47,46,12.9217,0.0684992
1,240,48,47,5.55896,0.0226983
1,240,49,48,6.70743,0.951402
1,240,50,49,6.06776,0.925995
1,240,51,50,4.47157,0.0138233
1,240,52,51,6.22175,0.00914377
1,240,53,52,4.54736,0.0103325
1,240,54,53,4.62116,0.00356478
1,240,55,54,6.89302,0.630141
1,240,56,55,9.70219,0.0436376
1,240,57,56,8.05507,0.732956
1,240,58,57,6.09369,1.14496
1,240,59,58,6.33651,0.985146
1,240,60,59,7.23364,0.782487
1,240,61,60,8.15556,0.560719
1,240,62,61,7.40807,0.687487
1,240,63,62,4.59456,0.0343917
1,240,64,63,6.01453,0.973245
1,240,65,64,6.28332,0.0108238
1,240,66,65,6.70474,0.617633
1,240,67,66,5.83938,0.0445601
1,240,68,67,8.89575,0.0396493
1,240,69,68,5.29305,0.0966576
1,240,70,69,6.09364,1.14382
1,240,71,70,6.30094,0.984793
1,240,72,71,4.65629,0.481929
1,240,73,72,19.1316,0.0766508
1,240,74,73,12.8442,0.0552663
1,240,75,74,4.53081,0.207898
1,240,76,75,4.58972,0.203924
1,240,77,76,4.69422,0.192999
1,240,78,77,6.93806,0.672889
1,240,79,78,4.61929,0.0822646
1,240,80,79,4.73518,0.0909997
1,240,81,80,4.62027,0.0440668
1,240,82,81,4.88297,0.0469979
1,240,83,82,7.94054,0.0175059
1,240,84,83,5.8607,0.151029
1,240,85,84,4.48048,0.0107943
1,240,86,85,6.25021,1.08254
1,240,87,86,5.66047,1.17131
1,240,88,87,6.16877,0.93312
1,240,89,88,4.57089,0.0835425
1,240,90,89,4.75563,0.029495
1,240,91,90,5.56641,0.0310831
1,240,92,91,4.49385,0.00178082
1,240,93,92,4.6153,0.00524252
1,240,94,93,6.47578,0.0153302
1,240,95,94,14.3281,0.499345
1,240,96,95,5.43088,0.00339656
1,240,97,96,4.97881,0.0876396
1,240,98,97,4.50788,0.168002
1,240,99,98,4.58572,0.198386
1,240,base,base,5.47133,0.0374031
2,380,1,0,4.65251,0.985565
2,380,2,1,4.75336,0.0227088
2,380,3,2,4.78846,0.0209715
2,380,4,3,4.81507,0.980865
2,380,5,4,4.69112,0.119993
2,380,6,5,4.69038,0.0881019
2,380,7,6,11.9261,0.748806
2,380,8,7,4.75369,0.361215
2,380,9,8,4.64634,0.0488244
2,380,10,9,4.63815,0.785655
2,380,11,10,4.75942,0.0250039
2,380,12,11,4.48356,0.413694
2,380,13,12,5.9083,0.288608
2,380,14,13,5.04353,0.607809
2,380,15,14,4.48331,0.0751665
2,380,16,15,4.59454,0.609863
2,380,17,16,4.50153,0.719771
2,380,18,17,4.74842,0.599957
2,380,19,18,8.8201,0.602948
2,380,20,19,10.6442,0.503695
2,380,21,20,4.65359,0.0180421
2,380,22,21,4.73256,0.0138971
2,380,23,22,4.73192,0.216814
2,380,24,23,4.46393,0.699826
2,380,25,24,4.66127,0.655205
2,380,26,25,4.52387,0.83131
2,380,27,26,4.52216,0.730507
2,380,28,27,4.62228,0.733749
2,380,29,28,4.52387,0.828622
2,380,30,29,4.73778,0.00383844
2,380,31,30,4.50261,0.783863
2,380,32,31,4.65277,0.0461092
2,380,33,32,4.67348,0.157364
2,380,34,33,4.77438,0.0826238
2,380,35,34,4.77726,0.00955733
2,380,36,35,4.63511,0.0149221
2,380,37,36,4.87706,0.0122305
2,380,38,37,4.4977,0.819084
2,380,39,38,4.78111,0.0666755
2,380,40,39,4.53523,0.407881
2,380,41,40,4.66314,0.621619
2,380,42,41,4.72244,0.165149
2,380,43,42,4.70742,0.600415
2,380,44,43,4.726,0.263948
2,380,45,44,6.47211,0.108955
2,380,46,45,4.70951,0.00898346
2,380,47,46,8.06129,0.54635
2,380,48,47,4.78408,0.044588
2,380,49,48,4.50648,0.795192
2,380,50,49,4.57736,0.787661
2,380,51,50,4.68577,0.00809316
2,380,52,51,4.62488,0.0364986
2,380,53,52,4.63698,0.00760873
2,380,54,53,4.76884,0.00221318
2,380,55,54,4.50164,0.622932
2,380,56,55,4.5538,0.340529
2,380,57,56,4.58017,0.653094
2,380,58,57,4.87436,0.940843
2,380,59,58,4.48102,0.820371
2,380,60,59,4.52951,0.684318
2,380,61,60,4.71424,0.569153
2,380,62,61,4.52629,0.648586
