iteration,total_runs,mean,standard_deviation,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,base
0,100,124.681,138.576,5.11532,416.503,416.266,10.5688,9.94434,416.503,28.5807,23.7344,147.383,138.252,14.4044,325.552,10.8611,142.82,12.948,207.263,8.23004,204.331,293.678,211.242,22.0121,20.2944,5.37628,7.19261,59.9034,280.955,251.019,351.634,300.645,302.157,352.677,5.27368,325.244,6.8081,45.5471,25.8659,5.5871,5.24222,7.77329,348.72,7.84352,137.241,220.599,46.6698,217.681,100.997,9.18825,6.83168,20.9076,12.2459,336.721,327.162,6.33267,8.52912,6.72785,5.59878,209.246,17.4666,255.043,404.07,348.398,273.85,180.09,234.788,10.9178,344.363,8.64559,202.73,15.5574,14.5421,38.9454,405.226,348.652,171.502,24.4091,19.5949,77.4851,75.7022,70.5513,229.374,20.1772,31.5967,12.8703,15.2583,10.6144,57.6827,6.84404,384.021,415.439,330.324,21.5744,11.1662,6.7098,5.11532,5.69336,10.6405,145.455,6.16226,24.9083,56.9859,66.8233,17.1042
1,240,7.82,3.55186,4.96555,22.9378,7.23233,5.41109,5.23974,7.79082,5.33689,5.15107,17.8073,5.19689,5.08953,8.34819,5.18415,7.86766,10.3328,8.9998,6.43952,10.3129,9.25557,8.1597,19.6936,18.0917,5.2391,5.16323,5.03728,8.25646,6.4085,8.62876,9.06171,9.06305,8.5362,5.44008,8.91445,6.35933,5.5188,5.34815,5.26203,5.26152,5.37366,8.42707,7.33145,7.22978,8.9688,5.35415,7.94771,5.3449,9.04821,5.05672,16.6245,5.35878,9.13769,8.15918,4.96555,5.95437,5.21023,5.20527,9.71402,13.0104,10.7817,7.96821,8.25977,9.7452,10.677,10.022,4.99793,8.03118,8.43835,9.12061,5.37844,11.8917,5.14714,8.09197,8.63817,5.96672,22.9378,16.6412,5.23597,5.28658,5.07969,9.43681,5.25695,5.23342,5.18831,5.22882,10.4302,5.63439,5.2223,8.06697,7.86845,8.36741,5.22889,5.37846,7.4065,5.24404,5.76078,6.06691,17.9623,5.38252,5.28311,5.08523,5.59608,5.47133
2,380,6.0584,2.42077,4.51528,19.3887,4.8474,5.30795,5.05849,5.26179,5.17222,5.09682,15.5448,5.10455,5.08617,5.21541,5.07459,5.16113,8.01609,6.79534,5.35335,5.63147,5.39076,6.18649,11.683,13.8492,5.20607,5.15197,4.93981,5.32873,4.99066,5.34306,5.28686,5.14327,5.21667,5.23624,5.14403,5.80145,5.25863,5.23039,5.26503,5.32813,5.23153,5.2069,6.3535,5.67521,5.94809,5.0398,6.09373,5.26308,8.76842,4.93145,10.7201,5.08851,5.35232,5.08314,4.84721,5.3576,5.18672,5.17734,5.34263,5.30708,5.60533,4.98025,4.95648,5.68516,5.89795,5.55302,4.99109,4.99223,7.57109,5.56728,4.83288,7.63968,5.01424,5.07222,5.35829,5.09036,19.3887,11.2015,5.12117,5.19998,5.06695,5.42978,5.1738,5.17723,5.14945,5.20179,9.96411,5.20534,4.90082,4.93535,5.38172,5.27693,5.1976,5.37063,7.71883,5.11277,5.80146,5.27674,14.7003,5.10179,5.2302,5.02357,5.52587,4.51528
3,519,5.64891,1.43901,4.50508,11.7853,4.84189,5.31596,5.07284,5.24318,5.17005,5.10051,11.7853,5.09922,5.0829,5.2032,5.0836,4.94904,6.52396,6.80809,5.22013,4.90599,5.10251,5.87484,6.39653,11.3785,5.16132,5.15602,4.9349,5.13999,4.99228,5.24105,4.99752,5.1381,5.10714,5.23964,5.00488,5.40059,5.23688,5.23599,5.30959,5.50713,5.23367,5.05942,5.53474,5.51247,5.51816,5.02928,5.66208,5.25144,8.31454,4.9398,5.2204,5.08549,5.19632,5.03764,4.85218,5.30904,5.18633,5.17639,5.24159,5.22682,4.97887,,4.80176,5.04705,5.80661,5.13164,4.98876,4.98467,6.58588,5.40697,4.79798,7.97392,4.99849,5.04769,5.22173,5.08875,10.6999,9.25784,5.10126,5.18654,5.06162,5.09349,5.17693,5.13341,5.14799,5.27468,8.90842,5.17859,4.87586,4.92991,5.35566,5.23377,5.19729,5.36963,8.10221,5.12645,5.90643,5.24263,11.7496,5.07528,5.22235,5.09254,5.62651,4.50508
4,658,5.41462,0.899092,4.49708,10.462,4.83932,5.31217,5.06721,5.23907,5.16925,5.09952,5.87828,5.0945,5.07956,5.20112,5.07898,4.94888,5.85083,6.8762,5.17991,4.87454,5.10042,5.68363,5.25461,9.525,5.13695,5.15762,4.93355,5.11878,5.00012,5.2351,4.99536,5.13435,5.09835,5.23546,5.0007,5.26364,5.2259,5.2671,5.37055,5.63364,5.21819,5.04875,5.34011,5.46668,5.2877,5.02433,5.31858,5.24411,8.23145,4.93447,4.97932,5.08316,5.18806,5.03168,4.84692,5.30791,5.18418,5.17457,5.23893,5.21888,4.93557,,4.78941,5.03664,5.74403,5.12857,4.98645,4.98152,6.42415,5.40702,4.79651,7.99424,4.98685,5.0407,5.21167,5.08738,4.93769,6.63564,5.09294,5.17959,5.05941,5.08237,5.17319,5.10344,5.14285,5.40861,7.73903,5.17448,4.87294,4.92443,5.35214,5.22802,5.19425,5.36814,6.71516,5.16743,6.03824,5.24748,10.462,5.07583,5.21949,5.15408,5.72215,4.49708
5,797,5.38765,0.874779,4.49138,10.9784,4.83729,5.31027,5.0647,5.23592,5.16863,5.10002,5.08179,5.09068,5.07679,5.20072,5.0762,4.94849,5.64642,7.39079,5.16727,4.86966,5.09932,5.60252,5.09644,7.67896,5.1253,5.15835,4.9326,5.11642,5.01605,5.23136,4.99371,5.13186,5.09363,5.23579,4.99762,5.25166,5.21992,5.33017,5.49081,5.81696,5.21799,5.04538,5.3023,5.61606,5.22208,5.02125,5.17254,5.23897,8.74558,4.93383,4.95608,5.08163,5.1836,5.03037,4.84673,5.31902,5.18294,5.17355,5.23676,5.2148,4.92397,,4.78425,5.03319,5.80446,5.12702,4.98463,4.97966,6.81079,5.51159,4.79576,8.29853,4.98096,5.03633,5.20715,5.08615,4.93736,5.40022,5.08714,5.17505,5.06124,5.08016,5.17309,5.08735,5.13939,5.6709,6.90379,5.19269,4.87074,4.92098,5.34953,5.22586,5.19433,5.36722,5.70573,5.24231,6.40354,5.27532,10.9784,5.08163,5.21821,5.26799,5.88433,4.49138
6,936,5.41719,0.991598,4.48546,11.749,4.835,5.30721,5.06036,5.23378,5.16795,5.10027,5.08168,5.08628,5.07346,5.20019,5.07173,4.94793,5.41878,8.38873,5.15827,4.86506,5.09813,5.53628,5.0519,5.44032,5.11107,5.15792,4.93156,5.11413,5.05913,5.22698,4.99185,5.129,5.08835,5.23454,4.99396,5.26905,5.21472,5.47058,5.78093,6.25764,5.217,5.0423,5.27964,5.975,5.17849,5.01832,5.09682,5.23428,8.94073,4.93213,4.95527,5.08008,5.1785,5.02897,4.84559,5.34856,5.1814,5.17232,5.23429,5.21247,4.92136,,4.77893,5.02979,5.99741,5.1253,4.98249,4.97768,7.56915,5.86091,4.79494,9.06338,4.97579,5.03189,5.20234,5.08521,4.93379,5.05397,5.08105,5.17083,5.06952,5.07741,5.1726,5.07078,5.13462,6.27608,5.63622,5.24579,4.86876,4.91686,5.34733,5.2234,5.19418,5.36597,5.22757,5.46997,7.36567,5.34773,11.749,5.09904,5.21675,5.52794,6.26983,4.48546
7,1075,5.45794,1.0521,4.4803,11.1604,4.8329,5.30186,5.05249,5.2319,5.16729,5.09856,5.08093,5.08204,5.06998,5.19967,5.0645,4.94738,5.25002,8.53719,5.14899,4.86086,5.09705,5.40018,5.04068,5.0542,5.09751,5.15271,4.93061,5.11181,5.16526,5.22222,4.99009,5.12623,5.08266,5.23385,4.99014,5.23405,5.21043,5.65381,6.20587,7.11436,5.21584,5.03877,5.25406,6.30196,5.13999,5.01595,5.06782,5.23046,6.42453,4.92962,4.95403,5.07885,5.17283,5.02754,4.84436,5.39877,5.17983,5.17115,5.23193,5.21048,4.91979,,4.77332,5.02652,6.20658,5.12363,4.98036,4.97583,7.51601,6.602,4.79419,10.3747,4.97225,5.02774,5.19717,5.08472,4.93192,5.04149,5.07747,5.16788,5.07529,5.07463,5.17003,5.05756,5.12879,7.12064,5.06377,5.34501,4.8676,4.91282,5.34592,5.22091,5.19278,5.36464,5.20176,5.9888,9.02831,5.4857,11.1604,5.13906,5.2153,5.96847,7.00471,4.4803
8,1214,5.4677,1.1495,4.47592,12.3793,4.83099,5.29741,5.0464,5.2302,5.16664,5.09537,5.08065,5.07821,5.06679,5.19919,5.05846,4.94689,5.17822,6.34813,5.14066,4.85694,5.09607,5.22759,5.03575,5.04524,5.08673,5.14647,4.92972,5.10946,5.40693,5.21768,4.98845,5.12348,5.0773,5.23305,4.98648,5.13324,5.20769,5.73537,6.45753,8.70843,5.21477,5.03534,5.23649,6.06169,5.11822,5.01397,5.06042,5.22709,5.11347,4.92772,4.95312,5.07785,5.16754,5.02612,4.84327,5.46435,5.17839,5.17006,5.2295,5.20873,4.91806,,4.76826,5.02333,6.24201,5.122,4.9784,4.97407,5.76088,7.87513,4.79349,12.3793,4.96976,5.02392,5.19242,5.08429,4.92943,5.03663,5.07493,5.16549,5.06892,5.07185,5.1664,5.04837,5.12349,7.53179,5.06246,5.49123,4.86678,4.90903,5.34462,5.21836,5.19058,5.36343,5.19744,6.977,10.9968,5.70499,6.8445,5.22194,5.21388,6.61507,8.3841,4.47592
9,1353,5.48931,1.37041,4.47334,13.6296,4.8298,5.29541,5.0439,5.22913,5.16621,5.09299,5.08037,5.07744,5.06492,5.19891,5.05567,4.94658,5.16344,5.3109,5.13681,4.85467,5.09546,5.1349,5.03326,5.04049,5.0802,5.14376,4.92914,5.10782,5.70613,5.21497,4.9874,5.1216,5.07411,5.23275,4.98413,5.07178,5.20617,5.61109,6.20307,10.1477,5.21413,5.0334,5.23174,5.50756,5.11335,5.0128,5.05938,5.22504,5.08231,4.92674,4.95242,5.07727,5.16448,5.02516,4.84262,5.49187,5.1775,5.16937,5.22767,5.2079,4.91731,,4.7654,5.0212,5.93382,5.12089,4.97714,4.97291,5.1196,9.01466,4.79304,13.6296,4.96841,5.02146,5.18973,5.08402,4.92802,5.03416,5.07344,5.16412,5.05413,5.06987,5.16408,5.04392,5.12053,6.81737,5.06071,5.57508,4.8664,4.90659,5.34379,5.21658,5.18907,5.36262,5.19485,7.9581,11.7281,5.84784,5.09426,5.3122,5.21294,6.91165,9.77262,4.47334
