real_name,scale_dl,scale_din,gemc,gdwc,femc,fdwc,cemc,cdwc,oemc,odwc
0,44.5354,2.70146,24.6845,13.4255,46.3211,0.0241837,79.1101,24.8779,85.2113,2.43003
1,3.27989,0.153282,70.471,4.89834,57.9471,0.577085,3.97638,96.265,0.00119884,1.89856
2,0.415032,0.000580126,64.549,36.2816,58.0367,5.82565,2.7653,97.4059,11.4707,12.3493
3,100,2.54022,33.5103,11.4694,59.337,97.7434,96.8698,34.5384,85.5676,96.9659
4,63.5907,5.75742,32.4502,3.98425,42.2282,0.0486035,15.2159,100,79.7926,6.50999
5,0.0369089,0.127654,47.4574,0.0157514,46.0807,100,64.6469,100,76.476,0.191562
6,82.2226,9.02082,59.0423,100,0.199648,0.628578,0.472675,45.5974,100,55.3972
7,8.80917e-05,5.35067,42.4491,90.4393,53.671,0.00960265,29.1741,0.775864,82.7319,99.268
8,100,3.94919,51.5488,50.6224,59.7647,100,0.00894513,100,100,0.849798
9,0.00234082,3.51314,47.4023,2.44288,3.45799,100,100,9.7209,96.6971,3.80523
10,100,0.0377995,65.6197,56.424,66.9386,5.33277,10.6587,16.157,22.4368,45.1256
11,76.9254,5.92835,60.8888,0.031005,19.1484,100,32.1456,72.9711,42.7296,0.0963965
12,0.0032237,9.15479,29.1097,0.10119,10.5336,100,70.5717,66.4625,11.9335,6.6012
13,0.498904,5.6467,9.97613,0.126114,90.4332,100,3.96395,61.6745,100,4.46628
14,90.6741,5.33597,39.2573,100,75.0513,100,0.0727388,9.42946,100,13.1649
15,30.8055,8.84331,42.0504,73.6979,48.2049,34.2674,1.49701,59.9044,15.4146,56.3438
16,1.70917,5.90197,48.9621,1.85122,19.8604,100,14.2188,3.67712,100,95.1778
17,6.12134,7.20101,17.4163,37.8651,39.5295,78.5163,99.8581,64.7178,11.6051,75.974
18,0.436331,1.20518,54.6379,100,55.9617,100,16.8227,56.3275,37.6325,11.7913
19,74.4657,2.87551,40.8759,34.2433,48.2252,2.4407,3.40339,54.5585,100,0.0893629
20,19.5724,4.8381,36.4071,3.99444,3.12284,100,100,15.2435,8.28678,75.9324
21,3.67126,0.0426239,52.9859,2.72681,69.6743,1.51634,18.2948,2.12737,100,3.48328
22,90.0551,8.78477,31.0179,0.0048774,41.8388,4.3389,52.5263,37.606,1.71793,0.604384
23,0.733267,0.961501,50.1063,78.2036,0.314245,0.303599,100,1.46815,0.227787,82.1583
24,81.5079,2.26759,0.00162302,0.454838,80.5417,0.983767,100,25.9177,50.4083,0.0681573
25,6.95154,3.0844,47.9176,69.2696,73.5684,8.29328,13.9034,0.281089,58.6207,0.268527
26,19.204,7.13451,50.5044,9.76647,30.9542,0.328217,8.78265,72.1756,100,0.393941
27,1.3606,3.65924,47.3947,68.6291,0.56905,100,90.31,76.7388,2.38594,13.643
28,15.031,1.93005,46.3517,71.2437,70.9249,10.1368,10.471,76.7016,87.5909,3.41833
29,26.5881,0.0394612,95.1117,100,2.94802,6.79647,0.469642,2.28129,100,100
30,20.1877,4.96536,50.9468,43.6134,60.0161,54.4585,7.00457,74.3451,3.3216,95.1949
31,0.000658014,2.66757,13.7917,93.9263,96.4348,0.382813,15.0981,92.9727,50.5913,88.4872
32,71.2993,5.63374,47.7015,100,1.81704,89.4689,53.8424,7.12375,0.561504,0.471285
33,0.0273792,4.48508,13.4056,100,87.057,100,2.37462,0.455316,96.7236,9.35522
34,88.4754,11.4435,6.19541,0.00264879,91.0932,1.42539,0.839422,44.3959,100,5.04373
35,17.4415,5.49388,1.14907,100,22.747,0.260131,97.4151,3.13003,0.510221,67.5151
36,100,0.082061,61.9974,4.17446,0.565826,3.79959,92.3818,46.6531,0.00170376,14.3896
37,95.4174,2.032,46.4837,2.97348,65.3823,96.1948,1.29129,75.6752,89.3114,89.2857
38,0.223784,0.18121,30.484,100,97.5796,100,4.99843,13.3178,16.2892,0.170273
39,100,12.735,4.51023,88.8541,91.8291,100,22.9034,74.5749,0.700214,5.72361
40,2.98872,7.16455,22.5741,9.22092,93.0747,100,0.0359922,4.57315,0.00177227,18.958
41,74.0861,6.77769,37.3887,10.6642,2.76847,22.2899,49.6473,100,75.4374,98.3396
42,39.3543,2.9824,38.6521,100,13.6748,3.97409,100,15.8836,100,74.087
43,66.4847,2.6255,62.0371,41.0189,39.4135,76.5611,0.96101,93.6207,71.0477,34.6239
44,92.1098,1.06438,8.04448,0.003353,87.822,2.72914,5.52609,77.8613,100,82.2176
45,0.023017,0.00210539,78.5538,100,41.4881,1.66298,7.92917,44.9784,3.99539,2.464
46,51.2078,4.12334,90.7872,11.7526,5.41544,15.0832,13.2632,54.9349,18.946,1.05129
47,79.7401,5.81303,64.8131,2.59654,9.43843,6.38844,11.4102,100,83.6495,98.0897
48,0.0592937,5.66992,52.2961,67.7895,79.8049,3.33072,0.493814,74.5952,7.89921,40.0952
49,0.68915,5.6219,38.4215,36.2817,0.795465,0.000453062,100,0.81413,100,3.16041
50,0.432007,0.0866792,66.496,100,1.32077,100,55.3761,83.1468,100,19.4513
51,8.4842,9.46709,8.68289,0.633839,66.9951,6.74989,77.8515,3.25708,11.9833,0.72517
