real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017
0,61.3484,101.883,50.2934,44.5118,17.0571,9.92366,19.7032,58.4595,10.5562
1,58.9661,96.6579,48.8102,43.3061,16.3482,9.31101,18.7694,56.1151,10.1058
2,57.8124,94.5306,47.842,42.5679,16.1206,9.16952,18.4136,54.9682,10.019
3,73.902,122.426,62.1138,54.2722,20.2059,11.5755,23.5232,70.4645,11.5609
4,57.7961,100.085,45.3847,40.4196,16.5238,10.2011,19.3303,55.2324,11.2106
5,61.3523,100.196,51.1473,45.3203,17.0737,9.67267,19.5405,58.2769,10.3277
6,34.473,61.9187,23.4536,22.5729,11.1294,7.42615,12.4626,32.7982,9.65802
7,65.5738,113.167,52.5559,46.3517,18.4949,11.2702,21.7293,62.6838,11.8997
8,64.2272,107.827,52.7496,46.6278,18.0139,10.5925,20.8682,61.1963,11.2072
9,65.4679,109.072,54.0763,47.5393,18.2027,10.3,21.3445,61.9306,11.1709
10,66.1921,108.22,55.7225,49.0002,18.0665,10.1763,20.858,63.0486,10.5678
11,59.3414,102.503,46.9598,41.7078,17.0004,10.3054,19.9594,56.4809,11.4406
12,45.3115,83.6739,31.8621,29.3481,14.0244,9.5538,16.3373,43.5014,11.2767
13,53.8063,92.4356,42.0234,37.8771,15.5437,9.93236,17.6747,51.8829,10.5745
14,60.1609,105.04,47.203,42.1113,17.404,10.9982,20.1861,57.7022,11.7281
15,51.1986,88.627,39.4889,35.7277,15.0425,9.41348,17.2509,48.9532,10.6626
16,53.4287,90.4596,42.4151,38.0025,15.3149,9.10015,17.7546,50.7009,10.4453
17,55.885,95.5894,43.95,39.3992,16.1827,9.94169,18.5686,53.4175,10.8481
18,41.3906,68.4658,32.0059,29.8205,12.5485,7.65044,13.667,39.3865,9.15257
19,37.8521,63.908,28.0857,26.3785,11.4885,7.2022,12.7221,36.0385,8.97417
20,58.906,105.777,44.6674,39.7922,17.3012,11.1019,20.4963,56.3339,12.2868
21,63.3718,103.507,53.0499,46.7421,17.2587,9.76921,19.9405,60.3716,10.2529
22,63.0949,110.704,49.4349,43.6789,17.9383,11.2411,21.1928,60.519,11.9699
23,60.0322,99.6397,49.1538,43.5789,16.9222,9.58344,19.5977,56.7697,10.6649
24,62.012,104.006,50.3086,44.5944,17.3234,10.4576,19.8801,59.5235,10.7255
25,64.4662,107.816,53.0201,46.7848,17.8639,10.5126,20.6891,61.6161,10.9517
26,56.3216,95.3811,45.0349,40.1241,15.9554,9.46631,18.5823,53.5424,10.6319
27,59.903,100.347,48.7372,43.3112,17.108,9.84846,19.7855,56.6625,10.9717
28,62.2755,103.935,51.117,45.2748,17.3942,10.2135,20.0547,59.4127,10.8033
29,66.0115,107.778,55.8542,49.0083,18.111,9.7033,21.2454,62.0533,10.8218
30,60.2303,101.434,48.8338,43.3899,16.9942,10.1434,19.5789,57.5658,10.8399
31,54.8024,92.471,43.6321,39.2912,15.7572,9.77278,17.7457,52.709,10.359
32,59.782,105.828,46.2348,41.1678,17.5056,10.9214,20.6282,56.9345,12.1722
