iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,124.74,138.081,4.52726,412.464,406.992,11.7155,11.527,412.269,31.047,25.7294,149.562,141.964,16.1412,324.858,12.3346,145.426,9.6373,209.244,6.1548,207.234,292.917,212.158,17.3335,15.9065,4.87891,7.78286,63.9416,280.88,251.794,347.733,300.212,301.758,352.677,4.94321,324.212,5.24533,48.7955,28.2731,5.60558,4.99286,8.5014,346.339,5.68203,140.766,222.817,50.0796,218.842,104.791,6.75113,7.63004,16.3445,13.9173,336.287,326.928,7.06854,9.32568,7.0921,5.7322,211.671,13.2409,257.728,401.377,348.079,274.582,182.004,236.079,12.1176,344.26,6.41227,203.711,17.4365,10.9968,42.4446,402.381,347.772,173.564,20.069,15.1338,79.9324,79.4482,73.5923,230.629,22.7204,34.1198,14.6391,17.3268,8.02883,60.9133,5.29893,380.551,412.464,327.549,23.8527,12.0439,5.24849,4.55326,4.6038,11.8139,146.946,6.43403,27.544,60.5381,68.8829,4.52726
1,240,6.46582,2.51513,4.43816,18.7654,5.77305,7.23529,6.38632,5.01201,5.14537,6.26819,12.2698,4.70965,5.17755,5.88287,4.98964,6.02162,7.12946,6.76398,4.92016,8.52633,7.93464,6.1744,15.8645,14.0645,4.5584,5.32945,5.67953,5.68951,5.10376,6.25178,7.5892,6.87382,5.97891,4.59759,7.11748,5.10859,5.27974,4.76295,5.17221,4.57986,4.57367,6.36138,5.42112,5.41469,7.42869,5.1791,5.86164,4.62566,6.66443,5.11973,12.5478,5.73561,6.58676,6.33233,4.43816,6.35352,4.46445,4.46969,8.08235,10.3793,7.23368,6.04322,6.33115,7.18248,7.64168,7.4199,5.82631,5.91392,6.24181,6.81605,8.89047,9.15641,4.63647,5.98672,5.83349,4.7897,18.7654,13.2995,4.5087,4.50619,4.70984,7.25747,4.89239,4.86984,5.0256,4.80893,7.98381,5.86146,4.47365,6.48036,5.62097,6.61259,6.06591,4.96372,5.19897,4.55081,4.66706,6.14192,12.9932,5.054,5.66552,4.45602,4.56819,4.67412
2,380,5.28574,2.00561,4.40197,16.7499,4.51394,4.65004,4.74141,6.39769,4.60727,4.50554,13.3237,4.75393,4.54929,4.64922,4.78819,4.47889,7.31898,5.14377,4.43582,5.66371,5.27178,4.7901,9.68097,11.6377,4.51386,4.6115,4.59637,4.491,4.51258,4.62095,4.80968,4.43393,4.49099,4.71213,4.48573,5.003,4.43079,4.5051,4.98614,4.64537,4.57739,4.55913,5.08847,4.49113,4.85747,4.49269,4.85216,4.45332,6.56672,4.56798,8.48169,4.55774,4.76936,4.4755,4.51782,4.96784,4.85386,4.7293,5.72332,4.51688,4.49981,4.46732,4.49119,4.5044,4.80302,4.51604,4.50564,4.59507,5.63931,4.54015,4.42026,6.53819,4.50311,4.55571,4.61051,4.43318,16.7499,8.27718,4.58422,4.53056,4.8428,4.68391,4.92613,4.84401,4.51035,4.79357,7.7888,4.59892,4.57159,4.53811,4.64377,4.42596,4.77098,4.83981,5.97353,4.48979,4.60876,4.95879,13.5935,4.40197,4.43908,4.45935,4.55928,4.69545
3,520,4.95099,1.08191,4.40302,10.2894,4.51043,4.71801,4.54967,5.39121,4.64473,4.69076,9.55845,4.74452,4.60338,4.75237,4.7954,4.77075,5.16119,4.94775,4.51462,4.51791,4.54716,4.50195,5.62866,8.92141,4.4665,4.71908,4.6293,4.46556,4.51408,4.7547,4.49581,4.42061,4.55386,4.67027,4.52808,4.83612,4.4495,4.53011,4.88718,4.76526,4.56748,4.48642,4.83048,4.50649,4.60591,4.57351,4.5094,4.44609,6.34296,4.71269,4.6629,4.51899,5.07902,4.54313,4.45623,4.93152,4.68353,4.67953,4.90288,4.59128,4.76716,4.46099,4.46416,4.72708,4.56348,4.73178,4.82884,4.62942,4.96616,4.47714,4.74601,6.19684,4.52757,4.53215,4.74758,4.49499,10.1126,6.43829,4.73323,4.55234,4.98771,4.45758,4.66953,4.86321,4.52653,4.82586,7.48544,4.4754,5.01227,4.65915,4.61469,4.49455,4.45965,4.89466,5.31462,4.49681,4.63244,4.83971,10.2894,4.40302,4.42493,4.49424,4.58852,4.70399
4,565,4.94473,1.08193,4.40302,10.2894,4.51043,4.71801,4.54967,5.39121,4.64473,4.69076,9.55845,4.74452,4.60338,4.75237,4.7954,4.77075,5.16119,4.86145,4.51462,4.51791,4.54716,4.43621,5.62866,8.92141,4.4665,4.71908,4.6293,4.46556,4.51408,4.7547,4.49581,4.42061,4.55386,4.67027,4.52808,4.83612,4.4495,4.53011,4.88718,4.76526,4.56748,4.48642,4.83048,4.50649,4.60591,4.57351,4.5094,4.44609,6.34296,4.71269,4.6629,4.51899,5.07902,4.54313,4.45623,4.93152,4.68353,4.67953,4.90288,4.59128,4.76716,4.46099,4.46416,4.72708,4.56348,4.73178,4.82884,4.62942,4.96616,4.47714,4.74601,6.19684,4.52757,4.53215,4.74758,4.49499,10.1126,6.43829,4.73323,4.55234,5.0968,4.45758,4.66953,4.86321,4.52459,4.82586,7.48544,4.4754,5.01227,4.65915,4.61469,4.49455,4.45965,4.89466,4.73351,4.49681,4.63244,4.83971,10.2894,4.40302,4.42493,4.49424,4.58852,4.70399
5,705,4.78794,0.649915,4.40237,9.13996,4.50803,4.66539,4.54351,5.51666,4.65321,4.66,6.41898,4.73974,4.60626,4.78141,4.79417,4.7436,4.70293,4.75244,4.58302,4.45522,4.5001,4.4477,4.52781,7.17603,4.44303,4.70977,4.63696,4.46549,4.5142,4.75315,4.51717,4.40755,4.55689,4.69332,4.54577,4.74516,4.43589,4.5904,4.78438,4.97952,4.56607,4.48415,4.69007,4.61197,4.52044,4.5771,4.42903,4.45426,6.11558,4.67291,5.36294,4.51859,5.10728,4.59227,4.46417,4.89395,4.74695,4.68078,4.76953,4.52584,4.70988,4.45577,4.46628,4.59557,4.49429,4.66337,4.71607,4.64435,4.69986,4.48694,4.78725,6.25931,4.53317,4.53377,4.74319,4.50387,4.57898,4.64387,4.73951,4.54842,5.16381,4.44681,4.66549,4.85478,4.52319,4.88599,7.06428,4.42368,4.96982,4.70406,4.61773,4.56988,4.45948,4.87585,4.55513,4.49281,4.62181,4.83862,9.13996,4.40237,4.42448,4.57553,4.67131,4.70448
6,845,4.75221,0.532106,4.39354,8.66554,4.50564,4.66055,4.54012,5.54023,4.65737,4.65743,4.6045,4.7342,4.61189,4.79304,4.79542,4.74201,4.51276,4.66732,4.62006,4.48576,4.48429,4.51261,4.44429,5.65521,4.43061,4.70623,4.6424,4.46822,4.51715,4.7522,4.53943,4.40577,4.55392,4.69052,4.55634,4.69724,4.4273,4.63521,4.71464,5.15284,4.56476,4.48321,4.63535,4.72563,4.50068,4.56896,4.49626,4.46023,5.98231,4.68009,5.07466,4.51632,5.15175,4.62353,4.46304,4.85878,4.77681,4.68002,4.72011,4.53323,4.69774,4.45067,4.46385,4.62482,4.4484,4.66716,4.72952,4.6557,4.61486,4.47724,4.80943,6.26207,4.52931,4.54387,4.73551,4.5162,4.71735,4.72059,4.74152,4.54469,5.20989,4.44634,4.66625,4.85383,4.52187,4.95464,6.63415,4.39354,4.96971,4.7977,4.62723,4.64468,4.45951,4.89377,5.03809,4.48289,4.61058,4.84191,8.66554,4.40135,4.42367,4.65664,4.76776,4.69905
7,985,4.75781,0.519571,4.37536,8.44624,4.50332,4.65224,4.53747,5.55166,4.65986,4.65656,4.48089,4.72869,4.61173,4.79736,4.7954,4.73914,4.46472,4.66306,4.63487,4.5205,4.4766,4.5973,4.47106,4.72185,4.42984,4.70198,4.64684,4.47194,4.52799,4.75099,4.56711,4.40481,4.55001,4.6941,4.56714,4.68655,4.42128,4.68793,4.65509,5.46706,4.56443,4.48235,4.61704,4.83309,4.50194,4.55863,4.59766,4.46517,6.14654,4.67708,5.16591,4.51398,5.20141,4.65271,4.46494,4.82095,4.81218,4.6812,4.69606,4.53288,4.6754,4.44611,4.46083,4.61355,4.43254,4.66064,4.72869,4.66441,4.60555,4.45371,4.82685,6.36945,4.52298,4.56504,4.72789,4.50991,4.55442,5.18191,4.74042,4.54087,5.24698,4.44415,4.66776,4.85669,4.51893,5.04324,6.48815,4.37536,4.96372,4.95787,4.6444,4.71921,4.45955,4.91514,5.16749,4.47335,4.59329,4.84903,8.44624,4.40028,4.42277,4.76855,4.90377,4.69332
8,1030,4.7584,0.521693,4.37536,8.44624,4.50182,4.65224,4.53747,5.55166,4.65986,4.65565,4.48089,4.72869,4.61173,4.79736,4.7954,4.73914,4.46472,4.66306,4.63487,4.5205,4.4766,4.5973,4.47106,4.72185,4.42984,4.70198,4.64684,4.47194,4.52799,4.75099,4.56711,4.40481,4.55001,4.6941,4.56714,4.68655,4.42128,4.68793,4.65509,5.46706,4.56443,4.48235,4.61704,4.83309,4.50194,4.55863,4.59766,4.46517,6.14654,4.67708,5.16591,4.51398,5.20141,4.65271,4.46494,4.82095,4.81218,4.6812,4.69606,4.53288,4.6754,4.44611,4.46083,4.61355,4.43254,4.66064,4.72869,4.66441,4.60555,4.45371,4.82685,6.4358,4.52298,4.56504,4.72789,4.50797,4.55442,5.18191,4.74042,4.54087,5.24698,4.44415,4.66776,4.85669,4.51893,5.04324,6.48815,4.37536,4.96028,4.95787,4.6444,4.71921,4.45955,4.91514,5.16749,4.47335,4.59329,4.84903,8.44624,4.40028,4.42277,4.76855,4.90377,4.69332
9,1075,4.75899,0.523759,4.37536,8.44624,4.50038,4.65224,4.53747,5.55166,4.65986,4.65533,4.48089,4.72869,4.61173,4.79736,4.7954,4.73914,4.46472,4.66306,4.63487,4.5205,4.4766,4.5973,4.47106,4.72185,4.42984,4.70198,4.64684,4.47194,4.52799,4.75099,4.56711,4.40481,4.55001,4.6941,4.56714,4.68655,4.42128,4.68793,4.65509,5.46706,4.56443,4.48235,4.61704,4.83309,4.50194,4.55863,4.59766,4.46517,6.14654,4.67708,5.16591,4.51398,5.20141,4.65271,4.46494,4.82095,4.81218,4.6812,4.69606,4.53288,4.6754,4.44611,4.46083,4.61355,4.43254,4.66064,4.72869,4.66441,4.60555,4.45371,4.82685,6.49812,4.52298,4.56504,4.72789,4.50726,4.55442,5.18191,4.74042,4.54087,5.24698,4.44415,4.66776,4.85669,4.51893,5.04324,6.48815,4.37536,4.95971,4.95787,4.6444,4.71921,4.45955,4.91514,5.16749,4.47335,4.59329,4.84903,8.44624,4.40028,4.42277,4.76855,4.90377,4.69332
