iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,120.795,132.573,3.4404,406.992,406.992,14.8746,15.4561,374.022,33.8189,26.6655,143.327,130.605,14.6933,304.847,10.0218,135.057,12.8842,192.194,8.0616,197.055,293.753,192.692,21.7423,19.4708,6.97546,7.23341,57.8199,297.693,252.121,329.07,288.807,297.925,347.754,6.13663,309.13,3.4404,52.2003,32.0901,6.58707,9.18986,7.98778,347.747,6.34203,121.013,216.518,54.336,211.409,107.784,9.06502,5.64807,23.8631,13.9849,302.492,310.242,6.87707,6.72396,4.5888,6.24277,227.191,15.6467,256.979,399.412,344.541,262.351,161.755,231.369,10.3406,327.4,10.3551,186.738,16.026,10.4002,42.9413,383.618,334.887,168.728,25.3274,24.263,70.7656,74.3668,62.5125,226.655,26.3188,27.8862,14.4892,17.4294,8.45201,59.2281,8.86687,355.929,392.249,308.109,24.5342,10.1377,10.949,4.16362,4.31439,8.36978,139.865,5.28661,29.385,59.1084,69.2944,5.2927
1,240,8.14071,3.92199,2.8809,23.8174,6.18506,10.6915,10.1519,10.2528,4.38644,9.73007,14.9113,4.77415,6.14452,8.38631,5.35306,8.90276,9.74972,9.85166,6.16938,7.87335,7.53386,9.69005,20.1262,17.456,6.43603,5.47513,4.20825,7.62153,7.97555,9.64376,9.95391,7.39743,9.23055,6.11785,9.83197,3.3451,6.33216,7.2476,6.53252,9.13626,5.05353,5.89879,6.15876,5.23394,9.80191,5.60192,11.3686,5.39519,8.96196,3.94471,19.1345,6.49866,11.9659,8.41088,5.44905,4.89445,4.05038,3.94619,6.37117,12.5688,10.0339,5.86789,8.24227,10.3319,15.2224,9.47122,5.62198,7.56416,10.0898,10.8528,9.2159,8.5561,2.8809,6.48797,9.83361,7.03659,23.8174,21.8573,4.3252,4.54705,3.86969,7.90083,6.56463,4.13121,5.87928,4.23398,8.41537,8.67745,6.85446,10.5973,6.18707,9.50931,6.35234,5.88516,10.8827,4.1627,4.13814,3.97893,16.6872,4.0932,8.21249,5.95396,8.27263,5.26005
2,380,6.60893,3.22546,2.579,21.7197,4.90024,8.70433,8.2842,7.13353,2.93088,9.05121,16.1818,4.76712,6.00633,5.23843,5.37013,6.24681,10.0976,7.39885,4.97622,4.79384,5.15449,7.36339,13.3135,14.8774,6.30576,5.28212,3.64568,6.71643,7.01872,6.15774,6.63965,4.69311,7.00975,6.09527,6.07352,3.27203,5.20856,6.9413,6.5521,9.40876,5.05065,4.07766,5.9464,3.38341,6.91488,4.37323,9.76348,5.21952,8.86493,3.82692,13.8844,5.68801,6.56042,5.42639,5.28031,4.46239,3.75737,3.67541,4.79393,5.81222,6.16202,4.26885,6.02144,6.442,10.2331,5.49555,5.24302,4.88953,9.10535,6.85162,7.26222,5.91992,2.579,3.88836,7.02868,6.37854,21.7197,14.9678,4.19123,4.50833,3.83454,4.88817,5.99774,4.12581,5.6446,4.16718,8.2625,8.16541,6.26369,6.84208,3.92632,6.00232,4.85385,5.87934,12.7608,4.15469,4.26423,3.25168,17.4727,3.63643,7.24718,5.99653,8.26772,5.25857
3,520,6.09211,2.29691,2.50268,14.2526,4.88766,8.54361,8.16335,7.03081,2.92872,8.84537,12.1958,4.76267,5.98038,5.20049,5.36561,5.75393,7.25724,7.03905,4.69103,3.33504,4.55435,6.58313,8.58134,11.9925,6.13895,5.23614,3.64034,6.73012,7.02425,6.09931,5.95801,4.60221,6.97513,6.09795,5.79316,3.17047,5.16261,6.85974,6.57788,9.63945,5.05449,3.99991,5.80956,2.87508,6.5357,4.31654,9.03756,5.14679,8.64671,3.80423,6.43502,5.66436,6.38199,5.28729,5.32007,4.45938,3.77515,3.67332,4.42253,5.70152,6.15907,4.2455,5.90434,5.9078,9.52916,5.28486,5.18328,4.85937,7.86164,6.41942,7.02526,5.61865,2.50268,3.83953,7.00548,6.3559,14.2526,12.2097,4.15906,4.4942,3.82081,4.36683,5.87671,4.11434,5.61489,4.15981,8.05037,8.12219,6.16358,6.67712,3.8904,5.79173,4.60002,5.85798,11.6546,4.15231,4.18307,3.22279,13.8593,3.63452,7.18304,6.06622,8.32951,5.25601
4,565,6.07562,2.27039,2.50268,14.2526,4.88766,8.54361,8.16335,7.03081,2.92872,8.84537,12.1958,4.76267,5.98038,5.20049,5.36561,5.75393,7.25724,6.88726,4.69103,3.33504,4.55435,6.24195,8.58134,11.9925,6.13895,5.23614,3.64034,6.73012,7.02425,6.09931,5.95801,4.60221,6.97513,6.09795,5.79316,3.17047,5.16261,6.85974,6.57788,9.63945,5.05449,3.99991,5.80956,2.87508,6.5357,4.31654,9.03756,5.14679,8.64671,3.80423,6.43502,5.66436,6.38199,5.28729,5.32007,4.45938,3.77515,3.67332,4.42253,5.70152,6.15907,4.2455,5.90434,5.9078,9.52916,5.28486,5.18328,4.85937,7.86164,6.41942,7.02526,5.61865,2.50268,3.83953,7.00548,6.3559,14.2526,12.2097,4.15906,4.4942,3.82058,4.36683,5.87671,4.11434,5.61071,4.15981,8.05037,8.12219,6.16358,6.67712,3.8904,5.79173,4.60002,5.85798,10.5029,4.15231,4.18307,3.22279,13.8593,3.63452,7.18304,6.06622,8.32951,5.25601
5,705,5.83096,1.80847,2.49906,12.6771,4.87769,8.51508,8.15978,7.0066,2.92844,8.8425,8.84523,4.75888,5.97113,5.18572,5.36445,5.75215,6.54969,6.68153,4.64389,3.13527,4.49417,5.98999,6.9886,10.1127,6.02821,5.23594,3.63885,6.75015,7.04008,6.08636,5.87254,4.58631,6.97557,6.09652,5.74544,3.12169,5.13141,6.84807,6.63312,10.0016,5.0559,3.99834,5.75503,2.69997,6.36385,4.30117,8.64655,5.10948,8.42886,3.80151,6.34471,5.65123,6.32459,5.23056,5.31113,4.45919,3.72682,3.67325,4.39461,5.68774,6.1467,4.22512,5.89305,5.88833,9.26546,5.27244,5.16941,4.83857,7.23442,6.30787,6.99693,5.73079,2.49906,3.79037,7.00533,6.34814,6.8909,8.66778,4.156,4.48833,3.82131,4.36451,5.87475,4.11154,5.60727,4.19788,7.74328,8.10368,6.15959,6.55916,3.85474,5.68868,4.6033,5.84305,9.18378,4.15196,4.2068,3.22146,12.6771,3.63354,7.1818,6.20126,8.47774,5.25356
6,845,5.73525,1.70039,2.49664,12.2635,4.86801,8.51711,8.16097,6.99182,2.92814,8.84159,6.69885,4.75559,5.96219,5.17355,5.36301,5.75204,6.16087,6.50253,4.62737,3.07307,4.44999,5.82867,6.66994,8.36739,5.9485,5.23573,3.63778,6.77067,7.06452,6.07322,5.8035,4.57465,6.976,6.09747,5.70336,3.09986,5.11141,6.84637,6.69968,10.2978,5.05859,3.99859,5.74208,2.6026,6.27668,4.28912,8.45887,5.0875,8.32665,3.80118,6.31717,5.64163,6.26606,5.18594,5.31456,4.46171,3.69001,3.67327,4.38905,5.6867,6.1562,4.20543,5.88512,5.8825,9.01332,5.27925,5.16954,4.81967,6.98802,6.30998,6.97752,5.79256,2.49664,3.74268,7.00508,6.34322,6.12926,6.949,4.15322,4.48435,3.82328,4.36475,5.87439,4.1093,5.60421,4.25018,7.44055,8.10845,6.15906,6.4466,3.82024,5.6092,4.60583,5.82647,8.87548,4.15392,4.25335,3.22109,12.2635,3.63269,7.18072,6.32933,8.63757,5.25114
7,985,5.72119,1.70133,2.49455,12.1592,4.85886,8.5196,8.16408,6.97838,2.92789,8.84089,6.36425,4.75276,5.95437,5.16349,5.36254,5.75199,5.9428,6.51139,4.62006,3.03319,4.41147,5.73542,6.62064,7.14906,5.8952,5.23582,3.63706,6.78982,7.10697,6.06041,5.74343,4.56511,6.97646,6.09838,5.66471,3.09803,5.09795,6.8732,6.80804,10.815,5.06202,3.99908,5.74011,2.54328,6.22272,4.28041,8.40937,5.07644,8.58784,3.80077,6.31934,5.63456,6.21104,5.14727,5.3195,4.46816,3.65355,3.67329,4.38756,5.68616,6.16753,4.18712,5.87877,5.87687,8.85649,5.28571,5.16917,4.80254,7.01819,6.41812,6.96381,5.96978,2.49455,3.69964,7.00491,6.33482,6.10489,6.76829,4.15068,4.48165,3.82787,4.36493,5.87477,4.10755,5.60197,4.32088,7.38518,8.14584,6.1584,6.36197,3.78945,5.54494,4.60833,5.81078,8.86336,4.15883,4.40138,3.22162,12.1592,3.63196,7.17975,6.5096,8.85675,5.24916
8,1030,5.7223,1.70156,2.49455,12.1592,4.85299,8.5196,8.16408,6.97838,2.92789,8.84075,6.36425,4.75276,5.95437,5.16349,5.36254,5.75199,5.9428,6.51139,4.62006,3.03319,4.41147,5.73542,6.62064,7.14906,5.8952,5.23582,3.63706,6.78982,7.10697,6.06041,5.74343,4.56511,6.97646,6.09838,5.66471,3.09803,5.09795,6.8732,6.80804,10.815,5.06202,3.99908,5.74011,2.54328,6.22272,4.28041,8.40937,5.07644,8.58784,3.80077,6.31934,5.63456,6.21104,5.14727,5.3195,4.46816,3.65355,3.67329,4.38756,5.68616,6.16753,4.18712,5.87877,5.87687,8.85649,5.28571,5.16917,4.80254,7.01819,6.41812,6.96381,6.09073,2.49455,3.69964,7.00491,6.33071,6.10489,6.76829,4.15068,4.48165,3.82787,4.36493,5.87477,4.10755,5.60197,4.32088,7.38518,8.14584,6.15804,6.36197,3.78945,5.54494,4.60833,5.81078,8.86336,4.15883,4.40138,3.22162,12.1592,3.63196,7.17975,6.5096,8.85675,5.24916
9,1075,5.72344,1.70189,2.49455,12.1592,4.84749,8.5196,8.16408,6.97838,2.92789,8.8408,6.36425,4.75276,5.95437,5.16349,5.36254,5.75199,5.9428,6.51139,4.62006,3.03319,4.41147,5.73542,6.62064,7.14906,5.8952,5.23582,3.63706,6.78982,7.10697,6.06041,5.74343,4.56511,6.97646,6.09838,5.66471,3.09803,5.09795,6.8732,6.80804,10.815,5.06202,3.99908,5.74011,2.54328,6.22272,4.28041,8.40937,5.07644,8.58784,3.80077,6.31934,5.63456,6.21104,5.14727,5.3195,4.46816,3.65355,3.67329,4.38756,5.68616,6.16753,4.18712,5.87877,5.87687,8.85649,5.28571,5.16917,4.80254,7.01819,6.41812,6.96381,6.21371,2.49455,3.69964,7.00491,6.32728,6.10489,6.76829,4.15068,4.48165,3.82787,4.36493,5.87477,4.10755,5.60197,4.32088,7.38518,8.14584,6.15781,6.36197,3.78945,5.54494,4.60833,5.81078,8.86336,4.15883,4.40138,3.22162,12.1592,3.63196,7.17975,6.5096,8.85675,5.24916
