iteration,total_runs,obs_realization,par_realization,din,all_params
0,100,0,0,406.992,0
0,100,1,1,11.7155,0
0,100,2,2,11.527,0
0,100,3,3,412.269,0
0,100,4,4,31.047,0
0,100,5,5,25.7294,0
0,100,6,6,149.562,0
0,100,7,7,141.964,0
0,100,8,8,16.1412,0
0,100,9,9,324.858,0
0,100,10,10,12.3346,0
0,100,11,11,145.426,0
0,100,12,12,9.6373,0
0,100,13,13,209.244,0
0,100,14,14,6.1548,0
0,100,15,15,207.234,0
0,100,16,16,292.917,0
0,100,17,17,212.158,0
0,100,18,18,17.3335,0
0,100,19,19,15.9065,0
0,100,20,20,4.87891,0
0,100,21,21,7.78286,0
0,100,22,22,63.9416,0
0,100,23,23,280.88,0
0,100,24,24,251.794,0
0,100,25,25,347.733,0
0,100,26,26,300.212,0
0,100,27,27,301.758,0
0,100,28,28,352.677,0
0,100,29,29,4.94321,0
0,100,30,30,324.212,0
0,100,31,31,5.24533,0
0,100,32,32,48.7955,0
0,100,33,33,28.2731,0
0,100,34,34,5.60558,0
0,100,35,35,4.99286,0
0,100,36,36,8.5014,0
0,100,37,37,346.339,0
0,100,38,38,5.68203,0
0,100,39,39,140.766,0
0,100,40,40,222.817,0
0,100,41,41,50.0796,0
0,100,42,42,218.842,0
0,100,43,43,104.791,0
0,100,44,44,6.75113,0
0,100,45,45,7.63004,0
0,100,46,46,16.3445,0
0,100,47,47,13.9173,0
0,100,48,48,336.287,0
0,100,49,49,326.928,0
0,100,50,50,7.06854,0
0,100,51,51,9.32568,0
0,100,52,52,7.0921,0
0,100,53,53,5.7322,0
0,100,54,54,211.671,0
0,100,55,55,13.2409,0
0,100,56,56,257.728,0
0,100,57,57,401.377,0
0,100,58,58,348.079,0
0,100,59,59,274.582,0
0,100,60,60,182.004,0
0,100,61,61,236.079,0
0,100,62,62,12.1176,0
0,100,63,63,344.26,0
0,100,64,64,6.41227,0
0,100,65,65,203.711,0
0,100,66,66,17.4365,0
0,100,67,67,10.9968,0
0,100,68,68,42.4446,0
0,100,69,69,402.381,0
0,100,70,70,347.772,0
0,100,71,71,173.564,0
0,100,72,72,20.069,0
0,100,73,73,15.1338,0
0,100,74,74,79.9324,0
0,100,75,75,79.4482,0
0,100,76,76,73.5923,0
0,100,77,77,230.629,0
0,100,78,78,22.7204,0
0,100,79,79,34.1198,0
0,100,80,80,14.6391,0
0,100,81,81,17.3268,0
0,100,82,82,8.02883,0
0,100,83,83,60.9133,0
0,100,84,84,5.29893,0
0,100,85,85,380.551,0
0,100,86,86,412.464,0
0,100,87,87,327.549,0
0,100,88,88,23.8527,0
0,100,89,89,12.0439,0
0,100,90,90,5.24849,0
0,100,91,91,4.55326,0
0,100,92,92,4.6038,0
0,100,93,93,11.8139,0
0,100,94,94,146.946,0
0,100,95,95,6.43403,0
0,100,96,96,27.544,0
0,100,97,97,60.5381,0
0,100,98,98,68.8829,0
0,100,99,99,4.52726,0
1,240,0,0,5.77305,1.17718
1,240,1,1,7.23529,0.0199085
1,240,2,2,6.38632,0.0221551
1,240,3,3,5.01201,1.07188
1,240,4,4,5.14537,0.0991673
1,240,5,5,6.26819,0.0604385
1,240,6,6,12.2698,0.428796
1,240,7,7,4.70965,0.366723
1,240,8,8,5.17755,0.0340823
1,240,9,9,5.88287,0.880926
1,240,10,10,4.98964,0.021591
1,240,11,11,6.02162,0.394475
1,240,12,12,7.12946,0.029097
1,240,13,13,6.76398,0.567807
1,240,14,14,4.92016,0.0151622
1,240,15,15,8.52633,0.577608
1,240,16,16,7.93464,0.846294
1,240,17,17,6.1744,0.563032
1,240,18,18,15.8645,0.0473276
1,240,19,19,14.0645,0.0445871
1,240,20,20,4.5584,0.0172941
1,240,21,21,5.32945,0.00686978
1,240,22,22,5.67953,0.169
1,240,23,23,5.68951,0.883223
1,240,24,24,5.10376,0.741964
1,240,25,25,6.25178,0.947821
1,240,26,26,7.5892,0.829202
1,240,27,27,6.87382,0.863043
1,240,28,28,5.97891,1.00275
1,240,29,29,4.59759,0.000794157
1,240,30,30,7.11748,0.887029
1,240,31,31,5.10859,0.00150311
1,240,32,32,5.27974,0.137951
1,240,33,33,4.76295,0.0897856
1,240,34,34,5.17221,0.00139426
1,240,35,35,4.57986,0.0125887
1,240,36,36,4.57367,0.0172668
1,240,37,37,6.36138,1.00925
1,240,38,38,5.42112,0.00273865
1,240,39,39,5.41469,0.352228
1,240,40,40,7.42869,0.62478
1,240,41,41,5.1791,0.146257
1,240,42,42,5.86164,0.625593
1,240,43,43,4.62566,0.307731
1,240,44,44,6.66443,0.0107354
1,240,45,45,5.11973,0.0062447
1,240,46,46,12.5478,0.0605596
1,240,47,47,5.73561,0.0243762
1,240,48,48,6.58676,0.86786
1,240,49,49,6.33233,0.893628
1,240,50,50,4.43816,0.0171613
1,240,51,51,6.35352,0.00665562
1,240,52,52,4.46445,0.0125592
1,240,53,53,4.46969,0.00873965
1,240,54,54,8.08235,0.673721
1,240,55,55,10.3793,0.0327698
1,240,56,56,7.23368,0.76992
1,240,57,57,6.04322,1.15729
1,240,58,58,6.33115,0.994013
1,240,59,59,7.18248,0.761535
1,240,60,60,7.64168,0.482258
1,240,61,61,7.4199,0.692364
1,240,62,62,5.82631,0.0170486
1,240,63,63,5.91392,0.94579
1,240,64,64,6.24181,0.013791
1,240,65,65,6.81605,0.553681
1,240,66,66,8.89047,0.0268952
1,240,67,67,9.15641,0.0238726
1,240,68,68,4.63647,0.118792
1,240,69,69,5.98672,1.10948
1,240,70,70,5.83349,0.966747
1,240,71,71,4.7897,0.476712
1,240,72,72,18.7654,0.060526
1,240,73,73,13.2995,0.0553133
1,240,74,74,4.5087,0.194657
1,240,75,75,4.50619,0.206352
1,240,76,76,4.70984,0.171156
1,240,77,77,7.25747,0.671707
1,240,78,78,4.89239,0.0754081
1,240,79,79,4.86984,0.0708942
1,240,80,80,5.0256,0.0327831
1,240,81,81,4.80893,0.0414563
1,240,82,82,7.98381,0.00870702
1,240,83,83,5.86146,0.155387
1,240,84,84,4.47365,0.00899478
1,240,85,85,6.48036,1.02216
1,240,86,86,5.62097,1.13417
1,240,87,87,6.61259,0.883457
1,240,88,88,6.06591,0.0632173
1,240,89,89,4.96372,0.0220487
1,240,90,90,5.19897,0.0190443
1,240,91,91,4.55081,7.72369e-05
1,240,92,92,4.66706,0.00171404
1,240,93,93,6.14192,0.016601
1,240,94,94,12.9932,0.435844
1,240,95,95,5.054,0.0057004
1,240,96,96,5.66552,0.0754208
1,240,97,97,4.45602,0.176404
1,240,98,98,4.56819,0.196082
1,240,99,99,4.67412,0.000678775
2,380,0,0,4.51394,1.10373
2,380,1,1,4.65004,0.0814123
2,380,2,2,4.74141,0.0853804
2,380,3,3,6.39769,1.01015
2,380,4,4,4.60727,0.193575
2,380,5,5,4.50554,0.122265
