iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,120.795,132.573,3.4404,406.992,406.992,14.8746,15.4561,374.022,33.8189,26.6655,143.327,130.605,14.6933,304.847,10.0218,135.057,12.8842,192.194,8.0616,197.055,293.753,192.692,21.7423,19.4708,6.97546,7.23341,57.8199,297.693,252.121,329.07,288.807,297.925,347.754,6.13663,309.13,3.4404,52.2003,32.0901,6.58707,9.18986,7.98778,347.747,6.34203,121.013,216.518,54.336,211.409,107.784,9.06502,5.64807,23.8631,13.9849,302.492,310.242,6.87707,6.72396,4.5888,6.24277,227.191,15.6467,256.979,399.412,344.541,262.351,161.755,231.369,10.3406,327.4,10.3551,186.738,16.026,10.4002,42.9413,383.618,334.887,168.728,25.3274,24.263,70.7656,74.3668,62.5125,226.655,26.3188,27.8862,14.4892,17.4294,8.45201,59.2281,8.86687,355.929,392.249,308.109,24.5342,10.1377,10.949,4.16362,4.31439,8.36978,139.865,5.28661,29.385,59.1084,69.2944,5.2927
1,240,8.02004,3.90926,2.83932,23.7962,5.77305,10.6846,10.1441,9.87761,4.35173,9.70891,14.7612,4.64579,6.13259,8.07798,5.34551,8.7647,9.73953,9.65293,6.16408,7.67119,7.23765,9.49299,20.1097,17.4404,6.42998,5.47273,4.1491,7.3124,7.71586,9.31202,9.66369,7.09537,8.87959,6.11757,9.52151,3.34457,6.28387,7.21617,6.53203,9.13185,5.04749,5.54555,6.1578,5.11066,9.58324,5.55072,11.1497,5.28748,8.95821,3.94252,19.1133,6.49013,11.6622,8.09811,5.44304,4.89212,4.04598,3.94314,6.13537,12.5573,9.7644,5.46284,7.89437,10.0653,15.0536,9.22889,5.61601,7.23314,10.085,10.659,9.20649,8.54775,2.83932,6.09965,9.49525,6.86974,23.7962,21.8379,4.25707,4.47483,3.80978,7.66574,6.53824,4.1064,5.86781,4.21948,8.41232,8.62307,6.85132,10.2396,5.79011,9.2001,6.33021,5.87744,10.8761,4.16268,4.13754,3.97312,16.5347,4.09121,8.18609,5.89222,8.20401,5.25982
2,380,6.4728,3.21388,2.52676,21.5224,4.51394,8.67584,8.25431,6.77998,2.86313,9.00841,15.9657,4.63751,5.98765,4.94198,5.36171,6.08574,10.0271,7.17631,4.9459,4.58703,4.88181,7.1577,13.1537,14.7336,6.29289,5.27512,3.56658,6.3827,6.74788,5.84026,6.37652,4.40254,6.66476,6.09508,5.78467,3.26815,5.13723,6.9014,6.5507,9.39294,5.04472,3.73216,5.9401,3.26009,6.69741,4.29651,9.51952,5.09664,8.84651,3.82169,13.7039,5.668,6.27817,5.14188,5.27655,4.45441,3.75526,3.66703,4.54695,5.72018,5.84677,3.89543,5.68748,6.16576,10.0087,5.21343,5.22815,4.5798,9.06485,6.62553,7.2294,5.84919,2.52676,3.54168,6.69105,6.22057,21.5224,14.8371,4.12683,4.43438,3.77851,4.6317,5.94941,4.10069,5.62445,4.15055,8.24371,8.09967,6.25024,6.53603,3.56752,5.72768,4.79969,5.87063,12.7177,4.1546,4.26035,3.23325,17.2117,3.62739,7.19498,5.92175,8.18839,5.25817
3,520,5.93914,2.25072,2.44178,13.6861,4.51043,8.52071,8.13908,6.67686,2.85894,8.81355,11.8679,4.63007,5.96356,4.91603,5.35752,5.58756,7.07247,6.81134,4.64323,3.13967,4.31223,6.39061,8.23394,11.64,6.11308,5.23101,3.56331,6.36242,6.7435,5.79419,5.72818,4.32507,6.63032,6.09731,5.52986,3.15992,5.08388,6.80407,6.57409,9.60158,5.04717,3.65805,5.79601,2.76314,6.33545,4.23008,8.78742,5.00248,8.58005,3.80022,6.02798,5.64196,6.12602,5.02965,5.31238,4.45171,3.76954,3.66535,4.17627,5.5936,5.8164,3.88625,5.58135,5.63805,9.29824,4.98674,5.17225,4.56451,7.74863,6.19018,6.99916,5.5008,2.44178,3.51535,6.66514,6.20541,13.6861,11.9194,4.09839,4.41768,3.76839,4.10765,5.83744,4.08934,5.59743,4.14007,7.98226,8.04762,6.14364,6.40856,3.55023,5.55129,4.55917,5.84832,11.5277,4.15216,4.17021,3.20036,13.4419,3.62559,7.13771,5.97748,8.24048,5.25525
4,565,5.92157,2.22177,2.44178,13.6861,4.51043,8.52071,8.13908,6.67686,2.85894,8.81355,11.8679,4.63007,5.96356,4.91603,5.35752,5.58756,7.07247,6.64116,4.64323,3.13967,4.31223,6.04646,8.23394,11.64,6.11308,5.23101,3.56331,6.36242,6.7435,5.79419,5.72818,4.32507,6.63032,6.09731,5.52986,3.15992,5.08388,6.80407,6.57409,9.60158,5.04717,3.65805,5.79601,2.76314,6.33545,4.23008,8.78742,5.00248,8.58005,3.80022,6.02798,5.64196,6.12602,5.02965,5.31238,4.45171,3.76954,3.66535,4.17627,5.5936,5.8164,3.88625,5.58135,5.63805,9.29824,4.98674,5.17225,4.56451,7.74863,6.19018,6.99916,5.5008,2.44178,3.51535,6.66514,6.20541,13.6861,11.9194,4.09839,4.41768,3.76985,4.10765,5.83744,4.08934,5.5934,4.14007,7.98226,8.04762,6.14364,6.40856,3.55023,5.55129,4.55917,5.84832,10.2878,4.15216,4.17021,3.20036,13.4419,3.62559,7.13771,5.97748,8.24048,5.25525
5,705,5.66237,1.75533,2.43675,12.0999,4.50803,8.4848,8.12985,6.66269,2.85848,8.80965,8.39159,4.62354,5.95422,4.90995,5.3554,5.58548,6.30298,6.41091,4.58839,2.95021,4.26972,5.78916,6.55728,9.58607,5.98753,5.23047,3.56214,6.34718,6.74829,5.78955,5.66308,4.31652,6.62708,6.09514,5.49898,3.1055,5.04838,6.77511,6.6253,9.9279,5.04614,3.65429,5.73691,2.5949,6.17499,4.21195,8.37765,4.94438,8.30879,3.79707,5.91072,5.62731,6.08832,4.99176,5.29853,4.45155,3.71677,3.66508,4.1448,5.58301,5.77767,3.87808,5.57416,5.62254,9.01342,4.96147,5.15717,4.55575,7.06028,6.07183,6.9673,5.56323,2.43675,3.48654,6.65968,6.20173,6.0614,8.22523,4.09626,4.40859,3.77075,4.10326,5.83592,4.08608,5.58972,4.17605,7.62347,8.02039,6.14022,6.31798,3.53201,5.47226,4.56074,5.83102,8.88472,4.15164,4.18417,3.19781,12.0999,3.62458,7.13639,6.09181,8.3733,5.25232
6,845,5.55608,1.64502,2.43355,11.5393,4.50564,8.47858,8.12459,6.65651,2.8582,8.80813,6.16796,4.61753,5.94467,4.90574,5.35184,5.58481,5.8698,6.21227,4.56706,2.90023,4.24124,5.62463,6.20547,7.69619,5.89242,5.22977,3.56111,6.32993,6.76205,5.78447,5.61166,4.31185,6.62367,6.09506,5.47236,3.07847,5.02345,6.75399,6.68538,10.1715,5.04512,3.65204,5.72112,2.50479,6.09979,4.19715,8.17437,4.90023,8.14568,3.79646,5.88974,5.61582,6.04783,4.96325,5.29455,4.45374,3.67355,3.66486,4.13647,5.58119,5.75886,3.8699,5.56992,5.62035,8.74095,4.95442,5.15694,4.54795,6.75864,6.07008,6.94291,5.56591,2.43355,3.45734,6.65404,6.20003,5.2148,6.41676,4.09418,4.40153,3.77196,4.1011,5.83534,4.08339,5.58597,4.22603,7.26314,8.01589,6.13983,6.22827,3.51356,5.41275,4.5612,5.8114,8.53724,4.15335,4.21865,3.1965,11.5393,3.62363,7.13506,6.19617,8.51419,5.24931
7,985,5.53311,1.63846,2.4308,11.2788,4.50332,8.47144,8.1203,6.65092,2.85796,8.80671,5.81412,4.61199,5.9358,4.90295,5.34808,5.58413,5.61966,6.20141,4.55613,2.87101,4.2162,5.52988,6.142,6.37055,5.82387,5.22916,3.56026,6.3093,6.79405,5.77928,5.5661,4.30848,6.62026,6.09462,5.44741,3.07151,5.00472,6.75935,6.78402,10.6253,5.04358,3.64996,5.71704,2.45171,6.05673,4.18538,8.11245,4.86608,8.33411,3.79567,5.88913,5.60666,6.00856,4.93807,5.28974,4.45938,3.62903,3.66459,4.13231,5.58001,5.74076,3.86211,5.56707,5.61783,8.56342,4.94675,5.15611,4.54083,6.73339,6.17425,6.92327,5.67792,2.4308,3.43054,6.64845,6.19395,5.18021,6.20604,4.09214,4.3959,3.7751,4.09869,5.83493,4.08114,5.58267,4.29315,7.14459,8.04329,6.13922,6.16078,3.49703,5.36425,4.56141,5.79188,8.51359,4.15787,4.35108,3.19626,11.2788,3.62277,7.13375,6.34905,8.70879,5.24661
8,1030,5.53376,1.63852,2.4308,11.2788,4.50182,8.47144,8.1203,6.65092,2.85796,8.806,5.81412,4.61199,5.9358,4.90295,5.34808,5.58413,5.61966,6.20141,4.55613,2.87101,4.2162,5.52988,6.142,6.37055,5.82387,5.22916,3.56026,6.3093,6.79405,5.77928,5.5661,4.30848,6.62026,6.09462,5.44741,3.07151,5.00472,6.75935,6.78402,10.6253,5.04358,3.64996,5.71704,2.45171,6.05673,4.18538,8.11245,4.86608,8.33411,3.79567,5.88913,5.60666,6.00856,4.93807,5.28974,4.45938,3.62903,3.66459,4.13231,5.58001,5.74076,3.86211,5.56707,5.61783,8.56342,4.94675,5.15611,4.54083,6.73339,6.17425,6.92327,5.74805,2.4308,3.43054,6.64845,6.19121,5.18021,6.20604,4.09214,4.3959,3.7751,4.09869,5.83493,4.08114,5.58267,4.29315,7.14459,8.04329,6.13885,6.16078,3.49703,5.36425,4.56141,5.79188,8.51359,4.15787,4.35108,3.19626,11.2788,3.62277,7.13375,6.34905,8.70879,5.24661
9,1075,5.53437,1.63861,2.4308,11.2788,4.50038,8.47144,8.1203,6.65092,2.85796,8.80543,5.81412,4.61199,5.9358,4.90295,5.34808,5.58413,5.61966,6.20141,4.55613,2.87101,4.2162,5.52988,6.142,6.37055,5.82387,5.22916,3.56026,6.3093,6.79405,5.77928,5.5661,4.30848,6.62026,6.09462,5.44741,3.07151,5.00472,6.75935,6.78402,10.6253,5.04358,3.64996,5.71704,2.45171,6.05673,4.18538,8.11245,4.86608,8.33411,3.79567,5.88913,5.60666,6.00856,4.93807,5.28974,4.45938,3.62903,3.66459,4.13231,5.58001,5.74076,3.86211,5.56707,5.61783,8.56342,4.94675,5.15611,4.54083,6.73339,6.17425,6.92327,5.81401,2.4308,3.43054,6.64845,6.18903,5.18021,6.20604,4.09214,4.3959,3.7751,4.09869,5.83493,4.08114,5.58267,4.29315,7.14459,8.04329,6.13859,6.16078,3.49703,5.36425,4.56141,5.79188,8.51359,4.15787,4.35108,3.19626,11.2788,3.62277,7.13375,6.34905,8.70879,5.24661
