iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,240,0.344775,0.388989,7.72369e-05,1.17718,1.17718,0.0199085,0.0221551,1.07188,0.0991673,0.0604385,0.428796,0.366723,0.0340823,0.880926,0.021591,0.394475,0.029097,0.567807,0.0151622,0.577608,0.846294,0.563032,0.0473276,0.0445871,0.0172941,0.00686978,0.169,0.883223,0.741964,0.947821,0.829202,0.863043,1.00275,0.000794157,0.887029,0.00150311,0.137951,0.0897856,0.00139426,0.0125887,0.0172668,1.00925,0.00273865,0.352228,0.62478,0.146257,0.625593,0.307731,0.0107354,0.0062447,0.0605596,0.0243762,0.86786,0.893628,0.0171613,0.00665562,0.0125592,0.00873965,0.673721,0.0327698,0.76992,1.15729,0.994013,0.761535,0.482258,0.692364,0.0170486,0.94579,0.013791,0.553681,0.0268952,0.0238726,0.118792,1.10948,0.966747,0.476712,0.060526,0.0553133,0.194657,0.206352,0.171156,0.671707,0.0754081,0.0708942,0.0327831,0.0414563,0.00870702,0.155387,0.00899478,1.02216,1.13417,0.883457,0.0632173,0.0220487,0.0190443,7.72369e-05,0.00171404,0.016601,0.435844,0.0057004,0.0754208,0.176404,0.196082,0.000678775
2,380,0.388941,0.357678,0.000254638,1.10373,1.10373,0.0814123,0.0853804,1.01015,0.193575,0.122265,0.617511,0.370329,0.0533796,0.846996,0.0240389,0.460204,0.201598,0.635802,0.0866196,0.590875,0.77906,0.587673,0.456683,0.410726,0.036759,0.0199959,0.226005,0.953511,0.773831,0.907082,0.751816,0.830191,0.985683,0.000555243,0.825288,0.0110969,0.203794,0.114018,0.00398985,0.0451795,0.0169555,0.987156,0.0179922,0.352341,0.621368,0.219206,0.697032,0.351102,0.0526387,0.0149412,0.515952,0.0571848,0.806404,0.81289,0.0107479,0.0228019,0.00604908,0.0239449,0.705653,0.262981,0.900711,1.06691,0.954185,0.789256,0.641176,0.806049,0.0425001,0.884935,0.11573,0.645969,0.0937705,0.202074,0.149267,0.990524,0.964673,0.451326,0.563609,0.373271,0.183993,0.211291,0.160087,0.73278,0.138066,0.0717964,0.0575705,0.0475172,0.0536802,0.187821,0.0384249,0.874426,1.02517,0.78469,0.154742,0.0249072,0.12308,0.000254638,0.0110954,0.0526495,0.745545,0.0258225,0.149147,0.213659,0.226663,0.0011472
3,520,0.43705,0.390415,0.000452022,1.61873,1.07781,0.0654063,0.0693452,1.01129,0.199379,0.0909168,0.936846,0.37885,0.0480381,0.812762,0.0230925,0.475347,0.527913,0.650575,0.13656,0.558189,0.691789,0.550043,0.992584,1.00719,0.0739108,0.014666,0.220066,1.05059,0.802132,0.871766,0.656661,0.791819,0.985173,0.00183193,0.752294,0.0301563,0.22493,0.159052,0.0108363,0.108214,0.020937,0.976734,0.038695,0.319812,0.572139,0.247017,0.714679,0.412309,0.19046,0.0114568,1.16297,0.0640191,0.731329,0.736128,0.0219639,0.0218933,0.0160329,0.0227648,0.703582,0.308336,0.979046,1.02642,0.922809,0.770707,0.659768,0.851776,0.0315227,0.842455,0.322884,0.654985,0.0745594,0.33672,0.17398,0.926252,0.972411,0.429983,1.61873,0.829674,0.173348,0.218643,0.14977,0.740528,0.112218,0.0714483,0.0498727,0.0564013,0.194607,0.21304,0.0569812,0.767332,0.971931,0.686979,0.116731,0.0275948,0.362551,0.000452022,0.0367474,0.064064,1.19263,0.0254998,0.129515,0.253545,0.254393,0.00217263
4,565,0.440129,0.391131,0.000452022,1.61873,1.07781,0.0654063,0.0693452,1.01129,0.199379,0.0909168,0.936846,0.37885,0.0480381,0.812762,0.0230925,0.475347,0.527913,0.703132,0.13656,0.558189,0.691789,0.558552,0.992584,1.00719,0.0739108,0.014666,0.220066,1.05059,0.802132,0.871766,0.656661,0.791819,0.985173,0.00183193,0.752294,0.0301563,0.22493,0.159052,0.0108363,0.108214,0.020937,0.976734,0.038695,0.319812,0.572139,0.247017,0.714679,0.412309,0.19046,0.0114568,1.16297,0.0640191,0.731329,0.736128,0.0219639,0.0218933,0.0160329,0.0227648,0.703582,0.308336,0.979046,1.02642,0.922809,0.770707,0.659768,0.851776,0.0315227,0.842455,0.322884,0.654985,0.0745594,0.33672,0.17398,0.926252,0.972411,0.429983,1.61873,0.829674,0.173348,0.218643,0.14493,0.740528,0.112218,0.0714483,0.049471,0.0564013,0.194607,0.21304,0.0569812,0.767332,0.971931,0.686979,0.116731,0.0275948,0.614691,0.000452022,0.0367474,0.064064,1.19263,0.0254998,0.129515,0.253545,0.254393,0.00217263
5,705,0.481697,0.451074,0.00091843,2.36999,1.05616,0.0865122,0.0855261,0.982589,0.199875,0.0938355,1.2961,0.38669,0.0483177,0.787925,0.0258629,0.476184,0.704861,0.773206,0.158568,0.528738,0.641289,0.573802,1.23235,1.50452,0.116239,0.0156176,0.219189,1.15135,0.833683,0.848052,0.598449,0.770807,0.995701,0.0039213,0.704156,0.0462759,0.237233,0.208444,0.0223393,0.210507,0.0278916,0.983012,0.0517684,0.300202,0.539586,0.254915,0.768284,0.471704,0.343051,0.0126622,1.23997,0.0683371,0.675043,0.682275,0.0360157,0.0218324,0.0287076,0.0233438,0.713728,0.299243,1.05438,0.991525,0.911126,0.759401,0.720119,0.888468,0.0349619,0.808061,0.497546,0.67442,0.0846829,0.47873,0.178017,0.86807,0.987571,0.418324,2.36999,1.26442,0.170673,0.227824,0.144457,0.746412,0.110931,0.0727386,0.0501379,0.0623621,0.342313,0.237978,0.0553545,0.689076,0.922088,0.618335,0.121608,0.0343782,0.854471,0.00091843,0.0646429,0.0675742,1.64914,0.0256206,0.129747,0.312703,0.298393,0.00352284
6,845,0.511907,0.493613,0.00163298,2.61274,1.03534,0.110081,0.103946,0.958014,0.19985,0.0955939,1.51681,0.394483,0.050048,0.76517,0.0319161,0.477816,0.831648,0.829323,0.172313,0.49383,0.59643,0.58297,1.32707,1.91772,0.160237,0.017037,0.219068,1.25926,0.86419,0.824984,0.548108,0.750858,1.00666,0.00690101,0.659996,0.0610911,0.251311,0.263941,0.0408498,0.360904,0.0384769,0.990142,0.0598807,0.279473,0.505395,0.262777,0.812865,0.53505,0.517055,0.0134873,1.22124,0.0737357,0.623519,0.63627,0.0571741,0.0227553,0.0470242,0.0240243,0.721667,0.301459,1.13524,0.95867,0.900551,0.748987,0.778217,0.92807,0.0359993,0.776333,0.655395,0.685444,0.0989086,0.647564,0.18025,0.815232,1.00297,0.409096,2.61274,1.52068,0.168685,0.236626,0.146619,0.753276,0.111581,0.0740156,0.0520947,0.0690154,0.506878,0.264451,0.0549437,0.623804,0.87624,0.561283,0.127534,0.0430602,0.966401,0.00163298,0.0991408,0.0702459,2.06908,0.0258732,0.130452,0.380454,0.352525,0.00523311
7,985,0.537379,0.525284,0.00275473,2.64195,1.01582,0.137603,0.125101,0.935577,0.199809,0.0976493,1.5718,0.402212,0.0530336,0.744414,0.0413119,0.479623,0.923255,0.885652,0.182635,0.463354,0.557904,0.587255,1.36756,2.22432,0.203798,0.0190396,0.219423,1.3729,0.894067,0.803218,0.506672,0.733235,1.0177,0.0107262,0.62086,0.0757718,0.266364,0.325274,0.0686376,0.541742,0.052693,0.997477,0.0659159,0.261655,0.474246,0.2715,0.848365,0.601018,0.724947,0.0145522,1.22917,0.0796998,0.578504,0.597722,0.0850345,0.0250655,0.0700706,0.0248395,0.729269,0.303267,1.21933,0.928614,0.890589,0.740103,0.837348,0.968468,0.037337,0.74775,0.813717,0.696771,0.115828,0.833888,0.182127,0.768839,1.01846,0.402477,2.64195,1.60641,0.16725,0.245025,0.150761,0.760663,0.113821,0.0754552,0.0551353,0.0792363,0.687386,0.293006,0.0547916,0.574811,0.835466,0.516243,0.134051,0.0539895,0.999339,0.00275473,0.143727,0.0724714,2.5157,0.0262442,0.131438,0.45871,0.422753,0.00729632
8,1030,0.538683,0.526195,0.00275473,2.64195,1.00334,0.137603,0.125101,0.935577,0.199809,0.0992799,1.5718,0.402212,0.0530336,0.744414,0.0413119,0.479623,0.923255,0.885652,0.182635,0.463354,0.557904,0.587255,1.36756,2.22432,0.203798,0.0190396,0.219423,1.3729,0.894067,0.803218,0.506672,0.733235,1.0177,0.0107262,0.62086,0.0757718,0.266364,0.325274,0.0686376,0.541742,0.052693,0.997477,0.0659159,0.261655,0.474246,0.2715,0.848365,0.601018,0.724947,0.0145522,1.22917,0.0796998,0.578504,0.597722,0.0850345,0.0250655,0.0700706,0.0248395,0.729269,0.303267,1.21933,0.928614,0.890589,0.740103,0.837348,0.968468,0.037337,0.74775,0.813717,0.696771,0.115828,0.9791,0.182127,0.768839,1.01846,0.398555,2.64195,1.60641,0.16725,0.245025,0.150761,0.760663,0.113821,0.0754552,0.0551353,0.0792363,0.687386,0.293006,0.0548112,0.574811,0.835466,0.516243,0.134051,0.0539895,0.999339,0.00275473,0.143727,0.0724714,2.5157,0.0262442,0.131438,0.45871,0.422753,0.00729632
9,1075,0.54018,0.527715,0.00275473,2.64195,0.991759,0.137603,0.125101,0.935577,0.199809,0.101039,1.5718,0.402212,0.0530336,0.744414,0.0413119,0.479623,0.923255,0.885652,0.182635,0.463354,0.557904,0.587255,1.36756,2.22432,0.203798,0.0190396,0.219423,1.3729,0.894067,0.803218,0.506672,0.733235,1.0177,0.0107262,0.62086,0.0757718,0.266364,0.325274,0.0686376,0.541742,0.052693,0.997477,0.0659159,0.261655,0.474246,0.2715,0.848365,0.601018,0.724947,0.0145522,1.22917,0.0796998,0.578504,0.597722,0.0850345,0.0250655,0.0700706,0.0248395,0.729269,0.303267,1.21933,0.928614,0.890589,0.740103,0.837348,0.968468,0.037337,0.74775,0.813717,0.696771,0.115828,1.142,0.182127,0.768839,1.01846,0.395013,2.64195,1.60641,0.16725,0.245025,0.150761,0.760663,0.113821,0.0754552,0.0551353,0.0792363,0.687386,0.293006,0.0549176,0.574811,0.835466,0.516243,0.134051,0.0539895,0.999339,0.00275473,0.143727,0.0724714,2.5157,0.0262442,0.131438,0.45871,0.422753,0.00729632
