STATION,Site Name,DateTime,Oxidised nitrogen (mg/L) ,Ammonium nitrogen,DIN,Flow at sample time,Equipment contamination,Sample Temp,Days from sample to analysis,Days to filtering
126001A,Sandy Creek at Homebush,5/01/2010 10:30,0.587,0.088,0.675,Low flow,,Normal,7,
126001A,Sandy Creek at Homebush,25/01/2010 9:10,0.359,0.037,0.396,High flow,,Normal,51,
126001A,Sandy Creek at Homebush,25/01/2010 16:00,0.799,0.02,0.819,High flow,,Normal,51,
126001A,Sandy Creek at Homebush,26/01/2010 9:00,0.383,0.018,0.401,High flow,,Normal,50,
126001A,Sandy Creek at Homebush,27/01/2010 8:45,0.158,0.012,0.17,High flow,,Normal,49,
126001A,Sandy Creek at Homebush,28/01/2010 8:45,0.168,0.021,0.189,Low flow,,Normal,48,
126001A,Sandy Creek at Homebush,29/01/2010 14:45,0.249,0.028,0.277,Low flow,,Normal,47,
126001A,Sandy Creek at Homebush,31/01/2010 9:15,0.045,0.01,0.055,High flow,,Normal,45,
126001A,Sandy Creek at Homebush,1/02/2010 9:40,0.058,0.012,0.07,High flow,,Normal,44,
126001A,Sandy Creek at Homebush,2/02/2010 10:00,0.111,0.018,0.129,High flow,,Normal,43,
126001A,Sandy Creek at Homebush,10/02/2010 7:00,0.084,0.009,0.093,High flow,,Normal,44,
126001A,Sandy Creek at Homebush,10/02/2010 16:00,0.072,0.01,0.082,High flow,,Normal,44,
126001A,Sandy Creek at Homebush,11/02/2010 7:45,0.069,0.016,0.085,High flow,,Normal,43,
126001A,Sandy Creek at Homebush,12/02/2010 9:00,0.056,0.011,0.067,High flow,,Normal,42,
126001A,Sandy Creek at Homebush,13/02/2010 7:45,0.09,0.015,0.105,Low flow,,Normal,41,
126001A,Sandy Creek at Homebush,18/02/2010 8:00,0.041,0.009,0.05,High flow,,Normal,36,
126001A,Sandy Creek at Homebush,19/02/2010 8:00,0.034,0.011,0.045,High flow,,Normal,35,
126001A,Sandy Creek at Homebush,20/02/2010 8:45,0.111,0.028,0.139,Low flow,,Normal,34,
126001A,Sandy Creek at Homebush,21/02/2010 18:30,0.037,0.01,0.047,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,22/02/2010 9:15,0.045,0.01,0.055,High flow,,Normal,32,
126001A,Sandy Creek at Homebush,23/02/2010 9:40,0.063,0.017,0.08,High flow,,Normal,64,
126001A,Sandy Creek at Homebush,24/02/2010 13:10,0.114,0.021,0.135,Low flow,,Normal,63,
126001A,Sandy Creek at Homebush,26/02/2010 9:20,0.047,0.012,0.059,High flow,,Normal,61,
126001A,Sandy Creek at Homebush,27/02/2010 11:15,0.052,0.015,0.067,High flow,,Normal,60,
126001A,Sandy Creek at Homebush,22/03/2010 9:00,0.025,0.006,0.031,High flow,,Normal,37,
126001A,Sandy Creek at Homebush,24/03/2010 14:30,0.056,0.015,0.071,High flow,,Normal,35,
126001A,Sandy Creek at Homebush,26/03/2010 10:45,0.178,0.015,0.193,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,28/04/2010 14:45,1.26,0.017,1.277,Low flow,,Normal,22,
126001A,Sandy Creek at Homebush,28/05/2010 10:20,1.68,0.029,1.709,Low flow,,Normal,27,
126001A,Sandy Creek at Homebush,28/06/2010 11:50,1.81,0.028,1.838,Low flow,,Normal,15,
126001A,Sandy Creek at Homebush,23/07/2010 13:30,1.85,0.002,1.852,Low flow,,Normal,,
126001A,Sandy Creek at Homebush,24/08/2010 10:15,0.014,0.031,0.045,Low flow,,Normal,9,
126001A,Sandy Creek at Homebush,30/09/2010 11:45,0.301,0.089,0.39,First Flush,,Normal,8,
126001A,Sandy Creek at Homebush,30/09/2010 16:25,0.224,0.08,0.304,First Flush,,Normal,8,
126001A,Sandy Creek at Homebush,26/10/2010 9:55,0.849,0.043,0.892,Low flow,,Normal,37,
126001A,Sandy Creek at Homebush,11/11/2010 8:10,0.475,0.049,0.524,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,16/11/2010 8:20,0.93,0.165,1.095,High flow,,Normal,28,
126001A,Sandy Creek at Homebush,16/11/2010 15:40,1.02,0.172,1.192,High flow,,Normal,28,
126001A,Sandy Creek at Homebush,17/11/2010 8:25,0.639,0.094,0.733,High flow,,Normal,34,
126001A,Sandy Creek at Homebush,18/11/2010 15:00,0.439,0.062,0.501,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,19/11/2010 8:20,0.531,0.063,0.594,High flow,,Normal,34,
126001A,Sandy Creek at Homebush,19/11/2010 15:00,0.445,0.073,0.518,High flow,,Normal,34,
126001A,Sandy Creek at Homebush,20/11/2010 9:30,0.366,0.073,0.439,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,20/11/2010 17:55,0.338,0.076,0.414,High flow,,Normal,33,
126001A,Sandy Creek at Homebush,21/11/2010 8:40,0.157,0.04,0.197,High flow,,Normal,32,
126001A,Sandy Creek at Homebush,21/11/2010 16:30,0.191,0.034,0.225,High flow,,Normal,32,
126001A,Sandy Creek at Homebush,22/11/2010 9:00,0.094,0.027,0.121,High flow,,Normal,31,
126001A,Sandy Creek at Homebush,22/11/2010 15:45,0.096,0.025,0.121,High flow,,Normal,31,
126001A,Sandy Creek at Homebush,23/11/2010 8:15,0.125,0.026,0.151,High flow,,Normal,30,
126001A,Sandy Creek at Homebush,23/11/2010 14:45,0.112,0.024,0.136,High flow,,Normal,30,
126001A,Sandy Creek at Homebush,24/11/2010 8:30,0.112,0.028,0.14,High flow,,Normal,29,
126001A,Sandy Creek at Homebush,24/11/2010 14:40,0.105,0.02,0.125,High flow,,Normal,29,
