2009-10,Discharge (Cumecs),Qual,,2010-11,Discharge (Cumecs),Qual,,2011-12,Discharge (Cumecs),Qual,,2012-13,Discharge (Cumecs),Qual,,2013-14,Discharge (Cumecs),Qual,,2014-15,Discharge (Cumecs),Qual,,2015-16,Discharge (Cumecs),Qual,,2016-17,Discharge (Cumecs),Qual,,2017-2018,Discharge (Cumecs),Qual,,2018-19,Discharge (Cumecs),Qual,
1/07/2009 0:00,0.2224,10,,1/07/2010 0:00,0.2481,10,,1/07/2011 0:00,0.5062,10,,1/07/2012 0:00,0.3059,20,,1/07/2013 0:00,0.3776,10,,1/07/2014 0:00,0.2812,10,,1/07/2015 0:00,0.0613,10,,1/07/2016 0:00,0.2192,10,,1/07/2017 0:00,0.3204,10,,1/07/2018 0:00,0.414,10,
1/07/2009 1:00,0.2224,10,,1/07/2010 1:00,0.2489,10,,1/07/2011 1:00,0.5084,10,,1/07/2012 1:00,0.3041,20,,1/07/2013 1:00,0.3776,10,,1/07/2014 1:00,0.2795,10,,1/07/2015 1:00,0.0613,10,,1/07/2016 1:00,0.2192,10,,1/07/2017 1:00,0.3185,10,,1/07/2018 1:00,0.414,10,
1/07/2009 2:00,0.2224,10,,1/07/2010 2:00,0.2497,10,,1/07/2011 2:00,0.5106,10,,1/07/2012 2:00,0.3023,20,,1/07/2013 2:00,0.3757,10,,1/07/2014 2:00,0.2778,10,,1/07/2015 2:00,0.0613,10,,1/07/2016 2:00,0.2177,10,,1/07/2017 2:00,0.3167,10,,1/07/2018 2:00,0.414,10,
1/07/2009 3:00,0.2224,10,,1/07/2010 3:00,0.2505,10,,1/07/2011 3:00,0.5106,10,,1/07/2012 3:00,0.3023,20,,1/07/2013 3:00,0.3737,10,,1/07/2014 3:00,0.2778,10,,1/07/2015 3:00,0.0613,10,,1/07/2016 3:00,0.2147,10,,1/07/2017 3:00,0.3149,10,,1/07/2018 3:00,0.412,10,
1/07/2009 4:00,0.222,10,,1/07/2010 4:00,0.251,10,,1/07/2011 4:00,0.5084,10,,1/07/2012 4:00,0.3005,20,,1/07/2013 4:00,0.3737,10,,1/07/2014 4:00,0.2778,10,,1/07/2015 4:00,0.0613,10,,1/07/2016 4:00,0.2116,10,,1/07/2017 4:00,0.3131,10,,1/07/2018 4:00,0.41,10,
1/07/2009 5:00,0.2212,10,,1/07/2010 5:00,0.251,10,,1/07/2011 5:00,0.5062,10,,1/07/2012 5:00,0.2987,20,,1/07/2013 5:00,0.3717,10,,1/07/2014 5:00,0.2778,10,,1/07/2015 5:00,0.0613,10,,1/07/2016 5:00,0.2086,10,,1/07/2017 5:00,0.3113,10,,1/07/2018 5:00,0.41,10,
1/07/2009 6:00,0.2204,10,,1/07/2010 6:00,0.251,10,,1/07/2011 6:00,0.504,10,,1/07/2012 6:00,0.2987,20,,1/07/2013 6:00,0.3698,10,,1/07/2014 6:00,0.2778,10,,1/07/2015 6:00,0.0613,10,,1/07/2016 6:00,0.2071,10,,1/07/2017 6:00,0.3095,10,,1/07/2018 6:00,0.41,10,
1/07/2009 7:00,0.2197,10,,1/07/2010 7:00,0.251,10,,1/07/2011 7:00,0.5018,10,,1/07/2012 7:00,0.2987,20,,1/07/2013 7:00,0.3698,10,,1/07/2014 7:00,0.2761,10,,1/07/2015 7:00,0.0613,10,,1/07/2016 7:00,0.2056,10,,1/07/2017 7:00,0.3095,10,,1/07/2018 7:00,0.41,10,
1/07/2009 8:00,0.2189,10,,1/07/2010 8:00,0.2505,10,,1/07/2011 8:00,0.5018,10,,1/07/2012 8:00,0.2987,20,,1/07/2013 8:00,0.3698,10,,1/07/2014 8:00,0.2743,10,,1/07/2015 8:00,0.0613,10,,1/07/2016 8:00,0.2027,10,,1/07/2017 8:00,0.3077,10,,1/07/2018 8:00,0.41,10,
1/07/2009 9:00,0.2181,10,,1/07/2010 9:00,0.2497,10,,1/07/2011 9:00,0.4997,10,,1/07/2012 9:00,0.2987,20,,1/07/2013 9:00,0.3698,10,,1/07/2014 9:00,0.2743,10,,1/07/2015 9:00,0.0613,10,,1/07/2016 9:00,0.2012,10,,1/07/2017 9:00,0.3059,10,,1/07/2018 9:00,0.41,10,
1/07/2009 10:00,0.2173,10,,1/07/2010 10:00,0.2489,10,,1/07/2011 10:00,0.4975,10,,1/07/2012 10:00,0.2987,20,,1/07/2013 10:00,0.3698,10,,1/07/2014 10:00,0.2743,10,,1/07/2015 10:00,0.0613,10,,1/07/2016 10:00,0.1997,10,,1/07/2017 10:00,0.3041,10,,1/07/2018 10:00,0.41,10,
1/07/2009 11:00,0.2166,10,,1/07/2010 11:00,0.2481,10,,1/07/2011 11:00,0.4975,10,,1/07/2012 11:00,0.2987,20,,1/07/2013 11:00,0.3698,10,,1/07/2014 11:00,0.2743,10,,1/07/2015 11:00,0.0613,10,,1/07/2016 11:00,0.1983,10,,1/07/2017 11:00,0.3023,10,,1/07/2018 11:00,0.41,10,
1/07/2009 12:00,0.2162,10,,1/07/2010 12:00,0.2465,10,,1/07/2011 12:00,0.4975,10,,1/07/2012 12:00,0.2987,20,,1/07/2013 12:00,0.3678,10,,1/07/2014 12:00,0.2743,10,,1/07/2015 12:00,0.0613,10,,1/07/2016 12:00,0.1968,10,,1/07/2017 12:00,0.3023,10,,1/07/2018 12:00,0.41,10,
1/07/2009 13:00,0.2162,10,,1/07/2010 13:00,0.244,10,,1/07/2011 13:00,0.4975,10,,1/07/2012 13:00,0.2987,20,,1/07/2013 13:00,0.3658,10,,1/07/2014 13:00,0.2726,10,,1/07/2015 13:00,0.0613,10,,1/07/2016 13:00,0.1953,10,,1/07/2017 13:00,0.3023,10,,1/07/2018 13:00,0.41,10,
1/07/2009 14:00,0.2162,10,,1/07/2010 14:00,0.2416,10,,1/07/2011 14:00,0.4953,10,,1/07/2012 14:00,0.2987,20,,1/07/2013 14:00,0.3658,10,,1/07/2014 14:00,0.2709,10,,1/07/2015 14:00,0.0613,10,,1/07/2016 14:00,0.1939,10,,1/07/2017 14:00,0.3023,10,,1/07/2018 14:00,0.41,10,
1/07/2009 15:00,0.2162,10,,1/07/2010 15:00,0.2392,10,,1/07/2011 15:00,0.4932,10,,1/07/2012 15:00,0.2987,20,,1/07/2013 15:00,0.3658,10,,1/07/2014 15:00,0.2709,10,,1/07/2015 15:00,0.0613,10,,1/07/2016 15:00,0.191,10,,1/07/2017 15:00,0.3023,10,,1/07/2018 15:00,0.41,10,
1/07/2009 16:00,0.2154,10,,1/07/2010 16:00,0.2349,10,,1/07/2011 16:00,0.491,10,,1/07/2012 16:00,0.2987,20,,1/07/2013 16:00,0.3658,10,,1/07/2014 16:00,0.2709,10,,1/07/2015 16:00,0.0613,10,,1/07/2016 16:00,0.191,10,,1/07/2017 16:00,0.3023,10,,1/07/2018 16:00,0.41,10,
1/07/2009 17:00,0.2139,10,,1/07/2010 17:00,0.2306,10,,1/07/2011 17:00,0.4888,10,,1/07/2012 17:00,0.3005,20,,1/07/2013 17:00,0.3658,10,,1/07/2014 17:00,0.2709,10,,1/07/2015 17:00,0.0613,10,,1/07/2016 17:00,0.1924,10,,1/07/2017 17:00,0.3023,10,,1/07/2018 17:00,0.41,10,
1/07/2009 18:00,0.2124,10,,1/07/2010 18:00,0.2285,10,,1/07/2011 18:00,0.4867,10,,1/07/2012 18:00,0.3023,20,,1/07/2013 18:00,0.3658,10,,1/07/2014 18:00,0.2693,10,,1/07/2015 18:00,0.0613,10,,1/07/2016 18:00,0.1924,10,,1/07/2017 18:00,0.3023,10,,1/07/2018 18:00,0.41,10,
1/07/2009 19:00,0.2108,10,,1/07/2010 19:00,0.2265,10,,1/07/2011 19:00,0.4845,10,,1/07/2012 19:00,0.3023,20,,1/07/2013 19:00,0.3658,10,,1/07/2014 19:00,0.2676,10,,1/07/2015 19:00,0.0613,10,,1/07/2016 19:00,0.1924,10,,1/07/2017 19:00,0.3023,10,,1/07/2018 19:00,0.41,10,
1/07/2009 20:00,0.2101,10,,1/07/2010 20:00,0.225,10,,1/07/2011 20:00,0.4824,10,,1/07/2012 20:00,0.3023,20,,1/07/2013 20:00,0.3658,10,,1/07/2014 20:00,0.2676,10,,1/07/2015 20:00,0.0613,10,,1/07/2016 20:00,0.1939,10,,1/07/2017 20:00,0.3023,10,,1/07/2018 20:00,0.41,10,
1/07/2009 21:00,0.2101,10,,1/07/2010 21:00,0.2243,10,,1/07/2011 21:00,0.4802,10,,1/07/2012 21:00,0.3023,20,,1/07/2013 21:00,0.3658,10,,1/07/2014 21:00,0.2676,10,,1/07/2015 21:00,0.0613,10,,1/07/2016 21:00,0.1953,10,,1/07/2017 21:00,0.3023,10,,1/07/2018 21:00,0.41,10,
1/07/2009 22:00,0.2101,10,,1/07/2010 22:00,0.2235,10,,1/07/2011 22:00,0.4781,10,,1/07/2012 22:00,0.3023,20,,1/07/2013 22:00,0.3658,10,,1/07/2014 22:00,0.2676,10,,1/07/2015 22:00,0.0613,10,,1/07/2016 22:00,0.1953,10,,1/07/2017 22:00,0.3023,10,,1/07/2018 22:00,0.41,10,
1/07/2009 23:00,0.2101,10,,1/07/2010 23:00,0.2227,10,,1/07/2011 23:00,0.476,10,,1/07/2012 23:00,0.3005,20,,1/07/2013 23:00,0.3639,10,,1/07/2014 23:00,0.2676,10,,1/07/2015 23:00,0.0613,10,,1/07/2016 23:00,0.1953,10,,1/07/2017 23:00,0.3023,10,,1/07/2018 23:00,0.41,10,
2/07/2009 0:00,0.2101,10,,2/07/2010 0:00,0.2223,10,,2/07/2011 0:00,0.4738,10,,2/07/2012 0:00,0.2969,20,,2/07/2013 0:00,0.3619,10,,2/07/2014 0:00,0.2659,10,,2/07/2015 0:00,0.0613,10,,2/07/2016 0:00,0.1953,10,,2/07/2017 0:00,0.3041,10,,2/07/2018 0:00,0.41,10,
2/07/2009 1:00,0.2101,10,,2/07/2010 1:00,0.2223,10,,2/07/2011 1:00,0.4717,10,,2/07/2012 1:00,0.2952,20,,2/07/2013 1:00,0.3619,10,,2/07/2014 1:00,0.2642,10,,2/07/2015 1:00,0.0613,10,,2/07/2016 1:00,0.1953,10,,2/07/2017 1:00,0.3059,10,,2/07/2018 1:00,0.41,10,
2/07/2009 2:00,0.2101,10,,2/07/2010 2:00,0.2223,10,,2/07/2011 2:00,0.4696,10,,2/07/2012 2:00,0.2952,20,,2/07/2013 2:00,0.3619,10,,2/07/2014 2:00,0.2642,10,,2/07/2015 2:00,0.0613,10,,2/07/2016 2:00,0.1953,10,,2/07/2017 2:00,0.3041,10,,2/07/2018 2:00,0.41,10,
2/07/2009 3:00,0.2101,10,,2/07/2010 3:00,0.2223,10,,2/07/2011 3:00,0.4654,10,,2/07/2012 3:00,0.2952,20,,2/07/2013 3:00,0.3619,10,,2/07/2014 3:00,0.2642,10,,2/07/2015 3:00,0.0613,10,,2/07/2016 3:00,0.1953,10,,2/07/2017 3:00,0.3023,10,,2/07/2018 3:00,0.41,10,
2/07/2009 4:00,0.2108,10,,2/07/2010 4:00,0.2227,10,,2/07/2011 4:00,0.4612,10,,2/07/2012 4:00,0.2934,20,,2/07/2013 4:00,0.3619,10,,2/07/2014 4:00,0.2642,10,,2/07/2015 4:00,0.0613,10,,2/07/2016 4:00,0.1968,10,,2/07/2017 4:00,0.3023,10,,2/07/2018 4:00,0.41,10,
2/07/2009 5:00,0.2124,10,,2/07/2010 5:00,0.2235,10,,2/07/2011 5:00,0.457,10,,2/07/2012 5:00,0.2899,20,,2/07/2013 5:00,0.3619,10,,2/07/2014 5:00,0.2642,10,,2/07/2015 5:00,0.0613,10,,2/07/2016 5:00,0.1968,10,,2/07/2017 5:00,0.3023,10,,2/07/2018 5:00,0.41,10,
2/07/2009 6:00,0.2139,10,,2/07/2010 6:00,0.2243,10,,2/07/2011 6:00,0.4507,10,,2/07/2012 6:00,0.2881,20,,2/07/2013 6:00,0.3619,10,,2/07/2014 6:00,0.2642,10,,2/07/2015 6:00,0.0613,10,,2/07/2016 6:00,0.1953,10,,2/07/2017 6:00,0.3023,10,,2/07/2018 6:00,0.41,10,
2/07/2009 7:00,0.2154,10,,2/07/2010 7:00,0.225,10,,2/07/2011 7:00,0.4445,10,,2/07/2012 7:00,0.2881,20,,2/07/2013 7:00,0.3619,10,,2/07/2014 7:00,0.2625,10,,2/07/2015 7:00,0.0613,10,,2/07/2016 7:00,0.1953,10,,2/07/2017 7:00,0.3023,10,,2/07/2018 7:00,0.41,10,
