"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",52.471,100.076,46.126,58.411,54.997,22.163,38.567,58.023,14.358,52.471
"2",61.311,97.707,47.054,55.593,62.666,26.155,41.969,50.949,15.333,61.311
"3",50.824,119.752,43.716,71.387,49.009,24.48,37.374,50.921,15.002,50.824
"4",49.107,97.427,43.369,74.362,60.331,24.011,39.445,55.422,15.952,49.107
"5",64.284,96.698,50.045,45.177,62.184,24.665,43.389,49.091,13.423,64.284
"6",48.041,93.996,40.046,48.864,57.18,22.801,39.676,63.008,14.849,48.041
"7",60.068,105.202,45.135,63.843,61.296,19.724,36.895,60.268,16.806,60.068
"8",61.564,99.625,53.462,75.496,52.164,21.212,41.453,57.048,15.307,61.564
"9",59.155,96.533,49.085,46.177,62.327,19.168,43.214,64.167,14.585,59.155
"10",50.917,102.259,55.217,75.589,60.516,23.561,41.792,60.207,14.816,50.917
"11",58.569,98.732,46.941,58.256,52.429,26.84,35.367,57.722,15.74,58.569
"12",49.241,110.558,46.231,55.925,51.639,22.484,46.344,59.035,16.064,49.241
"13",67.324,98.63,48.242,57.994,62.501,25.168,41.36,63.391,14.131,67.324
"14",58.755,105.448,45.473,71.326,60.984,22.439,40.789,64.278,14.95,58.755
"15",57.088,100.751,37.324,58.493,63.384,24.613,36.137,59.303,15.073,57.088
"16",60.924,114.626,48.691,45.521,54.703,20.579,42.144,63.488,15.183,60.924
"17",55.429,98.303,42.263,58.39,56.778,22.316,42.523,66.729,15.147,55.429
"18",61.557,94.798,51.718,76.139,51.558,24.851,43.218,58.8,15.914,61.557
"19",54.265,113.912,43.355,53.661,59.116,23.629,39.607,55.945,17.155,54.265
"20",59.719,111.349,45.366,41.135,64.056,19.398,39.891,57.346,15.125,59.719
"21",49.494,90.441,43.824,39.312,63.256,22.972,37.214,54.457,15.609,49.494
"22",56.377,86.594,52.356,46.369,55.164,22.075,42.974,59.499,14.61,56.377
"23",51.393,109.924,53.521,47.608,51.241,25.605,44.572,64.314,14.118,51.393
"24",55.719,98.876,47.129,68.286,56.973,25.305,42.146,66.051,13.968,55.719
"25",60.32,101.049,42.318,58.927,48.247,24.717,39.49,63.872,16.121,60.32
"26",54.573,91.152,49.978,51.043,66.65,20.509,38.399,50.308,16.298,54.573
"27",52.072,105.075,50.057,57.646,51.506,21.257,43.561,58.761,14.766,52.072
"28",43.835,107.651,48.877,62.884,66.518,23.159,39.939,67.947,14.621,43.835
"29",54.863,108.197,50.314,57.176,59.917,22.81,43.571,68.603,15.721,54.863
"30",47.911,107.774,48.338,70.177,62.127,24.025,39.738,68.977,15.977,47.911
"31",60.531,99.057,46.969,74.811,45.443,23.105,41.572,51.943,14.542,60.531
"32",58.106,100.904,44.606,46.099,61.123,21.728,38.349,55.672,15.38,58.106
"33",52.998,101.911,52.049,72.328,65.194,22.347,41.055,67.184,14.377,52.998
"34",43.972,113.26,48.868,55.392,65.48,20.505,42.589,67.632,15.056,43.972
"35",61.635,106.69,48.788,52.266,60.87,22.224,41.164,64.143,15.422,61.635
"36",60.193,116.909,49.338,41.587,63.725,25.2,42.262,61.285,15.579,60.193
"37",54.366,99.765,44.551,58.255,59.258,25.872,41.011,59.083,14.312,54.366
"38",54.279,97.003,46.06,46.124,58.57,21.12,41.287,64.922,14.919,54.279
"39",57.612,107.491,52.377,54.242,67.129,22.671,44.893,67.149,15.695,57.612
"40",56.189,113.328,47.43,72.105,57.429,19.187,37.691,60.869,15.705,56.189
"41",54.334,111.875,47.913,71.971,57.937,24.203,36.016,62.271,14.717,54.334
"42",58.232,105.23,44.795,46.951,60.558,20.341,40.987,70.019,14.524,58.232
"43",62.227,101.579,47.412,74.876,54.193,21.295,39.811,52.937,14.968,62.227
"44",61.577,98.149,53.969,74.899,60.14,25.838,43.573,65.953,15.439,61.577
"45",56.259,122.486,43.691,69.556,49.984,23.976,41.55,51.782,15.148,56.259
"46",52.618,97.209,53.801,53.093,45.974,26.603,43.348,59.206,14.953,52.618
"47",59.545,100.438,53.612,60.996,46.672,25.888,45.921,69.292,14.381,59.545
"48",52.478,108.25,43.992,74.922,53.62,21.589,37.951,59.159,14.199,52.478
"49",50.499,110.397,46.847,68.278,63.608,24.46,35.284,58.534,15.573,50.499
"50",58.782,101.032,52.648,71.432,52.695,23.536,37.271,62.997,15.504,58.782
"51",46.094,103.699,50.445,52.696,47.706,23.066,42.814,69.96,14.776,46.094
"52",50.402,103.314,49.064,76.527,59.971,21.041,39.432,52.389,15.851,50.402
"53",50.798,95.428,44.273,68.765,63.277,22.485,36.033,60.529,14.504,50.798
"54",56.674,105.259,54.391,72.668,61.041,23.687,40.17,63.101,14.636,56.674
"55",61.799,105.575,46.528,74.885,64.866,24.881,40.785,68.457,16.161,61.799
"56",54.859,118.152,49.878,47.584,68.545,25.006,40.128,56.768,14.435,54.859
"57",57.221,120.887,47.041,52.212,56.045,22.656,37.776,62.078,14.493,57.221
"58",47.656,107.065,49.205,58.391,52.746,21.864,39.96,58.257,13.92,47.656
"59",57.609,107.062,51.421,51.325,46.425,24.268,39.127,63.994,14.3,57.609
"60",46.909,114.296,49.825,58.471,62.43,26.282,37.114,60.149,15.143,46.909
"61",48.647,112.597,42.245,53.465,54.425,25.158,40.397,61.3,14.779,48.647
"62",54.3,108.744,46.567,76.082,54.511,23.325,40.212,54.951,14.3,54.3
"63",48.516,94.138,50.096,51.713,56.77,21.647,37.52,58.083,14.328,48.516
"64",61.618,103.487,52.393,59.799,54.327,20.617,38.201,64.511,15.136,61.618
"65",55.166,120.317,45.373,54.932,56.182,23.955,35.852,65.279,15.44,55.166
"66",57.295,98.397,43.662,75.43,59.523,22.653,36.007,62.748,17.082,57.295
"67",53.694,100.013,48.983,48.668,51.221,20.087,39.588,55.047,15.507,53.694
"68",60.011,96.109,40.174,65.522,65.858,22.445,42.787,55.004,15.319,60.011
"69",65.218,110.126,51.067,47.173,61.957,21.795,39.25,62.145,14.225,65.218
"70",57.141,102.321,38.978,50.808,60.32,22.89,39.96,62.839,13.228,57.141
"71",51.703,107.952,53.828,69.029,64.441,22.715,39.957,53.013,13.93,51.703
"72",58.628,98.768,47.867,67.957,58.315,21.712,38.425,58.943,16.318,58.628
"73",50.93,90.148,51.262,45.633,51.326,27.111,39.953,63.355,14.27,50.93
"74",55.722,110.19,42.637,70.639,54.099,24.081,39.369,59.808,14.352,55.722
"75",53.051,95.614,48.257,60.125,56.034,28.748,40.5,56.743,16.118,53.051
"76",59.295,109.248,52.438,69.768,63.233,24.32,37.932,56.786,14.759,59.295
"77",50.48,107.313,47.105,50.955,62.274,24.454,35.029,61.691,13.63,50.48
"78",56.259,104.807,46.375,53.872,64.173,22.982,43.759,67.663,14.229,56.259
"79",57.077,100.676,51.828,71.873,51.654,22.38,43.203,54.767,15.755,57.077
"80",53.512,106.667,46.769,58.203,56.911,26.077,40.569,63.756,14.864,53.512
"81",57.092,114.437,49.617,43.977,63.491,27.233,40.266,53.361,14.506,57.092
"82",48.498,119.196,50.852,67.515,46.382,26.433,41.127,61.439,16.006,48.498
"83",54.578,108.085,47.523,55.939,53.672,23.524,34.885,62.835,14.579,54.578
"84",58.308,101.032,43.112,78.729,56.007,25.851,39.523,63.019,14.821,58.308
"85",51.803,113.864,39.626,52.12,56.392,22.957,37.597,62.474,14.17,51.803
"86",54.948,98.064,48.454,47.446,53.774,22.638,39.657,54.452,15.473,54.948
"87",60.437,91.918,52.225,76.512,65.001,22.858,44.418,59.199,14.225,60.437
"88",57.295,86.612,48.746,75.947,60.342,25.136,38.959,58.879,13.583,57.295
"89",47.138,94.701,56.136,73.529,57.565,22.414,46.809,58.32,14.281,47.138
"90",56.184,84.192,48.101,73.287,65.479,24.998,39.317,50.178,14.865,56.184
"91",59.416,106.46,48.965,61.498,68.34,20.948,37.902,64.069,14.896,59.416
"92",49.83,114.189,49.388,70.456,55.258,23.591,40.558,58.969,15.18,49.83
"93",62.994,92.192,52.238,77.666,64.681,21.246,39.617,64.656,15.592,62.994
"94",59.676,104.588,42.483,54.547,64.059,21.077,44.912,53.072,13.691,59.676
"95",54.269,101.103,52.361,40.984,63.326,25.359,38.554,61.512,14.728,54.269
"96",44.254,95.147,53.478,69.123,58.524,24.598,37.862,63.391,15.903,44.254
"97",57.291,97.161,51.076,75.952,64.387,17.917,39.948,58.793,13.811,57.291
"98",52.481,113.316,56.578,50.786,56.336,20.755,34.775,65.631,14.95,52.481
"99",47.997,94.996,47.375,76.267,57.278,24.743,40.392,60.107,14.512,47.997
"100",56.504,93.261,49.434,61.738,50.309,29.327,41.922,57.062,16.296,56.504
"101",58.83,113.226,50.004,54.153,56.017,21.191,34.704,65.044,16.474,58.83
