,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,52.471,100.076,46.126,58.411,54.997,22.163,38.567,58.023,14.358,52.471
2,54.511,101.832,47.16,59.277,56.957,23.053,39.722,58.408,14.756,54.511
3,53.346,104.279,46.789,61.03,55.441,22.867,39.212,58.405,14.719,53.346
4,53.156,101.801,46.751,61.36,56.698,22.815,39.442,58.904,14.824,53.156
5,54.841,101.72,47.492,58.12,56.904,22.888,39.88,58.202,14.543,54.841
6,53.037,101.42,46.382,58.53,56.348,22.681,39.468,59.747,14.702,53.037
7,54.372,102.664,46.947,60.193,56.805,22.339,39.159,59.442,14.919,54.372
8,54.539,102.045,47.871,61.486,55.791,22.505,39.665,59.085,14.753,54.539
9,54.271,101.701,47.385,58.231,56.92,22.278,39.861,59.875,14.672,54.271
10,53.357,102.337,48.066,61.497,56.719,22.765,39.703,59.436,14.698,53.357
11,54.206,101.946,47.147,59.572,55.821,23.129,38.989,59.16,14.801,54.206
12,53.171,103.258,47.068,59.314,55.733,22.646,40.208,59.306,14.837,53.171
13,55.178,101.934,47.292,59.543,56.939,22.944,39.655,59.789,14.622,55.178
14,54.227,102.691,46.984,61.023,56.77,22.641,39.591,59.888,14.713,54.227
15,54.042,102.17,46.08,59.599,57.037,22.882,39.075,59.335,14.727,54.042
16,54.467,103.71,47.342,58.159,56.073,22.434,39.742,59.8,14.739,54.467
17,53.857,101.898,46.628,59.587,56.304,22.627,39.784,60.16,14.735,53.857
18,54.538,101.509,47.678,61.558,55.724,22.909,39.861,59.279,14.82,54.538
19,53.728,103.631,46.749,59.062,56.563,22.773,39.46,58.962,14.958,53.728
20,54.334,103.346,46.972,57.672,57.112,22.303,39.492,59.118,14.732,54.334
21,53.199,101.025,46.801,57.469,57.023,22.7,39.194,58.797,14.786,53.199
22,53.963,100.598,47.748,58.253,56.124,22.6,39.834,59.357,14.675,53.963
23,53.409,103.188,47.878,58.39,55.689,22.992,40.011,59.892,14.621,53.409
24,53.89,101.962,47.168,60.686,56.325,22.959,39.742,60.084,14.604,53.89
25,54.4,102.203,46.634,59.647,55.357,22.894,39.447,59.843,14.843,54.4
26,53.762,101.104,47.484,58.772,57.4,22.427,39.326,58.337,14.863,53.762
27,53.485,102.65,47.493,59.505,55.718,22.51,39.899,59.275,14.693,53.485
28,52.57,102.936,47.362,60.086,57.385,22.721,39.497,60.295,14.676,52.57
29,53.795,102.996,47.522,59.453,56.652,22.682,39.9,60.368,14.799,53.795
30,53.023,102.949,47.302,60.896,56.897,22.817,39.475,60.409,14.827,53.023
31,54.424,101.982,47.15,61.41,55.045,22.715,39.678,58.518,14.668,54.424
32,54.155,102.187,46.888,58.223,56.786,22.562,39.32,58.932,14.761,54.155
33,53.588,102.299,47.714,61.135,57.238,22.631,39.621,60.21,14.649,53.588
34,52.586,103.559,47.361,59.254,57.27,22.426,39.791,60.26,14.725,52.586
35,54.547,102.829,47.352,58.907,56.758,22.617,39.633,59.873,14.765,54.547
36,54.386,103.964,47.413,57.722,57.075,22.947,39.755,59.555,14.783,54.386
37,53.739,102.06,46.882,59.572,56.579,23.022,39.616,59.311,14.642,53.739
38,53.73,101.754,47.049,58.226,56.503,22.494,39.647,59.959,14.71,53.73
39,54.1,102.918,47.751,59.127,57.453,22.667,40.047,60.206,14.796,54.1
40,53.942,103.566,47.202,61.11,56.376,22.28,39.247,59.509,14.797,53.942
41,53.736,103.405,47.255,61.095,56.432,22.837,39.061,59.665,14.687,53.736
42,54.169,102.667,46.909,58.317,56.723,22.408,39.613,60.525,14.666,54.169
43,54.612,102.262,47.199,61.417,56.017,22.514,39.483,58.629,14.715,54.612
44,54.54,101.881,47.927,61.42,56.677,23.018,39.9,60.074,14.767,54.54
45,53.95,104.583,46.786,60.827,55.549,22.812,39.676,58.5,14.735,53.95
46,53.545,101.777,47.909,58.999,55.104,23.103,39.875,59.324,14.713,53.545
47,54.314,102.135,47.888,59.877,55.182,23.024,40.161,60.444,14.65,54.314
48,53.53,103.002,46.82,61.423,55.953,22.546,39.276,59.319,14.63,53.53
49,53.31,103.241,47.137,60.685,57.062,22.865,38.98,59.25,14.782,53.31
50,54.23,102.201,47.781,61.035,55.85,22.763,39.201,59.745,14.775,54.23
51,52.821,102.497,47.536,58.955,55.296,22.71,39.816,60.518,14.694,52.821
52,53.299,102.454,47.383,61.601,56.658,22.486,39.441,58.568,14.813,53.299
53,53.343,101.579,46.851,60.739,57.025,22.646,39.063,59.471,14.663,53.343
54,53.996,102.67,47.974,61.172,56.777,22.779,39.523,59.757,14.678,53.996
55,54.565,102.705,47.101,61.418,57.202,22.912,39.591,60.352,14.847,54.565
56,53.794,104.102,47.473,58.388,57.61,22.926,39.518,59.054,14.656,53.794
57,54.056,104.405,47.158,58.901,56.222,22.665,39.257,59.643,14.662,54.056
58,52.995,102.871,47.399,59.587,55.856,22.577,39.499,59.219,14.599,52.995
59,54.1,102.87,47.645,58.803,55.154,22.844,39.407,59.856,14.641,54.1
60,52.912,103.673,47.467,59.596,56.931,23.068,39.183,59.429,14.734,52.912
61,53.105,103.485,46.626,59.041,56.042,22.943,39.548,59.557,14.694,53.105
62,53.732,103.057,47.106,61.551,56.052,22.739,39.527,58.852,14.641,53.732
63,53.09,101.436,47.497,58.846,56.303,22.553,39.228,59.2,14.644,53.09
64,54.545,102.474,47.753,59.744,56.032,22.439,39.304,59.913,14.734,54.545
65,53.828,104.342,46.973,59.203,56.237,22.809,39.043,59.999,14.767,53.828
66,54.065,101.908,46.783,61.479,56.608,22.665,39.06,59.718,14.95,54.065
67,53.665,102.088,47.374,58.508,55.687,22.38,39.458,58.863,14.775,53.665
68,54.366,101.654,46.396,60.379,57.312,22.642,39.813,58.858,14.754,54.366
69,54.944,103.211,47.605,58.342,56.879,22.569,39.42,59.651,14.633,54.944
70,54.048,102.344,46.263,58.745,56.697,22.691,39.499,59.728,14.522,54.048
71,53.444,102.969,47.912,60.768,57.154,22.671,39.499,58.637,14.6,53.444
72,54.213,101.95,47.25,60.649,56.474,22.56,39.329,59.295,14.865,54.213
73,53.358,100.993,47.627,58.171,55.698,23.159,39.499,59.785,14.637,53.358
74,53.89,103.218,46.669,60.947,56.006,22.823,39.434,59.391,14.647,53.89
75,53.593,101.599,47.293,59.78,56.221,23.341,39.559,59.051,14.843,53.593
76,54.287,103.113,47.758,60.85,57.02,22.85,39.274,59.056,14.692,54.287
77,53.308,102.898,47.165,58.762,56.914,22.865,38.952,59.6,14.566,53.308
78,53.95,102.62,47.084,59.086,57.125,22.701,39.921,60.263,14.633,53.95
79,54.04,102.161,47.69,61.084,55.735,22.634,39.859,58.832,14.802,54.04
80,53.645,102.827,47.128,59.566,56.318,23.045,39.567,59.83,14.703,53.645
81,54.042,103.689,47.444,57.987,57.049,23.173,39.533,58.676,14.664,54.042
82,53.088,104.217,47.581,60.6,55.149,23.084,39.629,59.572,14.83,53.088
83,53.763,102.984,47.212,59.315,55.959,22.761,38.936,59.727,14.672,53.763
84,54.177,102.201,46.722,61.845,56.218,23.02,39.451,59.748,14.699,54.177
85,53.455,103.626,46.335,58.891,56.261,22.698,39.237,59.687,14.626,53.455
86,53.804,101.871,47.315,58.372,55.97,22.663,39.466,58.797,14.771,53.804
87,54.413,101.189,47.734,61.599,57.217,22.687,39.994,59.324,14.632,54.413
88,54.065,100.6,47.348,61.536,56.699,22.94,39.388,59.288,14.561,54.065
89,52.937,101.498,48.168,61.268,56.391,22.638,40.26,59.226,14.639,52.937
90,53.941,100.331,47.276,61.241,57.27,22.925,39.428,58.322,14.704,53.941
91,54.3,102.804,47.372,59.932,57.587,22.475,39.271,59.864,14.707,54.3
92,53.236,103.662,47.419,60.927,56.135,22.769,39.566,59.298,14.739,53.236
93,54.697,101.22,47.735,61.727,57.181,22.508,39.461,59.929,14.784,54.697
94,54.329,102.596,46.652,59.161,57.112,22.49,40.049,58.644,14.573,54.329
95,53.729,102.209,47.749,57.655,57.031,22.965,39.343,59.581,14.688,53.729
96,52.617,101.548,47.873,60.779,56.497,22.881,39.266,59.789,14.819,52.617
97,54.064,101.771,47.606,61.537,57.148,22.139,39.498,59.279,14.587,54.064
98,53.53,103.565,48.217,58.743,56.255,22.454,38.924,60.038,14.713,53.53
99,53.032,101.531,47.195,61.572,56.359,22.897,39.547,59.425,14.664,53.032
100,53.977,101.338,47.424,59.959,55.585,23.406,39.717,59.087,14.862,53.977
101,54.235,103.555,47.487,59.117,56.219,22.502,38.916,59.973,14.882,54.235
